keys,hu
performance_stats_template,TELJESÍTMÉNY\nFelhasznált idő: {time_taken}\nVárható pontszám: {expected_score}\nTeljes pontszám: {score}\nPontszám-túllépés százalék: {percent}%\nTeljesítmény értékelés:\n{rating}
performance_exceptional,Kivételes!
performance_excellent,Kiváló!
performance_good,Jó
performance_needs_improvement,Fejlesztésre szorul
performance_poor,Gyenge
global_leaderboard_title,Globális ranglista\n- {difficulty}
getting_leaderboard_scores,Ranglisták betöltése...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Játék újraindítása:
reset_game_button,Újraindítás
mute_label,Némítás
fullscreen_label,Teljes képernyő:
resolution_label,Felbontás:
antialiasing_label,Élsimítás:
screenshake_label,Képernyőrázás:
mouse_sens_label,Egér érzékenység:
___ LOADING SCREEN,
Loading…,Terhelés...
___ DIALOGS IN GAME,
You lose.,veszítesz.
You won!,Te nyertél!
Thanks for playing!,"Köszönjük, hogy játszottál!"
Please Confirm...,"Kérjük, erősítse meg..."
Go back to main menu?,Vissza a főmenübe?
Quit the game?,Kilép a játékból?
Cancel,Mégse
OK,RENDBEN
___ OPTIONS MENU,
Controls,Vezérlők
Mouse Sensitivity :,Az egér érzékenysége:
Actions & Inputs,Műveletek és bemenetek
Add,Hozzáadás
Remove,Távolítsa el
Assign Key for {action},Kulcs hozzárendelése a következőhöz: {action}
Listening for input...,Bemenet hallgatása...
Press again to confirm...,Nyomja meg újra a megerősítéshez...
Focus here to assign inputs.,Koncentráljon ide a bemenetek hozzárendeléséhez.
Already Assigned,Már hozzárendelve
{key} already assigned to {action}.,{key} már hozzá van rendelve a következőhöz: {action}.
Remove Key for {action},Kulcs eltávolítása a(z) {action} művelethez
Are you sure you want to remove {key} from {action}?,Biztosan eltávolítja a következőt: {key} a következőből: {action}?
Reset,Visszaállítás
Audio,Hang
Master :,Mester:
Music :,Zene:
SFX :,SFX:
Ambient :,Környezet:
Mute :,Némítás:
Video,Videó
Fullscreen :,Teljes képernyő:
Resolution :,Felbontás:
Anti-Aliasing :,Anti-aliasing:
Disabled (Fastest),Letiltva (leggyorsabb)
8x (Slowest),8x (leglassabb)
Camera Shake :,Kamera rázkódása:
Normal,Normál
Reduced,Csökkent
Minimal,Minimális
None,Egyik sem
Game,Játék
Reset Game :,Játék visszaállítása:
Do you want to reset your game data?,Szeretné visszaállítani a játék adatait?
Back,Vissza
_INGAME DIALOGUE,
TAKE THEM!,VEDD EL ŐKET!
"Take your documents, please.","Kérem, vigye el az iratait."
_SHIFT SUMMARY SCREEN,
Continue,Folytatás
Main Menu,Főmenü
Submit Score,Pontszám beküldése
Restart,Indítsa újra
SHIFT SUMMARY,SHIFT ÖSSZEFOGLALÓ
_DIFFICULTY LEVELS,
Easy,Könnyen
Normal,Normál
Expert,Szakértő
Primary,Elsődleges
Secondary,Másodlagos
Primary Interaction,Elsődleges interakció
Secondary Interaction,Másodlagos interakció
Cancel Interaction,Az interakció megszakítása
Escape,Menekülés
Dialogic Default Action,Dialogikus alapértelmezett művelet
Enter,Belépés
Left Mouse Button,Bal egérgomb
Right Mouse Button,Jobb egérgomb
_NEW GAME CONFIRMATION,
Start New Game,Új játék indítása
Starting a new game will reset your progress. Are you sure you want to continue?,Új játék indítása visszaállítja az előrehaladást. Biztosan folytatja?
"Yes, Start New Game","Igen, új játék indítása"
Skip,Kihagyás
History,Történelem
Return,Visszatérés
Restart the game?,Újraindítja a játékot?
_HELP MENU,
help_menu_button,Segítség
achievements_menu_button,Eredmények
achievements_panel_title,EREDMÉNYEK
achievements_panel_close,Bezárás
help_menu_title,Hogyan játssz
help_tab_basics,Alapok
help_tab_gameplay,Játékmenet
help_tab_minigames,Minijátékok
help_basics_intro,[b]Üdv a Spud Customs-ban
help_basics_gate,[b]A kapu kinyitása[/b]
help_basics_documents,[b]Dokumentumok ellenőrzése[/b]
help_basics_stamping,[b]Dokumentumok lepecsételése[/b]
help_basics_runners,[b]Határsértők[/b]
help_basics_xray,[b]Röntgen szkenner[/b]
help_gameplay_quota,[b]Kváta teljesítése[/b]
help_gameplay_strikes,[b]Hibapontok[/b]
help_gameplay_rules,[b]Bevándorlási szabályok[/b]
help_gameplay_scoring,[b]Pontozás[/b]
help_gameplay_difficulty,[b]Nehézségi szintek[/b]
help_minigames_intro,[b]Minijátékok[/b]
help_minigames_document_scanner,[b]Okmányszkenner[/b] (1. műszaktól)
help_minigames_stamp_sorting,[b]Pecsétválogatás[/b] (2. műszaktól)
help_minigames_fingerprint_match,[b]Ujjlenyomat-egyeztetés[/b] (3. műszaktól)
help_minigames_code_breaker,[b]Kódtörő[/b] (4. műszaktól)
help_minigames_border_chase,[b]Csempészfogó[/b] (5. műszaktól)
help_tab_lore,Történet
help_lore_world_intro,[b]Krumpli Világa[/b]
help_lore_nation,[b]Krumpli Nemzete[/b]
help_lore_your_role,[b]A te szereped[/b]
help_lore_border,[b]A Nagy Fal[/b]
help_lore_secrets,[b]Gyökérfeldolgozó[/b]
day_transition_label,{day}. nap
level_select_choices_header,Választási lehetőségek a {day}. napig
level_select_choices_header_named,Választási lehetőségek a {day}. napig - {name}
level_select_play_day,Játék ezen a napon
level_select_close,Bezárás
continue_dialog_header,Mentett adataid
continue_dialog_day,Nap: {day}
continue_dialog_continue,Folytatás
continue_dialog_cancel,Mégse
new_game_confirm_button,"Igen, új játék indítása"
tutorial_choice_play,Oktatóanyag lejátszása
tutorial_choice_skip,Oktatóanyag kihagyása
tutorial_dialog_title,Oktatóanyag
tutorial_dialog_text,Szeretnéd lejátszani az oktatóanyagot?\n\nAz oktatóanyag bevezet a Spud Customs vámügyintézői alapjaiba.
continue_game_title,Játék folytatása
level_select_story_choices,Történeti választási lehetőségek
reset_progress_confirm,Biztosan vissza szeretnéd állítani a történeti előrehaladást? Ez nem vonható vissza.
reset_highscores_confirm,Biztosan vissza szeretnéd állítani az összes rekordot? Ez nem vonható vissza.
level_name_0,Oktatóanyag
level_name_1,Első munkanap
level_name_2,Új szabályok
level_name_3,Növekvő nyomás
level_name_4,Csempészáru ellenőrzés
level_name_5,Félidős válság
level_name_6,Fokozott biztonság
level_name_7,Vizsgálat alatt
level_name_8,Kettős ügynökök
level_name_9,Határkáosz
level_name_10,A végső visszaszámlálás
shift_name_1,Első munkanap
shift_name_2,Találkozás Sashával és Murphyvel
shift_name_3,Az eltűnt feleség
shift_name_4,Gyökértartalék teherautók
shift_name_5,Hűségvizsgálat
shift_name_6,Valóságvizsgálat
shift_name_7,Ellenállási találkozó
shift_name_8,Sasha elfogása
shift_name_9,A támadás
shift_name_10,A végső visszaszámlálás
shift_name_unknown,Ismeretlen
path_chaos_agent,Káoszügynök
path_loyalist,Hűséges út
path_resistance_ally,Ellenállási szövetséges
path_questioning,Kérdőjelezés
path_undetermined,Eldöntetlen
story_choice_path_label,Útvonal:
story_choice_sasha_trust,Sasha bizalma: {value}/10
story_choice_chaos_points,Káosz: {value} pont
story_choice_no_choices,Még nincsenek rögzített döntések
story_choice_day_header,Nap {day} - {name}
choice_initial_response_eager,Lelkesedést mutatott a Spud iránt
choice_initial_response_questioning,Megkérdőjelezte a rendszert
choice_note_reaction_investigate,"Úgy döntött, kivizsgálja a jegyzetet"
choice_note_reaction_destroy,Megsemmisítette a titokzatos jegyzetet
choice_note_reaction_report,Jelentette a jegyzetet a hatóságoknak
choice_kept_note_yes,Megtartotta a titokzatos jegyzetet
choice_kept_note_no,Kidobta a jegyzetet
choice_reported_note_yes,Jelentette a jegyzetet
choice_murphy_trust_open,Megnyílt Murphy előtt
choice_murphy_trust_guarded,Zárkózott maradt Murphyvel
choice_eat_reserve_ate,Megette a tartalék élelmet
choice_eat_reserve_refused,Visszautasította a tartalék élelmet
choice_scanner_response_loyal,Hűséget mutatott a szkenner teszt során
choice_scanner_response_questioning,Megkérdőjelezte a szkenner célját
choice_family_response_refuse,"Visszautasította, hogy segítsen megtalálni a feleséget"
choice_family_response_help,"Beleegyezett, hogy segít megtalálni az eltűnt feleséget"
choice_has_wife_photo_yes,Megszerezte az eltűnt feleség fényképét
choice_reveal_reaction_shocked,Megdöbbent a leleplezéstől
choice_reveal_reaction_cautious,Óvatosan reagált a leleplezésre
choice_cafeteria_response_serious,Komolyan vette a menzai pletykákat
choice_cafeteria_response_avoid,Elkerülte a menzai beszélgetéseket
choice_murphy_alliance_ally,Szövetséget kötött Murphyvel
choice_murphy_alliance_cautious,Óvatos maradt Murphyvel
choice_murphy_alliance_skeptical,Szkeptikus maradt Murphyvel szemben
choice_sasha_trust_level_committed,Teljesen elkötelezte magát Sasha iránti bizalomra
choice_sasha_trust_level_cautious,Óvatos maradt Sashával szemben
choice_sasha_investigation_committed,Elkötelezte magát Sasha nyomozása mellett
choice_sasha_investigation_hesitant,Habozott a nyomozással kapcsolatban
choice_loyalty_response_patriotic,Hazafias válaszokat adott
choice_loyalty_response_idealistic,Idealista nézeteket fejezett ki
choice_hide_choice_desk,Elbújt az asztal mögé
choice_hide_choice_window,Elbújt az ablaknál
choice_evidence_choice_hand_over,Átadta a bizonyítékot
choice_evidence_choice_keep,Rejtve tartotta a bizonyítékot
choice_evidence_choice_lie,Hazudott a bizonyítékról
choice_evidence_choice_chaos,Felhasználta a bizonyítékot káosz okozására
choice_viktor_wife_discovery_yes,Felfedezte Viktor feleségét a jegyzéken
choice_fellow_officer_response_cautious,Óvatos volt a tiszttársával
choice_fellow_officer_response_sympathetic,Együttérzést mutatott a tiszttársa iránt
choice_fellow_officer_response_loyal,Hűséges maradt a tiszttársával szemben
choice_interrogation_response_lie,Hazudott a kihallgatás során
choice_interrogation_response_legal,Jogi válaszokat adott
choice_viktor_conversation_tell_truth,Elmondta Viktornak az igazat
choice_viktor_conversation_lie_protect,Hazudott Viktor védelmében
choice_viktor_conversation_curious,Kíváncsi volt Viktorra
choice_scanner_choice_help,Segített szabotálni a szkennert
choice_scanner_choice_scan,Normálisan működtette a szkennert
choice_scanner_choice_viktor,Viktort választotta a szkennerhez
choice_helped_operative_yes,Segített az ellenállás ügynökének
choice_helped_operative_no,Megtagadta a segítséget az ügynöknek
choice_viktor_allied_yes,Szövetséget kötött Viktorral
choice_betrayed_resistance_yes,Elárulta az ellenállást
choice_sasha_plan_response_committed,Elkötelezte magát Sasha terve mellett
choice_sasha_plan_response_nervous,Ideges volt a terv miatt
choice_malfunction_excuse_technical,Műszaki hibára hivatkozott
choice_malfunction_excuse_innocent,Ártatlannak tettette magát
choice_resistance_mission_committed,Elkötelezte magát az ellenállás küldetése mellett
choice_resistance_mission_hesitant,Habozott a küldetéssel kapcsolatban
choice_resistance_mission_cautious,Óvatosan közelítette meg a küldetést
choice_final_decision_help,"Úgy döntött, segít az ellenállásnak"
choice_final_decision_passive,Passzív maradt
choice_final_decision_undecided,Bizonytalan maradt
choice_yellow_badge_response_help,Segített a sárga jelvényeseknek
choice_yellow_badge_response_betray,Elárulta a sárga jelvényeseket
choice_follow_trucks_volunteer,Önként jelentkezett a teherautók követésére
choice_follow_trucks_hesitant,Habozott a teherautók követésével kapcsolatban
choice_found_facility_yes,Megtalálta a Gyökér Tartalék létesítményt
choice_sasha_response_cautious,Óvatos volt Sasha helyzetével kapcsolatban
choice_sasha_response_concerned,Aggódott Sasha iránt
choice_interrogation_choice_deny,Tagadta tudását kihallgatás során
choice_interrogation_choice_betray,Elárult másokat kihallgatás során
choice_sasha_arrest_reaction_intervene,Beavatkozott Sasha letartóztatásába
choice_sasha_arrest_reaction_hide,Elrejtőzött Sasha letartóztatása alatt
choice_sasha_arrest_reaction_promise,Ígéretet tett Sashának
choice_player_wanted_yes,Körözötté vált a hatóságok által
choice_player_captured_yes,Elfogták a hatóságok
choice_has_keycard_yes,Megszerzett egy biztonsági belépőkártyát
choice_murphy_final_alliance_committed,Teljesen elkötelezte magát Murphy szövetsége mellett
choice_murphy_final_alliance_hesitant,Habozott a végső szövetséget illetően
choice_critical_choice_help,Segített a kritikus pillanatban
choice_critical_choice_betray,Elárult a kritikus pillanatban
choice_stay_or_go_stay,Maradt harcolni
choice_stay_or_go_go,A menekülést választotta
choice_sasha_rescue_reaction_angry,Haraggal reagált a mentésre
choice_sasha_rescue_reaction_disgusted,Undorodott az eseményektől
choice_sasha_rescue_reaction_relieved,Megkönnyebbült a mentés után
choice_fellow_officer_response_2_cautious,Óvatos maradt a kollégákkal
choice_fellow_officer_response_2_sympathetic,Együttérzést mutatott a kollégák iránt
choice_final_mission_response_determined,Eltökélt a végső küldetés teljesítésére
choice_final_mission_response_cautious,Óvatos a végső küldetést illetően
choice_resistance_trust_diplomatic,Diplomatikus megközelítést alkalmazott az ellenállással szemben
choice_resistance_trust_committed,Teljesen elkötelezte magát az ellenállás mellett
choice_ending_choice_diplomatic,Diplomatikus befejezést választott
choice_ending_choice_justice,Igazságos befejezést választott
choice_ending_choice_vengeance,Bosszú végkifejletet választott
choice_ending_choice_dismantle,A rendszer lebontását választotta
choice_accept_medal_accept,Büszkén elfogadta az érmet
choice_accept_medal_reluctant,Vonakodva elfogadta az érmet
choice_eat_final_eat,Megette az utolsó felajánlást
choice_eat_final_refuse,Visszautasította az utolsó felajánlást
choice_final_loyalist_choice_report,Jelentette az ellenzőket
choice_final_loyalist_choice_ignore,Figyelmen kívül hagyta az ellenzőket
choice_final_loyalist_choice_hope,Megtartotta a változás reményét
choice_qte_rescue_result_pass,Sikeres mentési kísérlet
choice_qte_rescue_result_fail,Sikertelen mentési kísérlet
choice_qte_confrontation_result_pass,Megnyerte az összecsapást
choice_qte_confrontation_result_fail,Elvesztette az összecsapást
choice_qte_escape_result_pass,Sikeres szökés
choice_qte_escape_result_fail,Sikertelen szökés
choice_qte_infiltration_result_pass,Sikeres beszivárgás
choice_qte_infiltration_result_fail,Sikertelen beszivárgás
choice_qte_scanner_result_pass,Sikeres szkenner szabotázs
choice_qte_scanner_result_fail,Sikertelen szkenner szabotázs
choice_qte_surveillance_result_pass,Elkerülte a megfigyelést
choice_qte_surveillance_result_fail,A megfigyelés leleplezte
choice_qte_suppression_result_pass,Ellenállt az elnyomásnak
choice_qte_suppression_result_fail,Beadta a derekát az elnyomásnak
passport_label_type,Típus:
passport_label_born,Született:
passport_label_gender,Nem:
passport_label_country,Ország:
passport_label_expires,Lejár:
passport_label_condition,Állapot:
tutorial_skip,Kihagyás
tutorial_skip_all,Összes oktatóanyag kihagyása
tutorial_continue_auto,(automatikus folytatás...)
tutorial_continue_click,(kattints a folytatáshoz...)
tutorial_header,Oktatóanyag {current}/{total}: {name} - {step}/{steps} lépés
tutorial_header_single,{name} - {step}/{steps} lépés
tutorial_welcome_name,Üdv a Spud Customs-nál
tutorial_gate_control_name,A kapu nyitása
tutorial_megaphone_call_name,Burgonyák hívása
tutorial_document_inspection_name,Dokumentumok ellenőrzése
tutorial_rules_checking_name,Bevándorlási szabályok
tutorial_stamp_usage_name,A pecsétek használata
tutorial_strikes_and_quota_name,Büntetések és kvóta
tutorial_welcome_step1,"[center][b]Üdv a Spud Customs-nál![/b][/center]\n\nAz a feladatod, hogy feldolgozd a beérkező burgonyákat a határátkelőn. Tanuljuk meg az alapokat!"
tutorial_gate_control_step1,"[center][b]A fülke megnyitása[/b][/center]\n\nLátod azt a kart? {interact} vele, hogy felemeld a redőnyt és megnyisd a fülkédet az üzlethez!\n\n[color=yellow]{interact} a karral most.[/color]"
tutorial_gate_control_step2,"[center][b]Remek munka![/b][/center]\n\nA fülkéd most nyitva van. A sorban álló burgonyák látják, hogy készen állsz a szolgálatra."
tutorial_megaphone_call_step1,"[center][b]A következő burgonya hívása[/b][/center]\n\nHasználd a megafont, hogy behívd a következő burgonyát a sorból a fülkédhez.\n\n[color=yellow]{interact} a megafonnal![/color]"
tutorial_megaphone_call_step2,"[center][b]Jönnek is![/b][/center]\n\nFigyeld, ahogy a burgonya közeledik a fülkédhez. Bemutatják majd a dokumentumaikat ellenőrzésre."
tutorial_document_inspection_step1,"[center][b]Dokumentum ellenőrzés[/b][/center]\n\nA burgonya átadta az útlevelét. {drag} az ellenőrző asztalodra, hogy alaposan megvizsgáld.\n\n[color=yellow]{drag} az útlevelet az asztalra.[/color]"
tutorial_document_inspection_step2,"[center][b]Az útlevél vizsgálata[/b][/center]\n\n{interact} az útlevéllel, hogy kinyisd és áttekintsd a burgonya adatait:\n\n- Név és fénykép\n- Származási ország\n- Burgonya típusa és állapota\n\nKeress bármi gyanúsat!"
tutorial_document_inspection_step3,"[center][b]Ellenőrizd a szabályokat![/b][/center]\n\nMielőtt meghoznád a döntésedet, ellenőrizned kell a bevándorlási szabályokat. Ismerkedjünk meg velük!"
tutorial_rules_checking_step1,"[center][b]Bevándorlási szabályok[/b][/center]\n\nNézd meg a szabályfüzetet a jobb oldalon. Ezek a szabályok megmondják, mely krumplikat kell [color=green]ENGEDÉLYEZNED[/color] vagy [color=red]ELUTASÍTANOD[/color].\n\nUtasíts el minden krumplit, amely megszegi az aktuális szabályokat!\n\n[color=red]FONTOS: A lejárt dátumú dokumentumokat EL KELL UTASÍTANI![/color]"
tutorial_rules_checking_step2,"[center][b]Maradj éber![/b][/center]\n\nA szabályok műszakok között változnak. Mindig ellenőrizd az aktuális szabályokat, mielőtt döntést hoznál.\n\nGondosan hasonlítsd össze az útlevéladatokat az érvényes szabályokkal."
tutorial_stamp_usage_step1,"[center][b]A Bélyegzőtartó[/b][/center]\n\nLátod a bélyegzőtartót felül? {interact} a fogantyút, hogy felfedd az engedélyező és elutasító bélyegzőidet.\n\n[color=yellow]{interact} a bélyegzőtartó megnyitásához.[/color]"
tutorial_stamp_usage_step2,"[center][b]Elhelyezés a bélyegzéshez[/b][/center]\n\n{drag} az útlevelet a bélyegzők alá. Látni fogsz egy útmutatót, ami megmutatja, hová helyezd.\n\n[color=green]Zöld bélyegző[/color] = ENGEDÉLYEZÉS\n[color=red]Piros bélyegző[/color] = ELUTASÍTÁS\n\n[color=yellow]Helyezd az útlevelet egy bélyegző alá.[/color]"
tutorial_stamp_usage_step3,"[center][b]Használd a bélyegzőt![/b][/center]\n\n{interact} a bélyegzőt, hogy megjelöld az útlevelet a döntéseddel.\n\n[color=yellow]{interact} egy bélyegzőt az alkalmazásához.[/color]"
tutorial_stamp_usage_step4,"[center][b]Add vissza a dokumentumokat[/b][/center]\n\nMost {drag} a lebélyegzett útlevelet vissza a krumplinak, hogy befejezd az ügyintézését.\n\n[color=yellow]Add vissza az útlevelet a krumplinak.[/color]"
tutorial_stamp_usage_step5,[center][b]Szép munka![/b][/center]\n\nFeldolgoztad az első krumplidat! Tartsd szemmel a kvótádat – elegendő krumplit kell feldolgoznod minden műszakban.
tutorial_strikes_and_quota_step1,"[center][b]A Kvóta Rendszer[/b][/center]\n\nNézd meg a [color=yellow]Kvóta[/color] kijelzőt. Ez mutatja, hány krumplit kell helyesen feldolgoznod minden műszakban."
tutorial_strikes_and_quota_step2,"[center][b]Kerüld a hibapontokat![/b][/center]\n\nA [color=red]Hibapontok[/color] számláló mutatja a hibáidat. Túl sok hibapont, és vége a játéknak!\n\nRossz döntéseket hozva hibapontokat szerzel."
tutorial_strikes_and_quota_step3,"[center][b]Képzés befejezve![/b][/center]\n\nFolytasd a krumplik feldolgozását, hogy befejezd a képzési műszakodat.\n\nHa végeztél, [color=green]hivatalosan is vámügyintéző leszel[/color] és készen állsz az első igazi napodra!"
