keys,el
Text/154/text,[color=STEEL_BLUE]Η Σάσα στέκεται δίπλα σου.[/color] Η φωτιά σου άναψε τη σπίθα που έκαψε την αυτοκρατορία τους.
Text/155/text,[color=STEEL_BLUE]Ο θυμός έχει καταλαγιάσει σε αποφασιστικότητα. Υπάρχει ακόμα δουλειά να γίνει.[/color]
Text/156/text,[color=STEEL_BLUE]Η Σάσα σου προσφέρει ένα υποστηρικτικό χαμόγελο.[/color] Έχεις διανύσει πολύ δρόμο από εκείνο το σημείο ελέγχου. Όλοι μας.
Text/157/text,"[color=STEEL_BLUE]Η ενοχή ίσως να μην σβήσει ποτέ εντελώς, αλλά έχεις βρει σκοπό στην ανοικοδόμηση.[/color]"
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
