keys,tr
Text/292/text,Kayıp eşinin fotoğrafını çıkarırsın. Kurtaramadığın başka bir yüz.
Text/293/text,[color=CHARTREUSE]Bu sefer değil.[/color]
Text/294/text,Yarına kadar her şey değişir. Bir şekilde ya da başka bir şekilde.
Text/295/text,[pulse freq=2][color=YELLOW]Artık seyirci kalmak yok.[/color][/pulse]
Text/296/text,"Hücre soğuk. Duvarların arasından, Sasha'yı bir yerlerde ""sorgulanırken"" duyabilirsin."
Text/297/text,"Yarın, dediler. İkiniz birlikte [color=DARK_VIOLET]işlem göreceksiniz[/color]."
Text/298/text,Direniş gelmezse. İkinizi de biri kurtarmazsa.
Text/299/text,[color=STEEL_BLUE]Hayatınızın en uzun gecesi sizi bekliyor.[/color]
Choice/278/disabled_text,
Choice/279/disabled_text,
Choice/27a/disabled_text,
Choice/28d/disabled_text,
Choice/28e/disabled_text,
