keys,pl
Text/318/text,"Russet kiwa głową z aprobatą. ""Dobrze. [color=DARK_ORANGE]Zajdziesz daleko.[/color]"""
Text/319/text,"Odepychasz talerz. ""Nie czuję się dobrze. Emocje dnia..."""
Text/31a/text,"Oczy Russeta zwężają się na chwilę, po czym łagodnieją. Oczywiście. Taka [color=YELLOW]delikatna konstytucja[/color]."
Text/31b/text,Odpocznij. Jutro mamy do nadzorowania [color=CRIMSON]więcej przetwarzania[/color].
Text/31c/text,Wracasz do swoich kwater. Medal ciąży ci na piersi.
Text/31d/text,Wyciągasz zdjęcie zaginionej żony. Ona jest teraz prawdopodobnie w tej samej partii co reszta.
Text/31e/text,"Obiecałeś ją odnaleźć. [color=STEEL_BLUE]Znalazłeś ją.[/color] Tylko nie w taki sposób, w jaki oboje mieliście nadzieję."
Text/31f/text,"Murphy. Twój przyjaciel. Ten, który ci zaufał. Był w ruchu oporu."
Text/320/text,[color=CRIMSON]Był.[/color]
Text/321/text,Wpatrujesz się w swoje odbicie w oknie. Medal błyszczy. [color=DARK_ORANGE]Złota Bulwa[/color]. Bohater Ziemniaka.
Text/322/text,[color=STEEL_BLUE]Potwór w ziemniaczanej skórze.[/color]
Text/323/text,Tej nocy śnisz o Sashy. Nie oskarża. Nie wpada w furię. To byłoby łatwiejsze.
Text/324/text,"Ona tylko patrzy na ciebie tymi oczami. [color=CHARTREUSE]Korzenie rosną głęboko[/color], szepcze."
Text/325/text,Nawet te [color=STEEL_BLUE]zgniłe[/color].
Text/326/text,Mijają miesiące. Zostajesz awansowany. Regionalny Inspektor Bezpieczeństwa Granicznego. Prawa ręka Russeta.
Text/327/text,Nadzorujesz więcej odrzuceń niż ktokolwiek w historii Spud. Produkcja [color=DARK_VIOLET]Rezerwy Korzeni[/color] szybuje.
Text/328/text,Twoje biuro jest wygodne. Twoje racje są hojne. Twoja rodzina jest chroniona.
Text/329/text,"Masz wszystko, co ci obiecano."
Text/32a/text,Wszystko oprócz [color=STEEL_BLUE]snu[/color]. Oprócz [color=STEEL_BLUE]spokoju[/color]. Oprócz zdolności spojrzenia w lustro.
Text/32b/text,Pewnego dnia to zauważasz. [color=GOLD]Żółty emblemat ziemniaka[/color] wydrapany na ścianie. Potem kolejny. Potem dziesiątki.
Text/32c/text,Tworzy się nowy ruch oporu. Cichszy. Ostrożniejszy. Uczący się na błędach Sashy.
Choice/32d/text,Natychmiast zgłoś symbole ochronie
Choice/32e/text,"Udawaj, że ich nie widziałeś"
Choice/32f/text,Zostaw swój własny ślad – pojedynczy żółty liść
Text/330/text,Składasz raport. Kolejna partia podejrzanych zatrzymana. Kolejny awans.
Text/331/text,Cykl trwa. [color=CRIMSON]Stałeś się maszyną.[/color]
Text/332/text,Przechodzisz obok. Nic nie mówisz. To niewiele. [color=STEEL_BLUE]To prawie nic.[/color]
Text/333/text,"Ale to pierwszy raz, kiedy zdecydowałeś się nie działać przeciwko nim."
Text/334/text,"Może to coś. Może to [color=YELLOW]za mało, za późno[/color]."
Text/335/text,"Kiedy nikt nie patrzy, drapiesz mały [color=GOLD]żółty liść[/color] obok emblematów."
Text/336/text,Pojedynczy akt buntu. Lata za późno. Ale [color=CHARTREUSE]coś[/color].
Text/337/text,"Głos Sashy rozbrzmiewa w twojej pamięci: ""[color=CHARTREUSE]Korzenie rosną głęboko.[/color]"""
Text/338/text,"Może wystarczająco głęboko, by [color=CHARTREUSE]dotrzeć nawet do ciebie[/color]. Pewnego dnia."
Text/339/text,Naród Spud trwa. [color=DARK_VIOLET]Rezerwa Korzeni[/color] płynie. Cykl konsumpcji trwa.
Text/33a/text,"Ale gdzieś, w pęknięciach ściany, [color=CHARTREUSE]rośnie coś nowego[/color]."
Text/33b/text,Czy będziesz tego częścią... [color=YELLOW]ta historia jest jeszcze do napisania[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
