keys,uk
Text/c9/text,Шукай союзників з нашої організації під час сьогоднішньої зміни. [color=CHARTREUSE]Ти їх впізнаєш[/color].
Text/ca/text,"Якщо зможеш провести їх безпечно, використовуй [color=CHARTREUSE]спеціальну позначку, яку ми обговорювали[/color]."
Choice/cb/text,"""Це варте ризику. Я згоден."""
Choice/cc/text,"""Це стає надто небезпечним. Можливо, нам варто залягти на дно."""
Text/cd/text,"Я знав, що можу на тебе розраховувати. Коли це закінчиться, [color=CHARTREUSE]Спад дізнається, хто були справжніми героями[/color]."
Text/ce/text,Ми вже давно пройшли цю точку. Залягання на дно нас не врятує. [color=CHARTREUSE]Лише повалення системи врятує[/color].
Text/cf/text,Кожна станція тепер має нову [color=DARK_ORANGE]систему RealityScan[/color]. Вона виявляє несанкціоновані позначки та підробки.
Text/d0/text,Усі документи повинні бути відскановані перед затвердженням. [color=CRIMSON]Зрадників буде викорінено[/color]. Я це гарантую.
Text/d0_qte1/text,"Пізніше під час цієї зміни, мандрівник підходить з документами, що мають [color=CHARTREUSE]ледь помітну позначку опору[/color]."
Text/d0_qte2/text,[color=DARK_ORANGE]RealityScan[/color] починає сканування. [wave amp=15 freq=3][color=RED]Він виявить позначку![/color][/wave]
Text/d0_qte3/text,У тебе є секунди на рішення. Сканер розігрівається...
Choice/d0_qte4/text,"""Імітуй несправність сканера — швидко!"" (Допомогти опору)"
Choice/d0_qte5/text,"""Дозволити сканеру завершити сканування"" (Дотримуватися протоколу)"
Text/d0_qte6/text,"[pulse freq=3][color=YELLOW]Тобі потрібно діяти швидко![/color][/pulse] Спровокуй несправність, перш ніж він завершить сканування!"
Text/d0_qte7/text,Ти вовтузишся з кабелями сканера. Іскри летять. Екран мерехтить і гасне.
Text/d0_qte8/text,Рассет підбігає. [color=YELLOW]Що тут сталося?[/color]
Choice/d0_qte9/text,"""Стрибок напруги, сер. Ці нові системи примхливі."""
Choice/d0_qte10/text,"""Я не знаю, сер. Він просто відмовив."""
Text/d0_qte11/text,Рассет бурчить. [color=STEEL_BLUE]Бюрократи дають нам неперевірене обладнання.[/color] Оброби їх вручну та познач для повторної перевірки.
Text/d0_qte12/text,Рассет підозріло дивиться на тебе. [color=YELLOW]Як зручно.[/color] Я попрошу техніків подивитися на це. Не дозволяй цьому повторитися.
Text/d0_qte13/text,"Член опору ледь помітно киває тобі на знак подяки, коли проходить."
Text/d0_qte14/text,Сканер [pulse freq=3][color=RED]ГУЧНО ПИЩИТЬ[/color][/pulse]. Виявлено несанкціоновані позначки!
Text/d0_qte15/text,Рассет з'являється миттєво. [color=CHARTREUSE]Чудово![/color] Ще одного зрадника спіймано.
Text/d0_qte16/text,"Учасника опору тягнуть геть, жах в очах. ""[color=CRIMSON]Будь ласка, ні! У мене діти![/color]"""
Text/d0_qte17/text,Ваша лояльність [color=DARK_ORANGE]занотована у вашій справі[/color]. Продовжуйте в тому ж дусі.
Text/d1/text,"Допомагати учасникам опору стало набагато небезпечніше, але [color=CHARTREUSE]правда має поширюватися[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Choice/c7_viktor4/disabled_text,
Choice/c7_viktor5/disabled_text,
Choice/d0_qte4/disabled_text,
Choice/d0_qte5/disabled_text,
Choice/d0_qte9/disabled_text,
Choice/d0_qte10/disabled_text,
