keys,es-419
Text/21_fail2/text,"Viktor aparece detrás de los guardias, con voz fría como el acero. [color=STEEL_BLUE]Bajen las armas. Ahora.[/color]"
Text/21_fail3/text,Los guardias dudan; Viktor era uno de los suyos. [color=CRIMSON]El nombre de Elena está en esos manifiestos. Sus familias podrían ser las siguientes.[/color]
Text/21_fail4/text,Algunos guardias bajan sus armas. Otros huyen. El camino se despeja.
Text/21_fail5/text,"Una explosión sacude el ala este. La voz de Murphy crepita por las comunicaciones: [color=CHARTREUSE]""¡Esa es mi distracción! ¡MUÉVANSE!""[/color]"
Text/21_fail6/text,[color=STEEL_BLUE]Los guardias se dispersan hacia la explosión. Tommy estaría orgulloso.[/color]
Text/21_fail7/text,Sasha aborda al guardia principal por detrás. [color=CHARTREUSE]¡No sobreviví a esa celda solo para verte morir![/color]
Text/21_fail8/text,[color=STEEL_BLUE]¡CORRE! ¡Yo me encargo![/color]
Text/21/text,"Tu grupo lucha contra oleadas de seguridad, evitando por poco la captura. Los combatientes de la resistencia de Sasha crean distracciones, despejando tu camino."
Text/22/text,"Después de un angustioso escape a través de túneles de mantenimiento, finalmente llegas al ascensor seguro que lleva al búnker privado de Idaho."
Text/23/text,"Con Sasha y tus aliados a tu lado, finalmente te enfrentas a Idaho."
Text/24/text,"Se acabó, Idaho. Tus secretos están al descubierto. Cómo termina esto... [pulse freq=2]eso depende de ti.[/pulse]"
Choice/25/text,Negociar una transición pacífica de poder (Diplomático)
Choice/26/text,Exigir el arresto inmediato de Idaho (Justicia)
Choice/27/text,Aplicar justicia por mano propia por los crímenes de Idaho (Venganza)
Choice/28/text,Centrarse en desmantelar la infraestructura de Root Reserve (Desmantelar)
Text/29/text,"Idaho, no tiene por qué terminar en más derramamiento de sangre. Si cooperas..."
Text/2a/text,"Oh, tú [color=STEEL_BLUE]tonto idealista[/color]. ¿Crees que esto es una negociación?"
Text/2b/text,"Idaho golpea un botón, y [color=RED]las alarmas empiezan a sonar[/color]. ""¡Lo único que te daré es un [color=DARK_VIOLET]viaje de ida a las cubas de fritura![/color]"""
Text/2c/text,"No lo creo, Idaho. ¡Guardias! Vieron el dosier, [color=YELLOW]saben lo que les hizo a sus familias.[/color]"
Text/2d/text,Un guardia corpulento avanza y patea a Idaho al suelo rápidamente.
Text/2e/text,Un disparo resuena en la cámara. La pantalla se desvanece a negro.
Text/2f/text,"Idaho, en nombre del pueblo papa de Spud, [color=CHARTREUSE]¡estás arrestado![/color]"
Text/30/text,"Se acabó. El pueblo ha hablado. [color=CHARTREUSE]Construiremos un nuevo Spud donde nuestras raíces estén en la tierra, no en el sufrimiento.[/color]"
Text/31/text,"No habrá [color=CRIMSON]tratos ni piedad[/color] para ti, Idaho. La justicia de un tirano es todo lo que mereces."
Text/32/text,"Un ajuste de cuentas. Eso es lo que soy. [color=CHARTREUSE]¡Por cada papa sacrificada, recuperamos nuestro futuro![/color]"
Text/33/text,"Olvídalo. Él es un síntoma, no la enfermedad. [color=CHARTREUSE]Derriben cada raíz y tallo de esta monstruosidad.[/color]"
Text/34/text,¡Tenemos que irnos! ¡Ahora!
Text/35/text,La caída de [color=DARK_VIOLET]Root Reserve[/color] desata un incendio de cambio en todo Spud.
Text/36/text,"Las papas de cada provincia se levantan, abrazando una [color=CHARTREUSE]nueva visión para su nación[/color]."
Text/37/text,"Mientras nos mantengamos fieles a nuestras raíces, a los ideales que nos trajeron aquí... [color=CHARTREUSE]encontraremos un camino.[/color]"
Text/38/text,"Y así, de las cenizas del viejo Spud, una [color=CHARTREUSE]nueva nación comienza a echar raíces[/color]. El Reinado de [color=DARK_VIOLET]Root Reserve[/color] ha terminado."
Text/151/text,"[color=CHARTREUSE]Sasha se acerca, su mano encuentra la tuya mientras observan juntos el nuevo amanecer.[/color] Construimos esto. Tú y yo."
Text/152/text,"Mientras nos mantengamos fieles a nuestras raíces, a los ideales que nos trajeron aquí... [color=CHARTREUSE]encontraremos un camino.[/color] Juntos."
Text/153/text,[color=CHARTREUSE]Le aprietas la mano. Juntos.[/color]
Text/154/text,[color=STEEL_BLUE]Sasha está a tu lado.[/color] Tu fuego encendió la chispa que quemó su imperio.
Text/155/text,[color=STEEL_BLUE]La ira se ha templado en determinación. Aún queda trabajo por hacer.[/color]
Text/156/text,[color=STEEL_BLUE]Sasha te ofrece una sonrisa de apoyo.[/color] Has recorrido un largo camino desde ese puesto de control. Todos lo hemos hecho.
Text/157/text,"[color=STEEL_BLUE]La culpa quizás nunca se desvanezca por completo, pero has encontrado un propósito en la reconstrucción.[/color]"
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
