keys,uk
Text/318/text,"Руссет схвально киває. ""Добре. [color=DARK_ORANGE]Ти далеко підеш.[/color]"""
Text/319/text,"Ви відштовхуєте тарілку. ""Я почуваюся недобре. Хвилювання дня..."""
Text/31a/text,"Очі Руссета на мить звужуються, потім пом'якшуються. Звісно. Така [color=YELLOW]чутлива натура[/color]."
Text/31b/text,Відпочиньте. Завтра нам потрібно буде наглядати за [color=CRIMSON]більшою обробкою[/color].
Text/31c/text,Ви повертаєтеся до своїх покоїв. Медаль важко лежить на ваших грудях.
Text/31d/text,"Ви дістаєте фотографію зниклої дружини. Її дружина, ймовірно, зараз в тій самій партії, що й вона."
Text/31e/text,"Ви обіцяли знайти її. [color=STEEL_BLUE]Ви її знайшли.[/color] Просто не так, як ви обоє сподівалися."
Text/31f/text,"Мерфі. Ваш друг. Той, хто вам довіряв. Він був в опорі."
Text/320/text,[color=CRIMSON]Був.[/color]
Text/321/text,Ви дивитеся на своє відображення у вікні. Медаль виблискує. [color=DARK_ORANGE]Золота Бульба.[/color] Герой Спаду.
Text/322/text,[color=STEEL_BLUE]Монстр у картопляній шкірці.[/color]
Text/323/text,Тієї ночі вам сниться Саша. Вона не звинувачує. Не лютує. Це було б легше.
Text/324/text,"Вона просто дивиться на вас тими очима. [color=CHARTREUSE]Коріння росте глибоко[/color], шепоче вона."
Text/325/text,Навіть [color=STEEL_BLUE]гнилі[/color].
Text/326/text,Минають місяці. Вас підвищують. Регіональний інспектор прикордонної безпеки. Права рука Руссета.
Text/327/text,"Ви відповідаєте за більше відмов, ніж будь-хто в історії Спуду. Виробництво [color=DARK_VIOLET]Кореневого Резерву[/color] зростає."
Text/328/text,Ваш офіс комфортний. Ваші пайки щедрі. Ваша родина захищена.
Text/329/text,"Ви маєте все, що вам обіцяли."
Text/32a/text,"Все, крім [color=STEEL_BLUE]сну[/color]. Крім [color=STEEL_BLUE]спокою[/color]. Крім здатності дивитися в дзеркало."
Text/32b/text,"Одного дня ви це помічаєте. [color=GOLD]Жовта картопляна емблема[/color], видряпана на стіні. Потім ще одна. Потім десятки."
Text/32c/text,Формується новий опір. Тихіший. Обережніший. Вчиться на помилках Саші.
Choice/32d/text,Негайно повідомте про символи охороні
Choice/32e/text,"Прикиньтеся, що ви їх не бачили"
Choice/32f/text,Залиште свій власний знак – один жовтий листок
Text/330/text,Ви подаєте звіт. Ще одна партія підозрюваних затримана. Ще одне підвищення.
Text/331/text,Цикл триває. [color=CRIMSON]Ви стали машиною.[/color]
Text/332/text,Ви проходите повз. Нічого не кажете. Це небагато. [color=STEEL_BLUE]Це майже нічого.[/color]
Text/333/text,"Але це вперше, коли ви вирішили не діяти проти них."
Text/334/text,"Можливо, це щось. Можливо, це [color=YELLOW]занадто мало, занадто пізно[/color]."
Text/335/text,"Коли ніхто не дивиться, ви видряпуєте маленький [color=GOLD]жовтий листок[/color] поруч з емблемами."
Text/336/text,Один акт непокори. Роками запізно. Але [color=CHARTREUSE]щось[/color].
Text/337/text,"Голос Саші лунає у вашій пам'яті: ""[color=CHARTREUSE]Коріння росте глибоко.[/color]"""
Text/338/text,"Можливо, достатньо глибоко, щоб [color=CHARTREUSE]дістатися навіть до вас[/color]. Колись."
Text/339/text,Нація Спуд вистоює. [color=DARK_VIOLET]Кореневий Резерв[/color] тече. Цикл споживання триває.
Text/33a/text,"Але десь, у тріщинах стіни, [color=CHARTREUSE]росте щось нове[/color]."
Text/33b/text,Чи будете ви частиною цього... [color=YELLOW]ця історія ще не написана[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
