keys,sv
Text/ff3/text,"[color=STEEL_BLUE]Hon går i tystnad, med armarna i kors.[/color] Jag hoppas du hittar den visshet du söker. Vi andra har inte råd att vänta."
Text/100_viktor1/text,"På vägen tillbaka hittar du Viktor ensam på kontrollpunktens tak, stirrande mot natthimlen."
Text/100_viktor2/text,Viktor håller en liten
Text/100_viktor3/text,"Hon brukade säga att oavsett hur mörkt det blev, skulle stjärnorna fortfarande finnas där. [color=STEEL_BLUE]Konstanta. Vackra.[/color]"
Text/100_viktor4/text,"Han vänder sig mot dig, med glänsande ögon. [wave amp=15 freq=2]Jag tänker hela tiden... led hon?[/wave] Visste hon vad som hände?"
Text/100_viktor5/text,Viktors röst spricker. Hon frågade mig en gång om jag någonsin ifrågasatte avvisningarna. Jag sa åt henne [color=CRIMSON]att lita på systemet[/color].
Text/100_viktor6/text,[tornado radius=3 freq=2][color=CRIMSON]Jag skickade min egen fru till bearbetningskaren utan att veta om det.[/color][/tornado]
Choice/100_viktor_choice1/text,Du kunde inte ha vetat. Ingen av oss visste.
Choice/100_viktor_choice2/text,"Elena skulle vilja att du kämpade nu, inte drunknade i skuld."
Choice/100_viktor_choice3/text,Jag vet inte vad jag ska säga. Jag är ledsen.
Text/100_viktor7/text,Han skakar långsamt på huvudet. [color=STEEL_BLUE]Okunnighet är inte oskuld. Jag borde ha frågat. Borde ha lyssnat.[/color]
Text/100_viktor8/text,Viktor stoppar försiktigt undan fotot. [color=CHARTREUSE]Men nu vet jag. Och att veta betyder att jag måste agera.[/color]
Text/100_viktor9/text,"Viktor rätar på sig, en kall eld återuppväcks i hans ögon. [color=CHARTREUSE]Du har rätt.[/color] Hon var starkare än jag. Modigare."
Text/100_viktor10/text,Han knyter näven. [color=CHARTREUSE]När tiden är inne
Text/100_viktor11/text,[pulse freq=2][color=CRIMSON]Och Idaho ska betala för varje liv han har förtärt.[/color][/pulse]
Text/100_viktor12/text,Viktor lyckas med ett sorgset
Text/100_viktor13/text,Han tittar tillbaka på stjärnorna. [color=STEEL_BLUE]Elena skulle ha tyckt om dig.[/color]
Text/100_viktor14/text,"Han vänder sig för att gå, men stannar sedan. [color=CHARTREUSE]När motståndet rör sig... då är jag redo.[/color]"
Text/100_viktor15/text,För Elena. För dem alla. [pulse freq=2][color=CHARTREUSE]Vakterna kommer att följa mig när jag berättar sanningen för dem.[/color][/pulse]
