keys,th
Text/171/text,ฉันจะแนะนำพื้นฐานให้คุณ[color=YELLOW]ทีละขั้นตอน[/color] ทำตามคำแนะนำแล้วคุณจะเข้าใจมันเอง
Text/172/text,ความปลอดภัยและความมั่นคงของสปัดขึ้นอยู่กับ[pulse freq=2][color=DARK_ORANGE]ความระมัดระวังของคุณ![/color][/pulse]
Text/174/text,มาเริ่ม[color=YELLOW]กะฝึกอบรม[/color]ของคุณกันเถอะ...
Text/180/text,แต่ระวังให้ดี - ไม่ใช่มันฝรั่งทุกหัวที่มีเอกสารเรียบร้อย
Text/181/text,[color=RED]หนังสือเดินทางหมดอายุ[/color]จะถูกปฏิเสธโดยอัตโนมัติ ไม่มีข้อยกเว้น
Text/tut_001/text,ยินดีต้อนรับสู่ [pulse freq=2][color=MEDIUM_VIOLET_RED]สปัด คัสตอมส์![/color][/pulse]
Text/tut_002/text,คุณได้รับเลือกให้ปฏิบัติหน้าที่สำคัญ: [color=DARK_ORANGE]เจ้าหน้าที่ศุลกากรชายแดน[/color]
Text/tut_003/text,งานของคุณง่ายมาก มันฝรั่งจะมาถึงบูธของคุณ คุณตรวจสอบเอกสารของพวกเขา และตัดสินใจว่าใครจะผ่านไปได้
Text/tut_004/text,แต่โปรดระวัง - ไม่ใช่มันฝรั่งทุกตัวที่มีเอกสารครบถ้วนถูกต้อง
Text/tut_005/text,[color=RED]หนังสือเดินทางหมดอายุ[/color] จะถูกปฏิเสธโดยอัตโนมัติ ไม่มีข้อยกเว้น
Text/tut_006/text,ผมจะแนะนำพื้นฐานให้คุณ [color=YELLOW]ทีละขั้นตอน[/color] ทำตามคำแนะนำแล้วคุณจะเข้าใจเอง
Text/tut_007/text,[pulse freq=2][color=RED]อีกเรื่องหนึ่ง![/color][/pulse] มันฝรั่งบางตัวจะพยายาม [color=CRIMSON]หลบหนีไป[/color] เมื่อพวกเขาคิดว่าเอกสารของพวกเขาจะไม่ผ่านการตรวจสอบ
Text/tut_008/text,เมื่อ [color=RED]ผู้หลบหนีชายแดน[/color] พยายามหลบหนี คุณจะเห็นพวกเขาวิ่งผ่านบูธของคุณมุ่งหน้าสู่ชายแดน
Text/tut_009/text,นั่นคือที่ที่ [color=CHARTREUSE]เครื่องยิงขีปนาวุธพลังลม[/color] ของคุณมีบทบาท มันคือปุ่มใหญ่บนแผงควบคุมของคุณ
Text/tut_010/text,[color=YELLOW]คลิกเพื่อยิง[/color] เมื่อผู้หลบหนีอยู่ในระยะ เล็งไปที่ [color=GOLD]กึ่งกลางของเขตเป้าหมาย[/color] เพื่อคะแนนโบนัส!
Text/tut_011/text,แต่โปรดระวัง - [color=RED]อย่าโจมตีมันฝรั่งผู้บริสุทธิ์[/color] ที่อยู่ในแถว นั่นจะทำให้คุณเสียคะแนนและได้รับโทษ!
Text/tut_012/text,ความปลอดภัยและความมั่นคงของสปัดขึ้นอยู่กับ [pulse freq=2][color=DARK_ORANGE]ความระมัดระวังของคุณ![/color][/pulse]
Text/tut_013/text,มาเริ่ม [color=YELLOW]กะฝึกอบรม[/color] ของคุณกัน...
