keys,th
Choice/df/text,"""ฟังดูอันตราย ถ้าเราถูกจับได้ล่ะ?"""
Choice/e0/text,"""มีวิธีอื่นไหมที่ไม่ทำให้หลายคนต้องตกอยู่ในความเสี่ยง?"""
Text/e1/text,ใบหน้าของซาช่าเปล่งประกายด้วยความหวัง ขอบคุณ [color=CHARTREUSE]ความกล้าหาญของคุณจะช่วยชีวิตผู้คนนับไม่ถ้วน[/color]
Text/e2/text,เธอจับมือคุณแน่น เมื่อทุกอย่างจบลง [color=CHARTREUSE]คุณจะถูกจดจำในฐานะวีรบุรุษแห่งการปฏิวัติ[/color]
Text/e3/text,[color=STEEL_BLUE]แววตาแห่งความหวังของซาช่าสั่นคลอน[/color] ฉัน... ใช่ มันอันตราย
Text/e4/text,เราทุกคนอาจลงเอยด้วยการ[color=DARK_VIOLET]ถูกแปรรูปเป็น Root Reserve[/color] ด้วยตัวเราเองหากเราล้มเหลว
Text/e5/text,[color=STEEL_BLUE]เธอหันหน้าหนีชั่วครู่[/color] ฉันคิดว่าหลังจากที่คุณได้เห็นทุกอย่างแล้ว... แต่ฉันเข้าใจ ความกลัวเป็นเรื่องธรรมชาติ
Text/e6/text,[color=STEEL_BLUE]ใบหน้าของซาช่าหม่นลง แสงในดวงตาของเธอริบหรี่[/color] วิธีอื่นเหรอ? เราลองวิธีอื่นมาหลายปีแล้ว
Text/e7/text,การร้องเรียน การทูตเงียบ ข้อมูลลับจากนิรนาม [color=STEEL_BLUE]น้ำเสียงของเธอเย็นชาลง[/color] ไม่มีอะไรได้ผลเลย
Text/e8/text,ฉันหวังว่าคุณจะแตกต่างออกไป ว่าคุณเข้าใจว่าอะไรคือเดิมพัน
Text/e9/text,เกิดการถกเถียงอย่างดุเดือดในหมู่สมาชิกกลุ่มต่อต้าน
Text/ea/text,บางคนโต้แย้งให้ใช้วิธีที่รุนแรงกว่า – คือการทำลายโรงแปรรูปทั้งหมด
Text/eb/text,คนอื่น ๆ ยืนกรานว่าการกระทำที่รุนแรงจะทำให้ประชาชนหันมาต่อต้านพวกเขาเท่านั้น
Text/ec/text,พอได้แล้ว! ผู้นำทำให้ห้องเงียบลงด้วยน้ำเสียงที่ทรงอำนาจ
Text/ed/text,เราไม่สามารถแตกแยกกันได้ ไม่ใช่ตอนนี้ ในเมื่อเราใกล้จะสำเร็จแล้ว
Text/ee/text,เป้าหมายของเราเรียบง่าย: เปิดเผยความจริง ให้ประชาชนตัดสินใจว่าจะเกิดอะไรขึ้นต่อไป
Text/ef/text,ผู้นำหันมาพูดกับคุณโดยตรง แต่เราต้องรู้ว่า[color=YELLOW]คุณอยู่ข้างไหน[/color]
Text/f0/text,ในอีกสามวัน สายลับของเราจะเข้าใกล้ด่านตรวจของคุณ พวกเขาจะถือ[color=CHARTREUSE]บัตรประจำตัวสีน้ำเงิน[/color]
Text/f1/text,คุณจะช่วยให้พวกเขาข้ามไปได้ไหม? คำตอบของคุณตอนนี้จะเป็นตัวกำหนดการเคลื่อนไหวต่อไปของเรา
Choice/f2/text,"""ผม/ฉันจะช่วยให้พวกเขาข้ามไป เพื่ออนาคตของสปัด"""
Choice/f3/text,ฉันเข้าร่วมโดยตรงไม่ได้ แต่ฉันจะแกล้งทำเป็นไม่เห็น
Choice/f4/text,ฉันขอเวลาคิดเรื่องนี้อีกหน่อย
Text/f5/text,ผู้นำจับไหล่คุณแน่น [color=CHARTREUSE]ความกล้าหาญของคุณเป็นเกียรติแก่พวกเราทุกคน[/color]
Text/f6/text,ในวันที่สาม เมื่อดวงอาทิตย์อยู่สูงสุด เจ้าหน้าที่ของเราจะมาถึง
Text/f7/text,"รหัสผ่านคือ ""[wave amp=15 freq=3][color=CHARTREUSE]รากหยั่งลึก[/color][/wave]"" จำไว้ให้ดี"
Text/f8/text,ผู้นำพยักหน้าช้าๆ แสดงความผิดหวังอย่างชัดเจน แต่ก็เข้าใจ
Text/f9/text,บางครั้งสิ่งที่เราขอได้มากที่สุดคือแค่ไม่ให้ใครมาขวางทางเรา
Text/fa/text,เจ้าหน้าที่ของเราจะดำเนินการตามแผน แค่... อย่าส่งสัญญาณเตือนภัย
Text/fb/text,สีหน้าของผู้นำแข็งกร้าวขึ้น [color=YELLOW]เวลาเป็นสิ่งฟุ่มเฟือยที่เราไม่มี[/color]
Text/fc/text,แต่การบังคับใครให้เข้าร่วมอุดมการณ์ของเราก็ไม่ได้ทำให้เราดีไปกว่าพวกเขา
Text/fd/text,เราจะดำเนินการต่อไปโดยไม่พึ่งความช่วยเหลือจากคุณ ลองสำรวจจิตสำนึกของคุณดู
Text/fe/text,เมื่อการประชุมสิ้นสุดลง ซาช่าเดินไปกับคุณกลับไปยังจุดตรวจ
Text/ff/text,[color=CHARTREUSE]เธอจับมือคุณขณะเดิน[/color] ไม่ว่าจะเกิดอะไรขึ้น... ตอนนี้เราอยู่ด้วยกันแล้ว ขอบคุณนะ
Text/ff2/text,[color=STEEL_BLUE]เธอรักษาระยะห่างขณะที่คุณเดิน[/color] ฉันซาบซึ้งที่คุณไม่ขวางทางเรา มันก็... ดีนะ
Text/ff3/text,[color=STEEL_BLUE]เธอเดินเงียบๆ กอดอก[/color] ฉันหวังว่าคุณจะพบความแน่นอนที่คุณกำลังมองหา ส่วนที่เหลือของเราไม่สามารถรอได้อีกแล้ว
Text/100_viktor1/text,ระหว่างทางกลับ คุณพบวิกเตอร์อยู่คนเดียวบนหลังคาจุดตรวจ จ้องมองท้องฟ้ายามค่ำคืน
Text/100_viktor2/text,วิกเตอร์ถือก้อนเล็กๆ
Text/100_viktor3/text,เธอเคยบอกว่าไม่ว่าสิ่งต่างๆ จะมืดมิดแค่ไหน ดวงดาวก็จะยังคงอยู่ที่นั่นเสมอ [color=STEEL_BLUE]คงที่ สวยงาม[/color]
Text/100_viktor4/text,เขาหันมาหาคุณ ดวงตาเป็นประกาย [wave amp=15 freq=2]ผมยังคงคิดอยู่เสมอ... เธอทรมานไหม?[/wave] เธอรู้ไหมว่าเกิดอะไรขึ้น?
Text/100_viktor5/text,เสียงของวิกเตอร์สั่นเครือ เธอเคยถามผมครั้งหนึ่งว่าผมเคยตั้งคำถามกับการปฏิเสธไหม ผมบอกเธอ [color=CRIMSON]ให้เชื่อมั่นในระบบ[/color]
Text/100_viktor6/text,[tornado radius=3 freq=2][color=CRIMSON]ผมส่งภรรยาของตัวเองไปที่ถังแปรรูปโดยไม่รู้ตัว[/color][/tornado]
Choice/100_viktor_choice1/text,คุณไม่มีทางรู้ได้หรอก พวกเราไม่มีใครรู้เลย
Choice/100_viktor_choice2/text,เอเลน่าคงอยากให้คุณสู้ตอนนี้ ไม่ใช่จมปลักอยู่กับความรู้สึกผิด
Choice/100_viktor_choice3/text,ฉันไม่รู้จะพูดอะไรดี ฉันเสียใจด้วย
Text/100_viktor7/text,เขาส่ายหน้าช้าๆ [color=STEEL_BLUE]ความไม่รู้ไม่ใช่ความบริสุทธิ์ ผมน่าจะถาม ผมน่าจะฟัง[/color]
Text/100_viktor8/text,วิกเตอร์เก็บรูปถ่ายอย่างระมัดระวัง [color=CHARTREUSE]แต่ตอนนี้ฉันรู้แล้ว และเมื่อรู้แล้ว ฉันก็ต้องลงมือทำ[/color]
Text/100_viktor9/text,วิกเตอร์ยืนตัวตรง ประกายไฟเย็นชาลุกโชนขึ้นอีกครั้งในดวงตาของเขา [color=CHARTREUSE]คุณพูดถูก[/color] เธอแข็งแกร่งกว่าฉัน กล้าหาญกว่า
Text/100_viktor10/text,เขากำหมัดแน่น [color=CHARTREUSE]เมื่อถึงเวลา[/color]
Text/100_viktor11/text,[pulse freq=2][color=CRIMSON]และไอดาโฮจะต้องชดใช้ทุกชีวิตที่เขาได้พรากไป[/color][/pulse]
Text/100_viktor12/text,วิกเตอร์ทำหน้าเศร้า
Text/100_viktor13/text,เขามองกลับไปยังดวงดาว [color=STEEL_BLUE]เอเลน่าคงจะชอบคุณ[/color]
Text/100_viktor14/text,เขาหันหลังจะจากไป แล้วก็หยุดชะงัก [color=CHARTREUSE]เมื่อกองกำลังต่อต้านเคลื่อนไหว... ฉันจะพร้อม[/color]
Text/100_viktor15/text,เพื่อเอเลน่า เพื่อพวกเขาทุกคน [pulse freq=2][color=CHARTREUSE]พวกยามจะตามฉันไปเมื่อฉันบอกความจริงกับพวกเขา[/color][/pulse]
Text/100/text,คุณกลับมายังที่พักของคุณที่จุดตรวจ จิตใจกำลังว้าวุ่นกับเหตุการณ์ที่กำลังจะมาถึง
Text/101/text,ในอีกสามวันข้างหน้า ทุกสิ่งอาจเปลี่ยนแปลงไป [color=YELLOW]ไม่ว่าจะดีขึ้นหรือแย่ลง[/color]
Choice/de/disabled_text,
Choice/df/disabled_text,
Choice/e0/disabled_text,
Choice/f2/disabled_text,
Choice/f3/disabled_text,
Choice/f4/disabled_text,
Choice/100_viktor_choice1/disabled_text,
Choice/100_viktor_choice2/disabled_text,
Choice/100_viktor_choice3/disabled_text,
