keys,pt-BR
Text/2b/text,"Idaho esmaga um botão, e [color=RED]alarmes começam a soar[/color]. ""A única coisa que vou te dar é uma [color=DARK_VIOLET]viagem só de ida para as fritadeiras![/color]"""
Text/2c/text,"Acho que não, Idaho. Guardas! Vocês viram o dossiê, [color=YELLOW]vocês sabem o que ele fez com suas famílias.[/color]"
Text/2d/text,Um guarda corpulento avança e chuta Idaho para o chão rapidamente.
Text/2e/text,Um tiro ecoa pela câmara. A tela escurece.
Text/2f/text,"Idaho, em nome do povo batata de Spud, [color=CHARTREUSE]você está preso![/color]"
Text/30/text,"Acabou. O povo falou. [color=CHARTREUSE]Construiremos uma nova Spud onde nossas raízes estarão no solo, não no sofrimento.[/color]"
Text/31/text,"Não haverá [color=CRIMSON]acordos, nem misericórdia[/color] para você, Idaho. A justiça de um tirano é tudo o que você merece."
Text/32/text,"Um acerto de contas. É isso que eu sou. [color=CHARTREUSE]Por cada batata sacrificada, retomamos nosso futuro![/color]"
Text/33/text,"Esqueça-o. Ele é um sintoma, não a doença. [color=CHARTREUSE]Derrubem cada raiz e caule desta monstruosidade.[/color]"
Text/34/text,Temos que ir! Agora!
Text/35/text,A queda da [color=DARK_VIOLET]Reserva Raiz[/color] acende um incêndio de mudança por toda Spud.
Text/36/text,"Batatas em todas as províncias se levantam, abraçando uma [color=CHARTREUSE]nova visão para sua nação[/color]."
Text/37/text,"Enquanto permanecermos fiéis às nossas raízes, aos ideais que nos trouxeram aqui... [color=CHARTREUSE]encontraremos um caminho.[/color]"
Text/38/text,"E assim, das cinzas da velha Spud, uma [color=CHARTREUSE]nova nação começa a criar raízes[/color]. O Reinado da [color=DARK_VIOLET]Reserva Raiz[/color] acabou."
Text/151/text,"[color=CHARTREUSE]Sasha se aproxima, sua mão encontrando a sua enquanto vocês observam o novo amanhecer juntos.[/color] Nós construímos isso. Você e eu."
Text/152/text,"Enquanto permanecermos fiéis às nossas raízes, aos ideais que nos trouxeram aqui... [color=CHARTREUSE]encontraremos um caminho.[/color] Juntos."
Text/153/text,[color=CHARTREUSE]Você aperta a mão dela. Juntos.[/color]
Text/154/text,[color=STEEL_BLUE]Sasha está ao seu lado.[/color] Seu fogo acendeu a faísca que queimou o império deles.
Text/155/text,[color=STEEL_BLUE]A raiva arrefeceu e se transformou em determinação. Ainda há trabalho a ser feito.[/color]
Text/156/text,[color=STEEL_BLUE]Sasha lhe oferece um sorriso de apoio.[/color] Você percorreu um longo caminho desde aquele posto de controle. Todos nós percorremos.
Text/157/text,"[color=STEEL_BLUE]A culpa talvez nunca desapareça completamente, mas você encontrou propósito na reconstrução.[/color]"
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
