keys,sv
codebreaker_result_none,inga träffar
codebreaker_success,Kod knäckt på {attempts} försök! +{points} poäng!
codebreaker_failure,Slut på försök! Koden visades ovan.
scanner_title,DOKUMENTSKÄNNARE
scanner_instruction,Dra UV-ljuset för att hitta dolda märken! Klicka för att bekräfta.
scanner_found,Hittat: {current} / {total}
scanner_perfect,Perfekt! Alla element hittade! +{points} poäng!
scanner_partial,Bra försök! Hittade {found}/{total}. +{points} poäng!
chase_title,GRÄNSJAKT
chase_instruction,Klicka på de RÖDA smuggelobjekten! Låt de GRÖNA objekten passera.
chase_legend,RÖD = Fånga!   GRÖN = Låt passera
chase_caught,Fångade: {current} / {total}
chase_perfect,Perfekt fångst! +{points} poäng!
chase_partial,Fångade {count} objekt. +{points} poäng!
sorting_title,STÄMPELSORTERING
sorting_instruction,"Dra stämplarna till rätt fack! Grön = GODKÄND, Röd = NEKAD"
sorting_approved,GODKÄND
sorting_denied,NEKAD
sorting_progress,Sorterade: {sorted}/{total} Rätt: {correct}
sorting_perfect,Perfekt sortering! +{points} poäng!
sorting_partial,Sorterade {correct}/{total} korrekt. +{points} poäng!
fingerprint_title,FINGERAVTRYCKSMATCHNING
fingerprint_instruction,Hitta fingeravtrycket som matchar referensen!
fingerprint_reference,REFERENS
fingerprint_find_match,HITTA MATCHNINGEN
fingerprint_progress,Matchade: {current} / {total}
fingerprint_success,Alla fingeravtryck matchade! +{points} poäng!
fingerprint_partial,Matchade {matched}/{total}. +{points} poäng!
score_attack_mode_label,Poängattackläge
score_attack_welcome_title,POÄNGATTACKLÄGE!
score_attack_welcome_survive,Överlev så länge som möjligt!
score_attack_welcome_difficulty,Svårighetsgraden ökar med tiden!
