keys,el
Text/166/text,"Θυμηθείτε, κάθε δραπέτης που περνάει θα μετράει ως [wave amp=20 freq=3][color=CRIMSON]ποινή εναντίον σας[/color][/wave]."
Text/167/text,"Πάρα πολλές ποινές, και η βάρδιά σας θα τελειώσει... [tornado radius=3 freq=3][color=CRIMSON]μόνιμα.[/color][/tornado]"
Text/168/text,Κάθε βάρδια έχει ένα [color=DARK_ORANGE]όριο πατατών[/color] που πρέπει να επεξεργαστείτε για να ολοκληρώσετε την ημέρα σας.
Text/169/text,"Η βαθμολογία σας παρακολουθεί την απόδοσή σας σε σύγκριση με τους συναδέλφους σας σε αυτό το σημείο ελέγχου, και τους υπαλλήλους σε απομακρυσμένα τελωνεία."
Text/16a/text,"Μετά από κάθε βάρδια, θα δείτε μια σύνοψη της απόδοσής σας, και αν επιτύχατε ή αποτύχατε στο καθήκον σας."
Text/16b/text,"Θα δείτε μια ανάλυση του πώς χειριστήκατε τους δραπέτες, και πόσα έγγραφα επεξεργαστήκατε."
Text/16c/text,"Επιπλέον τυχόν μπόνους που κερδίσατε από την γρήγορη επεξεργασία εγγράφων, την τέλεια ευθυγράμμιση σφραγίδων, ή την τέλεια εξουδετέρωση δραπετών πατατών."
Text/16d/text,"Θα λάβετε επίσης μια αξιολόγηση απόδοσης με βάση το πόσο καλά επεξεργαστήκατε τις πατάτες κατά τη διάρκεια της βάρδιάς σας, και έως 3 χρυσές σφραγίδες αν υπερβείτε τις προσδοκίες."
Text/16e/text,Εδώ μπορείτε να υποβάλετε τη βαθμολογία σας για κάθε βάρδια στην παγκόσμια βάση δεδομένων τελωνειακών υπαλλήλων και να δείτε πώς συγκρίνεστε με τους πιο επίλεκτους τελωνειακούς υπαλλήλους σε όλο τον κόσμο.
Text/16f/text,"Αν η βάρδιά σου ήταν επιτυχημένη, θα μπορείς να προχωρήσεις κάνοντας κλικ στο ""Συνέχεια"" και ξεκινώντας την επόμενη βάρδιά σου."
Text/170/text,"Η δουλειά σου είναι απλή. Πατάτες φτάνουν στο θάλαμό σου, ελέγχεις τα έγγραφά τους, και αποφασίζεις ποιος περνάει."
Text/171/text,Θα σε καθοδηγήσω στα βασικά [color=YELLOW]βήμα προς βήμα[/color]. Ακολούθησε τις οδηγίες και θα το συνηθίσεις.
Text/172/text,Η ασφάλεια και η προστασία του Spud εξαρτάται από την [pulse freq=2][color=DARK_ORANGE]επαγρύπνησή σου![/color][/pulse]
Text/174/text,Ας ξεκινήσουμε την [color=YELLOW]βάρδια εκπαίδευσης[/color]...
Text/180/text,Αλλά πρόσεχε – δεν έχουν όλες οι πατάτες τα χαρτιά τους σε τάξη.
Text/181/text,[color=RED]Ληγμένα διαβατήρια[/color] είναι αυτόματη απόρριψη. Καμία εξαίρεση.
Text/tut_001/text,Καλώς ήρθατε στο [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs![/color][/pulse]
Text/tut_002/text,Έχετε επιλεγεί για έναν ζωτικό ρόλο: [color=DARK_ORANGE]Τελωνειακός Υπάλληλος Συνόρων[/color].
Text/tut_003/text,"Η δουλειά σας είναι απλή. Πατάτες φτάνουν στο θάλαμό σας, ελέγχετε τα έγγραφά τους, και αποφασίζετε ποιος περνάει."
Text/tut_004/text,Αλλά προσέξτε – δεν έχουν όλες οι πατάτες τα χαρτιά τους σε τάξη.
Text/tut_005/text,[color=RED]Ληγμένα διαβατήρια[/color] είναι αυτόματη απόρριψη. Καμία εξαίρεση.
Text/tut_006/text,Θα σας καθοδηγήσω στα βασικά [color=YELLOW]βήμα προς βήμα[/color]. Ακολουθήστε τις οδηγίες και θα το συνηθίσετε.
Text/tut_007/text,[pulse freq=2][color=RED]Ένα ακόμα πράγμα![/color][/pulse] Κάποιες πατάτες θα προσπαθήσουν να [color=CRIMSON]το σκάσουν[/color] όταν νομίζουν ότι τα χαρτιά τους δεν θα περάσουν τον έλεγχο.
Text/tut_008/text,"Όταν ένας [color=RED]δραπέτης των συνόρων[/color] προσπαθεί να διαφύγει, θα τους δείτε να τρέχουν γρήγορα περνώντας τον θάλαμό σας προς τα σύνορα."
Text/tut_009/text,Εκεί είναι που ο [color=CHARTREUSE]Εκτοξευτήρας Πνευματικών Πυραύλων[/color] έρχεται σε χρήση. Είναι το μεγάλο κουμπί στον πίνακα ελέγχου σας.
Text/tut_010/text,[color=YELLOW]Κάντε κλικ για να πυροδοτήσετε[/color] όταν ένας δραπέτης είναι εντός εμβέλειας. Στοχεύστε στο [color=GOLD]κέντρο της ζώνης στόχου[/color] για πόντους μπόνους!
Text/tut_011/text,Αλλά προσέξτε – [color=RED]μην χτυπήσετε αθώες πατάτες[/color] στην ουρά. Αυτό θα σας κοστίσει πόντους και θα σας δώσει μια ποινή!
Text/tut_012/text,Η ασφάλεια και η προστασία του Spud εξαρτάται από την [pulse freq=2][color=DARK_ORANGE]επαγρύπνησή σας![/color][/pulse]
Text/tut_013/text,Ας ξεκινήσουμε τη [color=YELLOW]βάρδια εκπαίδευσης[/color]...
