keys,bg
Text/31b/text,Почини си. Утре имаме [color=CRIMSON]още обработка[/color] за надзор.
Text/31c/text,Връщаш се в квартирата си. Медалът тежи на гърдите ти.
Text/31d/text,Изваждаш снимката на изчезналата съпруга. Нейната съпруга вероятно е в същата партида като нея сега.
Text/31e/text,"Обеща да я намериш. [color=STEEL_BLUE]Намери я.[/color] Само че не по начина, по който някой от вас се надяваше."
Text/31f/text,"Мърфи. Твоят приятел. Този, който ти се довери. Той беше в съпротивата."
Text/320/text,[color=CRIMSON]Беше.[/color]
Text/321/text,Взираш се в отражението си в прозореца. Медалът блести. [color=DARK_ORANGE]Златна Клубена[/color]. Герой на Спъд.
Text/322/text,[color=STEEL_BLUE]Чудовище в картофена кожа.[/color]
Text/323/text,Тази нощ сънуваш Саша. Тя не те обвинява. Не беснее. Това би било по-лесно.
Text/324/text,"Тя просто те гледа с тези очи. ""[color=CHARTREUSE]Корените растат дълбоко[/color],"" прошепва тя."
Text/325/text,Дори [color=STEEL_BLUE]гнилите[/color].
Text/326/text,Минават месеци. Повишен си. Регионален инспектор по гранична сигурност. Дясната ръка на Ръсет.
Text/327/text,Надзиравате повече откази от всеки друг в историята на Spud. Производството на [color=DARK_VIOLET]Коренов Резерв[/color] стремглаво расте.
Text/328/text,Офисът ви е удобен. Дажбите ви са щедри. Семейството ви е защитено.
Text/329/text,"Имате всичко, което ви беше обещано."
Text/32a/text,Всичко освен [color=STEEL_BLUE]сън[/color]. Освен [color=STEEL_BLUE]мир[/color]. Освен способността да се погледнете в огледалото.
Text/32b/text,"Един ден го забелязвате. [color=GOLD]Емблема на жълт картоф[/color], надраскана на стена. После още една. После десетки."
Text/32c/text,Формира се нова съпротива. По-тиха. По-внимателна. Учеща се от грешките на Саша.
Choice/32d/text,Докладвайте символите на охраната незабавно
Choice/32e/text,"Престорете се, че не сте ги видели"
Choice/32f/text,Оставете своя собствена следа – едно-единствено жълто листо
Text/330/text,Подавате доклада. Още една група заподозрени е заловена. Още едно повишение.
Text/331/text,Цикълът продължава. [color=CRIMSON]Вие сте се превърнали в машината.[/color]
Text/332/text,Минавате покрай тях. Не казвате нищо. Не е много. [color=STEEL_BLUE]Почти нищо не е.[/color]
Text/333/text,"Но това е първият път, когато избирате да не действате срещу тях."
Text/334/text,"Може би това е нещо. Може би е [color=YELLOW]твърде малко, твърде късно[/color]."
Text/335/text,"Когато никой не гледа, надрасквате малко [color=GOLD]жълто листо[/color] до емблемите."
Text/336/text,Един-единствен акт на неподчинение. Години твърде късно. Но [color=CHARTREUSE]нещо[/color].
Text/337/text,Гласът на Саша отеква в паметта ви: „[color=CHARTREUSE]Корените растат дълбоко.[/color]“
Text/338/text,"Може би достатъчно дълбоко, за да [color=CHARTREUSE]достигнат дори вас[/color]. Някой ден."
Text/339/text,Нацията Spud устоява. [color=DARK_VIOLET]Кореновият Резерв[/color] тече. Цикълът на консумация продължава.
Text/33a/text,"Но някъде, в пукнатините на стената, [color=CHARTREUSE]нещо ново расте[/color]."
Text/33b/text,Дали ще бъдете част от него... [color=YELLOW]тази история тепърва предстои да бъде написана[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
