keys,ar
Text/332/text,تمر بجانبها. لا تقول شيئًا. ليس بالكثير. [color=STEEL_BLUE]إنه لا شيء تقريبًا.[/color]
Text/333/text,لكنها المرة الأولى التي اخترت فيها ألا تتصرف ضدهم.
Text/334/text,ربما هذا شيء ما. ربما [color=YELLOW]قليل جدًا، ومتأخر جدًا[/color].
Text/335/text,عندما لا يراقب أحد، تحفر ورقة [color=GOLD]صفراء صغيرة[/color] بجانب الشعارات.
Text/336/text,فعل تحدٍ واحد. متأخر بسنوات. لكن [color=CHARTREUSE]شيئًا ما[/color].
Text/337/text,"صوت ساشا يتردد في ذاكرتك: ""[color=CHARTREUSE]الجذور تنمو عميقًا.[/color]"""
Text/338/text,ربما عميقة بما يكفي لتصل [color=CHARTREUSE]حتى إليك[/color]. يومًا ما.
Text/339/text,أمة سبود تصمد. [color=DARK_VIOLET]احتياطي الجذور[/color] يتدفق. تستمر دورة الاستهلاك.
Text/33a/text,لكن في مكان ما، في شقوق الجدار، [color=CHARTREUSE]شيء جديد ينمو[/color].
Text/33b/text,ما إذا كنت ستكون جزءًا منه... [color=YELLOW]تلك القصة لم تُكتب بعد[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
