keys,bg
Text/100_viktor6/text,"[tornado radius=3 freq=2][color=CRIMSON]Изпратих собствената си съпруга в преработвателните вани, без да знам.[/color][/tornado]"
Choice/100_viktor_choice1/text,Не можеше да знаеш. Никой от нас не знаеше.
Choice/100_viktor_choice2/text,"Елена би искала да се бориш сега, а не да се давиш във вина."
Choice/100_viktor_choice3/text,Не знам какво да кажа. Съжалявам.
Text/100_viktor7/text,Той поклаща бавно глава. [color=STEEL_BLUE]Невежеството не е невинност. Трябваше да попитам. Трябваше да послушам.[/color]
Text/100_viktor8/text,"Виктор внимателно прибира снимката. [color=CHARTREUSE]Но сега знам. А знанието означава, че трябва да действам.[/color]"
Text/100_viktor9/text,"Виктор се изправя, студен огън се разпалва отново в очите му. [color=CHARTREUSE]Прав си.[/color] Тя беше по-силна от мен. По-смела."
Text/100_viktor10/text,Той стиска юмрук. [color=CHARTREUSE]Когато му дойде времето
Text/100_viktor11/text,"[pulse freq=2][color=CRIMSON]И Айдахо ще плати за всеки живот, който е погълнал.[/color][/pulse]"
Text/100_viktor12/text,Виктор успява да изрази тъга
Text/100_viktor13/text,Той поглежда отново към звездите. [color=STEEL_BLUE]Елена би те харесала.[/color]
Text/100_viktor14/text,"Той се обръща да си тръгне, после спира. [color=CHARTREUSE]Когато съпротивата се задейства... ще бъда готов.[/color]"
Text/100_viktor15/text,"За Елена. За всички тях. [pulse freq=2][color=CHARTREUSE]Пазачите ще ме последват, когато им кажа истината.[/color][/pulse]"
Text/100/text,"Връщаш се в квартирата си на контролно-пропускателния пункт, умът ти препуска под тежестта на предстоящите събития."
Text/101/text,Само след три дни всичко може да се промени. [color=YELLOW]Към по-добро или по-лошо.[/color]
Choice/de/disabled_text,
Choice/df/disabled_text,
Choice/e0/disabled_text,
Choice/f2/disabled_text,
Choice/f3/disabled_text,
Choice/f4/disabled_text,
Choice/100_viktor_choice1/disabled_text,
Choice/100_viktor_choice2/disabled_text,
Choice/100_viktor_choice3/disabled_text,
