keys,de
Text/339/text,Die Nation Spud besteht fort. [color=DARK_VIOLET]Wurzelreserve[/color] fließt. Der Kreislauf des Konsums geht weiter.
Text/33a/text,"Aber irgendwo, in den Rissen der Wand, [color=CHARTREUSE]wächst etwas Neues[/color]."
Text/33b/text,Ob Sie ein Teil davon sein werden ... [color=YELLOW]diese Geschichte muss noch geschrieben werden[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
