keys,ru
scanner_instruction,"Перетащите УФ-лампу, чтобы найти скрытые метки! Нажмите, чтобы подтвердить."
scanner_found,Найдено: {current} / {total}
scanner_perfect,Идеально! Все элементы найдены! +{points} очков!
scanner_partial,Неплохо! Найдено {found}/{total}. +{points} очков!
chase_title,ПОГОНЯ НА ГРАНИЦЕ
chase_instruction,Нажмите на КРАСНЫЕ контрабандные предметы! Пропустите ЗЕЛЁНЫЕ предметы.
chase_legend,КРАСНЫЙ = Поймать! ЗЕЛЁНЫЙ = Пропустить
chase_caught,Поймано: {current} / {total}
chase_perfect,Идеальный улов! +{points} очков!
chase_partial,Поймано {count} предметов. +{points} очков!
sorting_title,СОРТИРОВКА ШТАМПОВ
sorting_instruction,"Перетащите штампы в нужную корзину! Зелёный = ОДОБРЕНО, Красный = ОТКАЗАНО"
sorting_approved,ОДОБРЕНО
sorting_denied,ОТКАЗАНО
sorting_progress,Отсортировано: {sorted}/{total} Верно: {correct}
sorting_perfect,Идеальная сортировка! +{points} очков!
sorting_partial,Правильно отсортировано {correct}/{total}. +{points} очков!
fingerprint_title,ПОИСК СОВПАДЕНИЙ ОТПЕЧАТКОВ
fingerprint_instruction,"Найдите отпечаток пальца, который соответствует образцу!"
fingerprint_reference,ЭТАЛОН
fingerprint_find_match,НАЙТИ СОВПАДЕНИЕ
fingerprint_progress,Совпало: {current} / {total}
fingerprint_success,Все отпечатки совпали! +{points} очков!
fingerprint_partial,Совпало {matched}/{total}. +{points} очков!
score_attack_mode_label,Режим «Атака на очки»
score_attack_welcome_title,АТАКА НА ОЧКИ!
score_attack_welcome_survive,Выживайте как можно дольше!
score_attack_welcome_difficulty,Сложность возрастает со временем!
