keys,it
bonus_stats_template,BONUS\nBonus velocità di elaborazione: {processing_speed_bonus}\nBonus precisione timbro: {accuracy}\nBonus colpi perfetti: {perfect_hit_bonus}\nBonus punteggio totale: {total_score_bonus}
performance_stats_template,PRESTAZIONI\nTempo impiegato: {time_taken}\nPunteggio previsto: {expected_score}\nPunteggio totale: {score}\nPercentuale di eccedenza: {percent}%\nValutazione delle prestazioni:\n{rating}
performance_exceptional,Eccezionale!
performance_excellent,Eccellente!
performance_good,Buono
performance_needs_improvement,Necessita miglioramenti
performance_poor,Scarso
global_leaderboard_title,Classifica globale\n- {difficulty}
getting_leaderboard_scores,Recupero punteggi classifica...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Ripristina gioco:
reset_game_button,Ripristina
mute_label,Muto
fullscreen_label,Schermo intero:
resolution_label,Risoluzione:
antialiasing_label,Anti-Aliasing:
screenshake_label,Tremolio schermo:
mouse_sens_label,Sensibilità mouse:
___ LOADING SCREEN,
Loading…,Caricamento in corso...
___ DIALOGS IN GAME,
You lose.,Hai perso.
You won!,Hai vinto!
Thanks for playing!,Grazie per aver giocato!
Please Confirm...,Conferma...
Go back to main menu?,Tornare al menu principale?
Quit the game?,Uscire dal gioco?
Cancel,Annulla
OK,OK
___ OPTIONS MENU,
Controls,Comandi
Mouse Sensitivity :,Sensibilità mouse:
Actions & Inputs,Azioni e input
Add,Aggiungi
Remove,Rimuovi
Assign Key for {action},Assegna tasto per {action}
Listening for input...,Ascolto input...
Press again to confirm...,Premi di nuovo per confermare...
Focus here to assign inputs.,Concentrati qui per assegnare gli input.
Already Assigned,Già assegnato
{key} already assigned to {action}.,{key} già assegnato a {action}.
Remove Key for {action},Rimuovi tasto per {action}
Are you sure you want to remove {key} from {action}?,Sei sicuro di voler rimuovere {key} da {action}? 
Reset,Ripristina
Audio,Suono
Master :,Master:
Music :,Musica:
SFX :,Effetti sonori:
Ambient :,Ambiente:
Mute :,Disattivato:
Video,Grafica
Fullscreen :,Schermo intero:
Resolution :,Risoluzione:
Anti-Aliasing :,Anti-aliasing:
Disabled (Fastest),Disattivato (Più veloce)
8x (Slowest),8x (Più lento)
Camera Shake :,Vibrazione telecamera:
Normal,Normale
Reduced,Ridotta
Minimal,Minima
None,Nessuna
Game,Partita
Reset Game :,Ripristina partita:
Do you want to reset your game data?,Vuoi ripristinare i tuoi dati di gioco?
Back,Indietro
_INGAME DIALOGUE,
TAKE THEM!,PRENDILI!
"Take your documents, please.","Prendi i tuoi documenti, per favore."
_SHIFT SUMMARY SCREEN,
Continue,Continua
Main Menu,Menu principale
Submit Score,Invia punteggio
Restart,Riavvia
SHIFT SUMMARY,RIEPILOGO MAIUSCOLA
_DIFFICULTY LEVELS,
Easy,Facile
Normal,Normale
Expert,Esperto
Primary,Principale
Secondary,Secondario
Primary Interaction,Interazione primaria
Secondary Interaction,Interazione secondaria
Cancel Interaction,Annulla interazione
Escape,Esc
Dialogic Default Action,Azione dialogica predefinita
Enter,Invio
Left Mouse Button,Pulsante sinistro del mouse
Right Mouse Button,Pulsante destro del mouse
_NEW GAME CONFIRMATION,
Start New Game,Inizia una nuova partita
Starting a new game will reset your progress. Are you sure you want to continue?,Iniziare una nuova partita azzererà i tuoi progressi. Vuoi continuare? 
"Yes, Start New Game","Sì, inizia una nuova partita"
Skip,Salta
History,Cronologia
Return,Indietro
Restart the game?,Vuoi riavviare la partita?
_HELP MENU,
help_menu_button,Aiuto
achievements_menu_button,Obiettivi
help_menu_title,Come giocare
help_tab_basics,Basi
help_tab_gameplay,Giocabilità
help_tab_minigames,Minigiochi
help_basics_intro,[b]Benvenuto a Spud Customs
help_basics_gate,[b]Apertura del Cancello[/b]
help_basics_documents,[b]Ispezione Documenti[/b]
help_basics_stamping,[b]Timbro Documenti[/b]
help_basics_runners,[b]Fuggitivi al Confine[/b]
help_basics_xray,[b]Scanner a Raggi X[/b]
help_gameplay_quota,[b]Raggiungere la Quota[/b]
help_gameplay_strikes,[b]Penalità[/b]
help_gameplay_rules,[b]Regole d'Immigrazione[/b]
help_gameplay_scoring,[b]Punteggio[/b]
help_gameplay_difficulty,[b]Livelli di Difficoltà[/b]
help_minigames_intro,"[b]Minigiochi[/b]\nDurante i tuoi turni, incontrerai dei minigiochi che possono farti guadagnare punti bonus. Completali per ottenere ricompense o saltali senza penalità."
help_minigames_document_scanner,"[b]Scanner Documenti[/b] (Turno 1+)\nUsa la luce UV per trovare elementi nascosti sui documenti. Clicca per contrassegnare filigrane, timbri e simboli. Trova tutti gli elementi prima che scada il tempo!"
help_minigames_stamp_sorting,"[b]Smistamento Timbri[/b] (Turno 2+)\nSmista i timbri che cadono nei contenitori corretti. I timbri verdi vanno in APPROVATO, quelli rossi in RESPINTO. Smista velocemente per punti bonus!"
help_minigames_fingerprint_match,[b]Confronto Impronte[/b] (Turno 3+)\nConfronta le impronte digitali della griglia con il modello di riferimento. Clicca sulle impronte corrispondenti per verificare l'identità. È richiesta un'attenta osservazione!
help_minigames_code_breaker,"[b]Decifra il Codice[/b] (Turno 4+)\nDecifra il codice segreto! Indovina la combinazione di 4 cifre. Verde significa posizione corretta, giallo significa posizione sbagliata. Tentativi limitati!"
help_minigames_border_chase,[b]Inseguimento al Confine[/b] (Turno 5+)\nMerce di contrabbando sul nastro! Clicca sugli oggetti ROSSI per confiscarli. Lascia passare gli oggetti VERDI. Riflessi pronti valgono più punti!
help_tab_lore,Storia
help_lore_world_intro,"[b]Il Mondo di Spud[/b]\n\nBenvenuto in una terra dove le patate hanno costruito la propria civiltà. In questo mondo, i tuberi camminano, parlano e hanno formato la propria nazione con leggi, confini e burocrazia."
help_lore_nation,"[b]La Nazione di Spud[/b]\n\nSpud è una nazione orgogliosa che promette prosperità a tutte le patate. Protetta dalla Grande Muraglia di Spud, la nazione mantiene rigidi controlli di frontiera per garantire che solo i tuberi meritevoli possano entrare.\n\nIl governo promuove unità e obbedienza, e si sentono spesso cittadini patriottici proclamare: ""Gloria a Spud!"""
help_lore_your_role,"[b]Il Tuo Ruolo[/b]\n\nSei stato selezionato per un ruolo cruciale nella protezione dei confini. Come Funzionario della Dogana, lavori sotto l'occhio vigile del Supervisore Russet.\n\nIl tuo benessere dipende dalle tue prestazioni. Raggiungi le tue quote, segui le regole e ricorda: la nazione conta su di te."
help_lore_border,"[b]La Grande Muraglia[/b]\n\nL'imponente Grande Muraglia di Spud protegge la nazione dagli estranei. Nei vari posti di blocco lungo la muraglia, funzionari come te si assicurano che solo i meritevoli possano entrare.\n\nColoro che tentano di attraversare il confine senza la documentazione adeguata subiscono conseguenze immediate."
help_lore_secrets,[b]Riserva Radice[/b]\n\nLe patate respinte vengono... processate. Secondo il protocollo. La misteriosa Riserva Radice si occupa di tutti i dettagli.\n\nÈ meglio non fare troppe domande. Concentrati sui tuoi doveri. Nient'altro.
day_transition_label,Giorno {day}
level_select_choices_header,Scelte fino al Giorno {day}
level_select_choices_header_named,Scelte fino al Giorno {day} - {name}
level_select_play_day,Gioca Questo Giorno
level_select_close,Chiudi
continue_dialog_header,I Tuoi Dati di Salvataggio
continue_dialog_day,Giorno: {day}
continue_dialog_continue,Continua
continue_dialog_cancel,Annulla
new_game_confirm_button,"Sì, Inizia Nuova Partita"
tutorial_choice_play,Gioca Tutorial
tutorial_choice_skip,Salta Tutorial
tutorial_dialog_title,Tutorial
tutorial_dialog_text,Desideri giocare il tutorial?\n\nIl tutorial ti guiderà attraverso le basi dell'essere un ufficiale doganale a Spud Customs.
continue_game_title,Continua Partita
level_select_story_choices,Scelte della Storia
reset_progress_confirm,Sei sicuro di voler resettare i progressi della storia? Questa azione non può essere annullata.
reset_highscores_confirm,Sei sicuro di voler resettare tutti i punteggi migliori? Questa azione non può essere annullata.
level_name_0,Tutorial
level_name_1,Primo Giorno di Lavoro
level_name_2,Nuove Normative
level_name_3,Pressione Crescente
level_name_4,Controllo Contrabbandi
level_name_5,Crisi di Mezzo
level_name_6,Sicurezza Aumentata
level_name_7,Sotto Scrutinio
level_name_8,Doppi Agenti
level_name_9,Caos al Confine
level_name_10,Il Conto alla Rovescia Finale
shift_name_1,Primo Giorno di Lavoro
shift_name_2,Incontro con Sasha e Murphy
shift_name_3,La Moglie Scomparsa
shift_name_4,Camion della Riserva di Radici
shift_name_5,Screening della Lealtà
shift_name_6,RealityScan
shift_name_7,Incontro della Resistenza
shift_name_8,La Cattura di Sasha
shift_name_9,L'Attacco
shift_name_10,Il Conto alla Rovescia Finale
shift_name_unknown,Sconosciuto
path_chaos_agent,Agente del Caos
path_loyalist,Percorso Lealista
path_resistance_ally,Alleato della Resistenza
path_questioning,In Dubbio
path_undetermined,Indeterminato
story_choice_path_label,Percorso:
story_choice_sasha_trust,Fiducia in Sasha: {value}/10
story_choice_chaos_points,Caos: {value} punti
story_choice_no_choices,Nessuna scelta registrata finora
story_choice_day_header,Giorno {day} - {name}
choice_initial_response_eager,Mostrato entusiasmo per Spud
choice_initial_response_questioning,Messo in discussione il sistema
choice_note_reaction_investigate,Scelto di indagare sulla nota
choice_note_reaction_destroy,Distrutta la nota misteriosa
choice_note_reaction_report,Segnalata la nota alle autorità
choice_kept_note_yes,Conservata la nota misteriosa
choice_kept_note_no,Scartata la nota
choice_reported_note_yes,Segnalata la nota
choice_murphy_trust_open,Aperto con Murphy
choice_murphy_trust_guarded,Mantenuto la guardia con Murphy
choice_eat_reserve_ate,Mangiate le razioni di riserva
choice_eat_reserve_refused,Rifiutate le razioni di riserva
choice_scanner_response_loyal,Mostrata lealtà durante il test dello scanner
choice_scanner_response_questioning,Messo in discussione lo scopo dello scanner
choice_family_response_refuse,Rifiutato di aiutare a trovare la moglie
choice_family_response_help,Accettato di aiutare a trovare la moglie scomparsa
choice_has_wife_photo_yes,Ottenuta foto della moglie scomparsa
choice_reveal_reaction_shocked,Scioccato dalla rivelazione
choice_reveal_reaction_cautious,Ha reagito con cautela alla rivelazione
choice_cafeteria_response_serious,Ha preso sul serio le voci della mensa
choice_cafeteria_response_avoid,Ha evitato le discussioni in mensa
choice_murphy_alliance_ally,Si è alleato con Murphy
choice_murphy_alliance_cautious,È rimasto cauto con Murphy
choice_murphy_alliance_skeptical,È rimasto scettico su Murphy
choice_sasha_trust_level_committed,Si è impegnato completamente a fidarsi di Sasha
choice_sasha_trust_level_cautious,È rimasto cauto riguardo a Sasha
choice_sasha_investigation_committed,Si è impegnato per l'indagine di Sasha
choice_sasha_investigation_hesitant,Esitante riguardo all'indagine
choice_loyalty_response_patriotic,Ha dato risposte patriottiche
choice_loyalty_response_idealistic,Ha espresso opinioni idealistiche
choice_hide_choice_desk,Si è nascosto dietro la scrivania
choice_hide_choice_window,Si è nascosto vicino alla finestra
choice_evidence_choice_hand_over,Ha consegnato le prove
choice_evidence_choice_keep,Ha tenuto nascoste le prove
choice_evidence_choice_lie,Ha mentito sulle prove
choice_evidence_choice_chaos,Ha usato le prove per causare il caos
choice_viktor_wife_discovery_yes,Ha scoperto la moglie di Viktor sul manifesto
choice_fellow_officer_response_cautious,È stato cauto con il collega
choice_fellow_officer_response_sympathetic,Ha mostrato simpatia al collega
choice_fellow_officer_response_loyal,È rimasto leale con il collega
choice_interrogation_response_lie,Ha mentito durante l'interrogatorio
choice_interrogation_response_legal,Ha dato risposte legali
choice_viktor_conversation_tell_truth,Detto la verità a Viktor
choice_viktor_conversation_lie_protect,Mento per proteggere Viktor
choice_viktor_conversation_curious,Curioso riguardo a Viktor
choice_scanner_choice_help,Aiutato a sabotare lo scanner
choice_scanner_choice_scan,Operato lo scanner normalmente
choice_scanner_choice_viktor,Scelto Viktor per lo scanner
choice_helped_operative_yes,Aiutato l'agente della resistenza
choice_helped_operative_no,Rifiutato di aiutare l'agente
choice_viktor_allied_yes,Formato alleanza con Viktor
choice_betrayed_resistance_yes,Tradito la resistenza
choice_sasha_plan_response_committed,Impegnato nel piano di Sasha
choice_sasha_plan_response_nervous,Nervoso riguardo al piano
choice_malfunction_excuse_technical,Incolpato malfunzionamento tecnico
choice_malfunction_excuse_innocent,Fatto l'innocente
choice_resistance_mission_committed,Impegnato nella missione della resistenza
choice_resistance_mission_hesitant,Esitante riguardo alla missione
choice_resistance_mission_cautious,Approcciato la missione con cautela
choice_final_decision_help,Deciso di aiutare la resistenza
choice_final_decision_passive,Rimasto passivo
choice_final_decision_undecided,Rimasto indeciso
choice_yellow_badge_response_help,Aiutato i possessori di distintivo giallo
choice_yellow_badge_response_betray,Tradito i possessori di distintivo giallo
choice_follow_trucks_volunteer,Offerto di seguire i camion
choice_follow_trucks_hesitant,Esitante a seguire i camion
choice_found_facility_yes,Trovata la struttura della Riserva Radice
choice_sasha_response_cautious,È stato cauto riguardo alla situazione di Sasha
choice_sasha_response_concerned,Ha mostrato preoccupazione per Sasha
choice_interrogation_choice_deny,Ha negato di sapere sotto interrogatorio
choice_interrogation_choice_betray,Ha tradito altri sotto interrogatorio
choice_sasha_arrest_reaction_intervene,È intervenuto nell'arresto di Sasha
choice_sasha_arrest_reaction_hide,Si è nascosto durante l'arresto di Sasha
choice_sasha_arrest_reaction_promise,Ha fatto una promessa a Sasha
choice_player_wanted_yes,È diventato ricercato dalle autorità
choice_player_captured_yes,È stato catturato dalle autorità
choice_has_keycard_yes,Ha ottenuto una keycard di sicurezza
choice_murphy_final_alliance_committed,Si è impegnato completamente all'alleanza di Murphy
choice_murphy_final_alliance_hesitant,Ha esitato riguardo all'alleanza finale
choice_critical_choice_help,Ha aiutato durante il momento critico
choice_critical_choice_betray,Ha tradito nel momento critico
choice_stay_or_go_stay,È rimasto a combattere
choice_stay_or_go_go,Ha scelto di fuggire
choice_sasha_rescue_reaction_angry,Ha reagito con rabbia al salvataggio
choice_sasha_rescue_reaction_disgusted,È stato disgustato dagli eventi
choice_sasha_rescue_reaction_relieved,Si è sentito sollevato dopo il salvataggio
choice_fellow_officer_response_2_cautious,È rimasto cauto con i colleghi
choice_fellow_officer_response_2_sympathetic,Ha mostrato simpatia ai colleghi
choice_final_mission_response_determined,È stato determinato a completare la missione finale
choice_final_mission_response_cautious,È stato cauto riguardo alla missione finale
choice_resistance_trust_diplomatic,Ha adottato un approccio diplomatico con la resistenza
choice_resistance_trust_committed,Si è impegnato completamente alla resistenza
choice_ending_choice_diplomatic,Scelto finale diplomatico
choice_ending_choice_justice,Scelto finale di giustizia
choice_ending_choice_vengeance,Scelto finale di vendetta
choice_ending_choice_dismantle,Scelto di smantellare il sistema
choice_accept_medal_accept,Accettato la medaglia con orgoglio
choice_accept_medal_reluctant,Con riluttanza accettato la medaglia
choice_eat_final_eat,Mangiato l'offerta finale
choice_eat_final_refuse,Rifiutato l'offerta finale
choice_final_loyalist_choice_report,Segnalato i dissidenti
choice_final_loyalist_choice_ignore,Ignorato i dissidenti
choice_final_loyalist_choice_hope,Mantenuto la speranza di cambiamento
choice_qte_rescue_result_pass,Riuscito nel tentativo di salvataggio
choice_qte_rescue_result_fail,Fallito il tentativo di salvataggio
choice_qte_confrontation_result_pass,Vinto il confronto
choice_qte_confrontation_result_fail,Perso il confronto
choice_qte_escape_result_pass,Fuggito con successo
choice_qte_escape_result_fail,Fallita la fuga
choice_qte_infiltration_result_pass,Infiltrazione riuscita
choice_qte_infiltration_result_fail,Infiltrazione fallita
choice_qte_scanner_result_pass,Sabotaggio scanner riuscito
choice_qte_scanner_result_fail,Sabotaggio scanner fallito
choice_qte_surveillance_result_pass,Evitata la sorveglianza
choice_qte_surveillance_result_fail,Catturato dalla sorveglianza
choice_qte_suppression_result_pass,Resistito alla soppressione
choice_qte_suppression_result_fail,Soggiogato alla soppressione
passport_label_type,Tipo:
passport_label_born,Nato:
passport_label_gender,Sesso:
passport_label_country,Paese:
passport_label_expires,Scade:
passport_label_condition,Condizione:
tutorial_skip,Salta
tutorial_skip_all,Salta Tutti i Tutorial
tutorial_continue_auto,(continua automaticamente...)
tutorial_continue_click,(clicca per continuare...)
tutorial_header,Tutorial {current} di {total}: {name} - Passaggio {step} di {steps}
tutorial_header_single,{name} - Passaggio {step} di {steps}
tutorial_welcome_name,Benvenuto a Spud Customs
tutorial_gate_control_name,Aprire il Cancello
tutorial_megaphone_call_name,Chiamare le Patate
tutorial_document_inspection_name,Ispezionare i Documenti
tutorial_rules_checking_name,Regole d'Immigrazione
tutorial_stamp_usage_name,Usare i Timbri
tutorial_strikes_and_quota_name,Penalità e Quota
tutorial_welcome_step1,[center][b]Benvenuto a Spud Customs![/b][/center]\n\nIl tuo lavoro è elaborare le patate in arrivo al posto di blocco di confine. Impariamo le basi!
tutorial_gate_control_step1,[center][b]Aprire la Tua Cabina[/b][/center]\n\nVedi quella leva? {interact} per alzare la saracinesca e aprire la tua cabina al pubblico!\n\n[color=yellow]{interact} la leva ora.[/color]
tutorial_gate_control_step2,[center][b]Ottimo lavoro![/b][/center]\n\nLa tua cabina è ora aperta. Le patate in coda possono vedere che sei pronto per il servizio.
tutorial_megaphone_call_step1,[center][b]Chiamare la Prossima Patata[/b][/center]\n\nUsa il megafono per chiamare la prossima patata dalla coda alla tua cabina.\n\n[color=yellow]{interact} il megafono![/color]
tutorial_megaphone_call_step2,[center][b]Eccola che arriva![/b][/center]\n\nGuarda mentre la patata si avvicina alla tua cabina. Presenterà i suoi documenti per l'ispezione.
tutorial_document_inspection_step1,[center][b]Ispezione Documenti[/b][/center]\n\nLa patata ti ha consegnato il suo passaporto. {drag} sul tuo tavolo d'ispezione per esaminarlo attentamente.\n\n[color=yellow]{drag} il passaporto sul tavolo.[/color]
tutorial_document_inspection_step2,[center][b]Esaminare il Passaporto[/b][/center]\n\n{interact} il passaporto per aprirlo e controllare le informazioni della patata:\n\n- Nome e foto\n- Paese d'origine\n- Tipo e condizione della patata\n\nCerca qualsiasi cosa sospetta!
tutorial_document_inspection_step3,"[center][b]Controlla le Regole![/b][/center]\n\nPrima di prendere una decisione, devi controllare le regole d'immigrazione. Impariamole!"
tutorial_rules_checking_step1,[center][b]Regole d'Immigrazione[/b][/center]\n\nGuarda il libretto delle regole sulla destra. Queste regole ti dicono quali patate [color=green]APPROVARE[/color] o [color=red]RESPINGERE[/color].\n\nRespingi qualsiasi patata che violi le regole attuali!\n\n[color=red]IMPORTANTE: I documenti con date scadute devono essere RESPINTI![/color]
tutorial_rules_checking_step2,[center][b]Resta Vigilante![/b][/center]\n\nLe regole cambiano tra un turno e l'altro. Controlla sempre le regole attuali prima di prendere decisioni.\n\nConfronta attentamente le informazioni del passaporto con le regole attive.
tutorial_stamp_usage_step1,[center][b]La Barra dei Timbri[/b][/center]\n\nVedi la barra dei timbri in alto? {interact} la maniglia per rivelare i tuoi timbri di approvazione e rifiuto.\n\n[color=yellow]{interact} per aprire la barra dei timbri.[/color]
tutorial_stamp_usage_step2,[center][b]Posizionamento per il Timbro[/b][/center]\n\n{drag} il passaporto sotto i timbri. Vedrai una guida che mostra dove posizionarlo.\n\n[color=green]Timbro verde[/color] = APPROVA\n[color=red]Timbro rosso[/color] = RESPINGI\n\n[color=yellow]Posiziona il passaporto sotto un timbro.[/color]
tutorial_stamp_usage_step3,[center][b]Applica il Timbro![/b][/center]\n\n{interact} il timbro per marcare il passaporto con la tua decisione.\n\n[color=yellow]{interact} un timbro per applicarlo.[/color]
tutorial_stamp_usage_step4,[center][b]Restituisci i Documenti[/b][/center]\n\nOra {drag} il passaporto timbrato alla patata per completare la sua elaborazione.\n\n[color=yellow]Restituisci il passaporto alla patata.[/color]
tutorial_stamp_usage_step5,[center][b]Ben Fatto![/b][/center]\n\nHai elaborato la tua prima patata! Tieni d'occhio la tua quota: devi elaborare abbastanza patate ogni turno.
tutorial_strikes_and_quota_step1,[center][b]Il Sistema delle Quote[/b][/center]\n\nGuarda il display [color=yellow]Quota[/color]. Questo mostra quante patate devi elaborare correttamente ogni turno.
tutorial_strikes_and_quota_step2,[center][b]Evita gli Errori![/b][/center]\n\nIl contatore [color=red]Errori[/color] mostra i tuoi sbagli. Troppi errori e sarà game over!\n\nPrendi decisioni sbagliate e accumulerai errori.
tutorial_strikes_and_quota_step3,"[center][b]Addestramento Completato![/b][/center]\n\nContinua a elaborare patate per completare il tuo turno di addestramento.\n\nUna volta finito, sarai [color=green]certificato come Ufficiale Doganale[/color] e pronto per il tuo primo vero giorno!"
