keys,fr
Text/31d/text,Vous sortez la photo de la femme disparue. Sa femme est probablement dans le même lot qu'elle maintenant.
Text/31e/text,"Vous aviez promis de la retrouver. [color=STEEL_BLUE]Vous l'avez retrouvée.[/color] Juste pas de la manière dont vous l'espériez, ni l'un ni l'autre."
Text/31f/text,Murphy. Votre ami. Celui qui vous faisait confiance. Il était dans la résistance.
Text/320/text,[color=CRIMSON]L'était.[/color]
Text/321/text,Vous fixez votre reflet dans la fenêtre. La médaille scintille. [color=DARK_ORANGE]Tubercule d'Or[/color]. Héros de Spud.
Text/322/text,[color=STEEL_BLUE]Monstre sous peau de pomme de terre.[/color]
Text/323/text,"Cette nuit-là, vous rêvez de Sasha. Elle n'accuse pas. Ne rage pas. Ce serait plus facile."
Text/324/text,"Elle vous regarde simplement avec ces yeux. [color=CHARTREUSE]Les racines poussent profondément[/color], murmure-t-elle."
Text/325/text,Même les [color=STEEL_BLUE]pourries[/color].
Text/326/text,Les mois passent. Vous êtes promu. Inspecteur Régional de la Sécurité Frontalière. Le bras droit de Russet.
Text/327/text,Vous supervisez plus de rejets que quiconque dans l'histoire de Spud. La production de [color=DARK_VIOLET]Réserve Racinaire[/color] monte en flèche.
Text/328/text,Votre bureau est confortable. Vos rations sont généreuses. Votre famille est protégée.
Text/329/text,Vous avez tout ce qui vous a été promis.
Text/32a/text,"Tout, sauf le [color=STEEL_BLUE]sommeil[/color]. Sauf la [color=STEEL_BLUE]paix[/color]. Sauf la capacité de vous regarder dans un miroir."
Text/32b/text,"Un jour, vous le remarquez. Un [color=GOLD]emblème de patate jaune[/color] gravé sur un mur. Puis un autre. Puis des dizaines."
Text/32c/text,Une nouvelle résistance se forme. Plus silencieuse. Plus prudente. Apprenant des erreurs de Sasha.
Choice/32d/text,Signaler immédiatement les symboles à la sécurité
Choice/32e/text,Faire comme si vous ne les aviez pas vus
Choice/32f/text,Laisser votre propre marque - une seule feuille jaune
Text/330/text,Vous déposez le rapport. Un autre groupe de suspects est arrêté. Une autre promotion.
Text/331/text,Le cycle continue. [color=CRIMSON]Vous êtes devenu la machine.[/color]
Text/332/text,Vous passez. Ne dites rien. Ce n'est pas grand-chose. [color=STEEL_BLUE]Ce n'est presque rien.[/color]
Text/333/text,Mais c'est la première fois que vous choisissez de ne pas agir contre eux.
Text/334/text,"Peut-être que c'est quelque chose. Peut-être que c'est [color=YELLOW]trop peu, trop tard[/color]."
Text/335/text,"Quand personne ne regarde, vous gravez une petite [color=GOLD]feuille jaune[/color] à côté des emblèmes."
Text/336/text,Un seul acte de défi. Des années trop tard. Mais [color=CHARTREUSE]quelque chose[/color].
Text/337/text,"La voix de Sasha résonne dans votre mémoire : ""[color=CHARTREUSE]Les racines poussent profondément.[/color]"""
Text/338/text,Peut-être assez profondément pour [color=CHARTREUSE]vous atteindre vous aussi[/color]. Un jour.
Text/339/text,La nation de Spud perdure. La [color=DARK_VIOLET]Réserve Racinaire[/color] coule. Le cycle de consommation continue.
Text/33a/text,"Mais quelque part, dans les fissures du mur, [color=CHARTREUSE]quelque chose de nouveau pousse[/color]."
Text/33b/text,Si vous en ferez partie... [color=YELLOW]cette histoire reste à écrire[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
