keys,ro
Text/c7_viktor12/text,Dacă auzi ceva... [color=YELLOW]te rog.[/color] E tot ce am.
Text/d0_qte1/text,"Mai târziu, în timpul turei, un călător se apropie cu documente purtând [color=CHARTREUSE]semnul subtil al rezistenței[/color]."
Text/d0_qte2/text,[color=DARK_ORANGE]RealityScan[/color] începe scanarea. [wave amp=15 freq=3][color=RED]Va detecta semnul![/color][/wave]
Text/d0_qte3/text,Ai secunde să decizi. Scannerul se încălzește...
Choice/d0_qte4/text,"""Falsifică o defecțiune a scannerului - repede!"""
Choice/d0_qte5/text,"""Lasă scannerul să finalizeze scanarea"""
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]Trebuie să acționezi repede![/color][/pulse] Provoacă defecțiunea înainte să termine scanarea!
Text/d0_qte7/text,Te bâlbâi cu cablurile scannerului. Sar scântei. Ecranul pâlpâie și se stinge.
Text/d0_qte8/text,Russet se repede. [color=YELLOW]Ce s-a întâmplat aici?[/color]
Choice/d0_qte9/text,"""Supratensiune, domnule. Aceste sisteme noi sunt capricioase."""
Choice/d0_qte10/text,"""Nu știu, domnule. Pur și simplu s-a oprit."""
Text/d0_qte11/text,Russet mormăie. [color=STEEL_BLUE]Birocrații ne dau echipament netestat.[/color] Procesează-i manual și marchează-i pentru re-inspecție.
Text/d0_qte12/text,Russet te privește cu suspiciune. [color=YELLOW]Cât de convenabil.[/color] Voi chema mentenanța să se uite la el. Să nu se mai întâmple asta.
Text/d0_qte13/text,Membrul rezistenței îți face un semn subtil de recunoștință în timp ce trece.
Text/d0_qte14/text,Scannerul [pulse freq=3][color=RED]BIPĂIE PUTERNIC[/color][/pulse]. Marcaje neautorizate detectate!
Text/d0_qte15/text,Russet apare instantaneu. [color=CHARTREUSE]Bravo![/color] Încă un trădător prins.
Text/d0_qte16/text,"Membrul rezistenței este târât, cu teroare în ochi. ""[color=CRIMSON]Nu, vă rog! Am copii![/color]"""
Text/d0_qte17/text,Loialitatea ta este [color=DARK_ORANGE]notată în dosarul tău[/color]. Continuă așa.
