keys,ja
help_lore_world_intro,[b]イモの世界[/b]
help_lore_nation,[b]イモ国家[/b]
help_lore_your_role,[b]あなたの役割[/b]
help_lore_border,[b]長城[/b]
help_lore_secrets,[b]根源貯蔵庫[/b]
level_select_choices_header,Day {day}までの選択肢
level_select_choices_header_named,Day {day}までの選択肢 - {name}
level_select_play_day,この日をプレイ
level_select_close,閉じる
continue_dialog_header,セーブデータ
continue_dialog_day,日: {day}
continue_dialog_continue,続ける
continue_dialog_cancel,キャンセル
new_game_confirm_button,はい、新規ゲームを開始
tutorial_choice_play,チュートリアルをプレイ
tutorial_choice_skip,チュートリアルをスキップ
tutorial_dialog_title,チュートリアル
tutorial_dialog_text,チュートリアルをプレイしますか？\n\nチュートリアルでは、Spud Customsの税関職員としての基本を学ぶことができます。
continue_game_title,ゲームを続ける
level_select_story_choices,ストーリー選択
reset_progress_confirm,ストーリーの進行状況をリセットしますか？この操作は元に戻せません。
reset_highscores_confirm,全てのハイスコアをリセットしますか？この操作は元に戻せません。
level_name_0,チュートリアル
level_name_1,初出勤
level_name_2,新しい規制
level_name_3,高まるプレッシャー
level_name_4,密輸品検査
level_name_5,中間危機
level_name_6,警備強化
level_name_7,監視下
level_name_8,二重スパイ
level_name_9,国境の混乱
level_name_10,最終カウントダウン
shift_name_1,初出勤
shift_name_2,サーシャとマーフィーとの出会い
shift_name_3,行方不明の妻
shift_name_4,根源備蓄トラック
shift_name_5,忠誠審査
shift_name_6,現実スキャン
shift_name_7,抵抗集会
shift_name_8,サシャ捕縛
shift_name_9,襲撃
shift_name_10,最終カウントダウン
shift_name_unknown,不明
path_chaos_agent,混沌のエージェント
path_loyalist,忠誠派ルート
path_resistance_ally,抵抗勢力協力者
path_questioning,懐疑ルート
path_undetermined,未定
story_choice_path_label,ルート:
story_choice_sasha_trust,サシャ信頼度: {value}/10
story_choice_chaos_points,混沌: {value} pts
story_choice_no_choices,選択肢はまだ記録されていません
story_choice_day_header,{day}日目 - {name}
choice_initial_response_eager,スパッドに熱意を示した
choice_initial_response_questioning,システムに疑問を呈した
choice_note_reaction_investigate,メモを調査した
choice_note_reaction_destroy,謎のメモを破棄した
choice_note_reaction_report,メモを当局に報告した
choice_kept_note_yes,謎のメモを保管した
choice_kept_note_no,メモを破棄した
choice_reported_note_yes,メモを報告した
choice_murphy_trust_open,マーフィーに心を開いた
choice_murphy_trust_guarded,マーフィーに警戒を続けた
choice_eat_reserve_ate,非常食を食べた
choice_eat_reserve_refused,非常食を拒否した
choice_scanner_response_loyal,スキャナー検査で忠誠心を示した
choice_scanner_response_questioning,スキャナーの目的を疑問視した
choice_family_response_refuse,妻の捜索を拒否した
choice_family_response_help,行方不明の妻の捜索に協力した
choice_has_wife_photo_yes,行方不明の妻の写真を入手した
choice_reveal_reaction_shocked,その暴露に衝撃を受けた
choice_reveal_reaction_cautious,その暴露に慎重に反応した
choice_cafeteria_response_serious,食堂の噂を真剣に受け止めた
choice_cafeteria_response_avoid,食堂での議論を避けた
choice_murphy_alliance_ally,マーフィーと同盟を結んだ
choice_murphy_alliance_cautious,マーフィーに対して慎重な姿勢を保った
choice_murphy_alliance_skeptical,マーフィーに懐疑的なままでいた
choice_sasha_trust_level_committed,サーシャを完全に信頼することにコミットした
choice_sasha_trust_level_cautious,サーシャに対して慎重なままでいた
choice_sasha_investigation_committed,サーシャの調査にコミットした
choice_sasha_investigation_hesitant,その調査にためらいがあった
choice_loyalty_response_patriotic,愛国的な返答をした
choice_loyalty_response_idealistic,理想主義的な見解を表明した
choice_hide_choice_desk,机の陰に隠れた
choice_hide_choice_window,窓のそばに隠れた
choice_evidence_choice_hand_over,証拠を提出した
choice_evidence_choice_keep,証拠を隠した
choice_evidence_choice_lie,証拠について嘘をついた
choice_evidence_choice_chaos,証拠で混乱を招いた
choice_viktor_wife_discovery_yes,マニフェストでヴィクトルの妻を発見した
choice_fellow_officer_response_cautious,同僚に慎重に対応した
choice_fellow_officer_response_sympathetic,同僚に同情を示した
choice_fellow_officer_response_loyal,同僚に対して忠実だった
choice_interrogation_response_lie,尋問中に嘘をついた
choice_interrogation_response_legal,法的な回答をした
choice_viktor_conversation_tell_truth,ヴィクトルに真実を伝えた
choice_viktor_conversation_lie_protect,ヴィクトルを守るために嘘をついた
choice_viktor_conversation_curious,ヴィクトルに興味を持った
choice_scanner_choice_help,スキャナーの妨害を手伝った
choice_scanner_choice_scan,スキャナーを通常通り操作した
choice_scanner_choice_viktor,スキャナーにヴィクトルを選んだ
choice_helped_operative_yes,レジスタンスの工作員を手伝った
choice_helped_operative_no,工作員の手助けを拒否した
choice_viktor_allied_yes,ヴィクトルと同盟を結んだ
choice_betrayed_resistance_yes,レジスタンスを裏切った
choice_sasha_plan_response_committed,サーシャの計画に賛同した
choice_sasha_plan_response_nervous,計画に不安を感じた
choice_malfunction_excuse_technical,技術的な故障のせいだと弁明した
choice_malfunction_excuse_innocent,無実を装った
choice_resistance_mission_committed,レジスタンスの任務に尽力した
choice_resistance_mission_hesitant,任務に躊躇した
choice_resistance_mission_cautious,任務に慎重に取り組んだ
choice_final_decision_help,レジスタンスに協力することにした
choice_final_decision_passive,静観した
choice_final_decision_undecided,未決定のままだった
choice_yellow_badge_response_help,黄色バッジ保持者を助けた
choice_yellow_badge_response_betray,黄色バッジ保持者を裏切った
choice_follow_trucks_volunteer,トラック追跡を志願した
choice_follow_trucks_hesitant,トラック追跡に躊躇した
choice_found_facility_yes,ルートリザーブ施設を発見した
choice_sasha_response_cautious,サーシャの状況に慎重だった
choice_sasha_response_concerned,サーシャを案じた
choice_interrogation_choice_deny,尋問で知らないと主張した
choice_interrogation_choice_betray,尋問で仲間を裏切った
choice_sasha_arrest_reaction_intervene,サーシャの逮捕に介入した
choice_sasha_arrest_reaction_hide,サーシャの逮捕中に隠れた
choice_sasha_arrest_reaction_promise,サーシャに約束した
choice_player_wanted_yes,当局に指名手配された
choice_player_captured_yes,当局に捕らえられた
choice_has_keycard_yes,セキュリティキーカードを入手した
choice_murphy_final_alliance_committed,マーフィーとの同盟に完全にコミットした
choice_murphy_final_alliance_hesitant,最終的な同盟に躊躇した
choice_critical_choice_help,危機的状況で協力した
choice_critical_choice_betray,危機的状況で裏切った
choice_stay_or_go_stay,留まって戦った
choice_stay_or_go_go,逃亡を選択した
choice_sasha_rescue_reaction_angry,救出に怒りで反応した
choice_sasha_rescue_reaction_disgusted,事態に嫌悪感を抱いた
choice_sasha_rescue_reaction_relieved,救出後、安堵した
choice_fellow_officer_response_2_cautious,同僚に対して警戒を怠らなかった
choice_fellow_officer_response_2_sympathetic,同僚に同情を示した
choice_final_mission_response_determined,最終任務の完遂を決意した
choice_final_mission_response_cautious,最終任務に慎重になった
choice_resistance_trust_diplomatic,レジスタンスに外交的なアプローチを取った
choice_resistance_trust_committed,レジスタンスに完全に献身した
choice_ending_choice_diplomatic,外交的な結末を選択した
choice_ending_choice_justice,正義の結末を選択した
choice_ending_choice_vengeance,復讐の結末を選択した
choice_ending_choice_dismantle,システムの解体を選択した
choice_accept_medal_accept,誇りを持ってメダルを受け取った
choice_accept_medal_reluctant,渋々メダルを受け取った
choice_eat_final_eat,最後のお供え物を食べた
choice_eat_final_refuse,最後のお供え物を拒否した
choice_final_loyalist_choice_report,反体制派を報告した
choice_final_loyalist_choice_ignore,反体制派を無視した
choice_final_loyalist_choice_hope,変化への希望を捨てなかった
choice_qte_rescue_result_pass,救出に成功した
choice_qte_rescue_result_fail,救出に失敗した
choice_qte_confrontation_result_pass,対決に勝利した
choice_qte_confrontation_result_fail,対決に敗北した
choice_qte_escape_result_pass,脱出成功
choice_qte_escape_result_fail,脱出失敗
choice_qte_infiltration_result_pass,潜入成功
choice_qte_infiltration_result_fail,潜入失敗
choice_qte_scanner_result_pass,スキャナー妨害成功
choice_qte_scanner_result_fail,スキャナー妨害失敗
choice_qte_surveillance_result_pass,監視回避成功
choice_qte_surveillance_result_fail,監視に発覚
choice_qte_suppression_result_pass,鎮圧抵抗成功
choice_qte_suppression_result_fail,鎮圧に屈した
passport_label_type,種類:
passport_label_born,生年月日:
passport_label_gender,性別:
passport_label_country,国籍:
passport_label_expires,有効期限:
passport_label_condition,状態:
tutorial_skip,スキップ
tutorial_skip_all,全てのチュートリアルをスキップ
tutorial_continue_auto,(自動的に続行中...)
tutorial_continue_click,(クリックして続行...)
tutorial_header,チュートリアル {total}の{current}: {name} - {steps}の{step}ステップ
tutorial_header_single,{name} - {steps}の{step}ステップ
tutorial_welcome_name,スパッド税関へようこそ
tutorial_gate_control_name,ゲートの開閉
tutorial_megaphone_call_name,ジャガイモの呼び出し
tutorial_document_inspection_name,書類検査
tutorial_rules_checking_name,入国審査規則
tutorial_stamp_usage_name,スタンプの使用
tutorial_strikes_and_quota_name,ペナルティとノルマ
tutorial_welcome_step1,[center][b]Spud Customsへようこそ！[/b][/center]\n\n国境検問所にて、入国するじゃがいもを処理するのがあなたの仕事です。基本を学びましょう！
tutorial_gate_control_step1,[center][b]ブースを開く[/b][/center]\n\nあのレバーが見えますか？{interact}してシャッターを上げ、ブースを営業状態にしましょう！\n\n[color=yellow]今すぐレバーを{interact}してください。[/color]
tutorial_gate_control_step2,[center][b]よくできました！[/b][/center]\n\nブースが開きました。列に並んだじゃがいもたちが、あなたが対応可能になったことを確認できます。
tutorial_megaphone_call_step1,[center][b]次のじゃがいもを呼ぶ[/b][/center]\n\nメガホンを使って、列から次のじゃがいもをブースに呼び込みましょう。\n\n[color=yellow]メガホンを{interact}してください！[/color]
tutorial_megaphone_call_step2,[center][b]来ました！[/b][/center]\n\nじゃがいもがブースに近づいてくるのを見守りましょう。彼らは検査のために書類を提示します。
tutorial_document_inspection_step1,[center][b]書類検査[/b][/center]\n\nじゃがいもがパスポートを渡しました。詳しく調べるため、検査台に{drag}してください。\n\n[color=yellow]パスポートを台に{drag}してください。[/color]
tutorial_document_inspection_step2,[center][b]パスポートの確認[/b][/center]\n\nパスポートを{interact}して開き、じゃがいもの情報を確認しましょう：\n\n- 氏名と写真\n- 出身国\n- じゃがいもの種類と状態\n\n不審な点がないか確認してください！
tutorial_document_inspection_step3,[center][b]規則を確認！[/b][/center]\n\n決定を下す前に、入国審査規則を確認する必要があります。それらについて学びましょう！
tutorial_rules_checking_step1,[center][b]入国審査規則[/b][/center]\n\n右側の規則パンフレットを見てください。これらの規則は、どのじゃがいもを[color=green]承認[/color]し、どのじゃがいもを[color=red]拒否[/color]すべきかを教えてくれます。\n\n現在の規則に違反するじゃがいもはすべて[color=red]拒否[/color]してください！\n\n[color=red]重要：有効期限が切れた書類は[color=red]拒否[/color]しなければなりません！[/color]
tutorial_rules_checking_step2,[center][b]常に警戒を！[/b][/center]\n\n規則はシフトごとに変更されます。決定を下す前に、必ず現在の規則を確認してください。\n\nパスポート情報と有効な規則を慎重に比較してください。
tutorial_stamp_usage_step1,[center][b]スタンプバー[/b][/center]\n\n上部にあるスタンプバーが見えますか？ハンドルを{interact}して、承認スタンプと拒否スタンプを表示させましょう。\n\n[color=yellow]スタンプバーを開くには{interact}してください。[/color]
tutorial_stamp_usage_step2,[center][b]スタンプの位置決め[/b][/center]\n\nパスポートをスタンプの下に{drag}してください。どこに置くべきかを示すガイドが表示されます。\n\n[color=green]緑のスタンプ[/color] = 承認\n[color=red]赤のスタンプ[/color] = 拒否\n\n[color=yellow]パスポートをスタンプの下に配置してください。[/color]
tutorial_stamp_usage_step3,[center][b]スタンプを押す！[/b][/center]\n\nスタンプを{interact}して、パスポートにあなたの決定をマークしましょう。\n\n[color=yellow]スタンプを{interact}して押してください。[/color]
tutorial_stamp_usage_step4,[center][b]書類を返却[/b][/center]\n\nスタンプが押されたパスポートをじゃがいもに{drag}で戻し、
tutorial_stamp_usage_step5,[center][b]よくできました！[/b][/center]\n\n初めてのジャガイモを処理しましたね！割り当てに注意してください。各シフトで十分な数のジャガイモを処理する必要があります。
tutorial_strikes_and_quota_step1,[center][b]割り当てシステム[/b][/center]\n\n[color=yellow]割り当て[/color]表示を見てください。これは、各シフトで正確に処理しなければならないジャガイモの数を示しています。
tutorial_strikes_and_quota_step2,[center][b]ストライクを避けろ！[/b][/center]\n\n[color=red]ストライク[/color]カウンターはあなたのミスを示しています。ストライクが多すぎるとゲームオーバーです！\n\n間違った判断をすると、ストライクが加算されます。
tutorial_strikes_and_quota_step3,[center][b]訓練完了！[/b][/center]\n\n訓練シフトを完了するために、ジャガイモの処理を続けてください。\n\n完了すると、[color=green]税関職員として認定[/color]され、初めての本格的な勤務に就く準備が整います！
