keys,da
Text/335/text,"Når ingen ser på, ridser du et lille [color=GOLD]gult blad[/color] ved siden af emblemerne."
Text/336/text,En enkelt trodsig handling. År for sent. Men [color=CHARTREUSE]noget[/color].
Text/337/text,"Sashas stemme genlyder i din hukommelse: ""[color=CHARTREUSE]Rødderne vokser dybt.[/color]"""
Text/338/text,Måske dybt nok til at [color=CHARTREUSE]nå selv dig[/color]. En dag.
Text/339/text,Nationen Spud består. [color=DARK_VIOLET]Rodreserven[/color] flyder. Forbrugscyklussen fortsætter.
Text/33a/text,"Men et sted, i sprækkerne i væggen, [color=CHARTREUSE]vokser noget nyt[/color]."
Text/33b/text,Om du vil være en del af det... [color=YELLOW]den historie er endnu ikke skrevet[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
