keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
dialogue_spud_in_office_1,Please be patient. Time is an illusion.,Buďte prosím trpěliví. Čas je klam.,Vær venligst tålmodig. Tid er en illusion.,Bitte hab Geduld. Zeit ist eine Illusion.,"Por favor, ten paciencia. El tiempo es una ilusión.",Ole kärsivällinen. Aika on harha.,Sois patient. Le temps est une illusion.,Légy türelmes. Az idő egy illúzió.,Mohon bersabar. Waktu adalah ilusi.,"Per favore, sii paziente. Il tempo è un'illusione.",Wees geduldig. Tijd is een illusie.,Vær vennlig tålmodig. Tid er en illusjon.,"Proszę, bądź cierpliwy. Czas to złudzenie.","Por favor, sê paciente. O tempo é uma ilusão.","Te rog, fii răbdător. Timpul este o iluzie.","Prosím, buď trpezlivý. Čas je ilúzia.",Var vänlig och tålmodig. Tid är en illusion.,Lütfen sabırlı ol. Zaman bir yanılsamadır.,Xin hãy kiên nhẫn. Thời gian là ảo tưởng.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.,Please be patient. Time is an illusion.
dialogue_spud_in_office_2,Waiting builds character. And starch.,Čekání buduje charakter. A škrob.,Venten opbygger karakter. Og stivelse.,Warten bildet Charakter. Und Stärke.,La espera construye carácter. Y almidón.,Odottaminen rakentaa luonnetta. Ja tärkkelystä.,L'attente construit le caractère. Et l'amidon.,A várakozás jellemet épít. És keményítőt.,Menunggu membangun karakter. Dan pati.,L'attesa costruisce il carattere. E l'amido.,Wachten vormt karakter. En zetmeel.,Venting bygger karakter. Og stivelse.,Czekanie buduje charakter. I skrobię.,A espera constrói caráter. E amido.,Așteptarea construiește caracter. Și amidon.,Čakanie buduje charakter. A škrob.,Väntan bygger karaktär. Och stärkelse.,Bekleme karakter inşa eder. Ve nişasta.,Sự chờ đợi xây dựng đức tính. Và tinh bột.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.,Waiting builds character. And starch.
dialogue_spud_in_office_3,The queue moves in mysterious ways.,Fronta se pohybuje tajemnými cestami.,Køen bevæger sig på mystiske måder.,Die Warteschlange bewegt sich auf mysteriöse Weise.,La cola se mueve de manera misteriosa.,Jono liikkuu mystisillä tavoilla.,La file avance de manière mystérieuse.,A sor titokzatos utakon halad.,Antrian bergerak dengan cara misterius.,La fila si muove in modi misteriosi.,De rij beweegt op mysterieuze wijzen.,Køen beveger seg på mystiske måter.,Kolejka porusza się w tajemniczy sposób.,A fila move-se de maneiras misteriosas.,Coada se mișcă în moduri misterioase.,Rad sa pohybuje tajomným spôsobom.,Kön rör sig på mystiska sätt.,Sıra gizemli yollardan ilerliyor.,Hàng đợi di chuyển theo những cách bí ẩn.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.,The queue moves in mysterious ways.
dialogue_spud_in_office_4,Your position is noted by authorities.,Vaše pozice je zaznamenána úřady.,Din position er noteret af myndighederne.,Deine Position wird von den Behörden notiert.,Tu posición es anotada por las autoridades.,Sijaintisi on viranomaisten merkitsemä.,Ta position est notée par les autorités.,A pozíciódat a hatóságok rögzítik.,Posisimu dicatat oleh pihak berwenang.,La tua posizione è annotata dalle autorità.,Je positie wordt genoteerd door de autoriteiten.,Din posisjon er notert av myndighetene.,Twoja pozycja jest odnotowana przez władze.,Tua posição é anotada pelas autoridades.,Poziția ta este notată de autorități.,Tvoja pozícia je zaznamenaná úradmi.,Din position är noterad av myndigheterna.,Konumun yetkililer tarafından not edildi.,Vị trí của bạn được ghi nhận bởi các nhà chức trách.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.,Your position is noted by authorities.
dialogue_spud_in_office_5,Standing in line: the universal constant.,Stát ve frontě: univerzální konstanta.,At stå i kø: den universelle konstant.,In der Schlange stehen: die universelle Konstante.,Hacer cola: la constante universal.,Jonossa seisominen: universaali vakio.,Faire la queue : la constante universelle.,Sorban állás: az univerzális állandó.,Mengantri: konstanta universal.,Fare la fila: la costante universale.,In de rij staan: de universele constante.,Å stå i kø: den universelle konstant.,Stanie w kolejce: uniwersalna stała.,Fazer fila: a constante universal.,Stat la coadă: constanta universală.,Stáť v rade: univerálna konštanta.,Att stå i kö: den universella konstanten.,Sırada beklemek: evrensel sabit.,Đứng xếp hàng: hằng số phổ quát.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.,Standing in line: the universal constant.
dialogue_spud_in_office_6,No spud is ready until seasoned by waiting.,"Žádný brambor není připraven, dokud není proložen čekáním.","Ingen knold er klar, før den er modnet af venten.","Keine Knolle ist bereit, bis sie durch Warten gewürzt wurde.",Ningún tubérculo está listo hasta que es sazonado por la espera.,"Yksikään mukulainen ei ole valmis, ennen kuin odotus on sen maustamaa.",Aucun tubercule n'est prêt avant d'être assaisonné par l'attente.,"Egyetlen gumós sem áll készen, míg a várakozás meg nem érleli.",Tak ada umbi siap sebelum diperlamat oleh penantian.,Nessun tubero è pronto finché non è stagionato dall'attesa.,Geen enkele knol is klaar voordat hij is gekruid door wachten.,Ingen knokkel er klar før den er modnet av venting.,"Żadna bulwa nie jest gotowa, dopóki nie dojrzeje przez czekanie.",Nenhum tubérculo está pronto antes de temperado pela espera.,Nici un tubercul nu este gata înainte de a fi condimentat prin așteptare.,"Žiadna hľuza nie je pripravená, kým nie je ochutená čakaním.",Ingen knöl är redo förrän den kryddats av väntan.,"Hiçbir yumru, beklemeyle çerezlenmeden hazır değildir.",Không một khoai nào sẵn sàng trước khi được gia vị bởi sự chờ đợi.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.,No spud is ready until seasoned by waiting.
dialogue_spud_in_office_7,"Patience: not the only virtue, but listed.","Trpělivost: ne jediná ctnost, ale uvedená.","Tålmodighed: ikke den eneste dyd, men anført.","Geduld: nicht die einzige Tugend, aber aufgeführt.","Paciencia: no la única virtud, pero mencionada.","Kärsivällisyys: ei ainoa hyve, mutta mainittu.","Patience : pas la seule vertu, mais mentionnée.","Türelem: nem az egyetlen erény, de megemlítve.","Kesabaran: bukan satu-satunya kebajikan, tapi disebutkan.","Pazienza: non l'unica virtù, ma menzionata.","Geduld: niet de enige deugd, maar vermeld.","Tålmodighet: ikke den eneste dyd, men nevnt.","Cierpliwość: nie jedyny przymiot, ale wymieniony.","Paciência: não a única virtude, mas mencionada.","Răbdarea: nu singura virtute, dar menționată.","Trpezlivosť: nie jediná cnosť, ale spomenutá.","Tålamod: inte den enda dygden, men nämnda.","Sabır: tek erdem değil, ama zikredilen.","Kiên nhẫn: không phải đức tính duy nhất, nhưng được đề cập.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed.","Patience: not the only virtue, but listed."
dialogue_spud_in_office_8,Bureaucratic wheels turn slowly. Very slowly.,Byrokratické kolo se otáčí pomalu. Velmi pomalu.,Bureaukratiske hjul drejer langsomt. Meget langsomt.,Bürokratische Räder drehen sich langsam. Sehr langsam.,Las ruedas burocráticas giran lentamente. Muy lentamente.,Byrokraattiset rattaat pyörivät hitaasti. Erittäin hitaasti.,Les roues bureaucratiques tournent lentement. Très lentement.,A bürokrata kerekek lassan fordulnak. Nagyon lassan.,Roda birokrasi berputar lambat. Sangat lambat.,Le ruote burocratiche girano lentamente. Molto lentamente.,Bureaucratische wielen draaien langzaam. Heel langzaam.,Byråkratiske hjul dreier sakte. Veldig sakte.,Administracyjne koła obracają się powoli. Bardzo powoli.,As rodas burocráticas giram devagar. Muito devagar.,Roțile birocratice se învârt încet. Foarte încet.,Byrokracké kolesá sa otáčajú pomaly. Veľmi pomaly.,Byråkratiska hjul snurrar långsamt. Mycket långsamt.,Bürokratik çarklar yavaş dönüyor. Çok yavaş.,Bánh xe quan liêu quay chậm. Rất chậm.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.,Bureaucratic wheels turn slowly. Very slowly.
dialogue_spud_in_office_9,"Ah, the sweet sound of procedure!","Ach, sladký zvuk procedury!","Ah, den søde lyd af procedure!","Ah, der süße Klang des Verfahrens!","¡Ah, el dulce sonido del procedimiento!","Ah, prosessin suloinen ääni!","Ah, le doux son de la procédure !","Ó, az eljárás édes hangja!","Ah, bunyi manis prosedur!","Ah, il dolce suono della procedura!","Ah, de zoete klank van procedure!","Ah, den søte lyden av prosedyre!","Ach, słodki dźwięk procedury!","Ah, o doce som do procedimento!","Ah, dulcele sunet al procedurii!","Ach, sladký zvuk procedúry!","Ah, procedurinstrumentationens sköna ljud!","Ah, prosedürün tatlı sesi!","Ôi, âm thanh ngọt ngào của thủ tục!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!","Ah, the sweet sound of procedure!"
dialogue_spud_in_office_10,Today's queue is tomorrow's anecdote.,Dnešní fronta je zítřejší anekdota.,Dagens kø er morgendagens anekdote.,Die heutige Warteschlange ist die Anekdote von morgen.,La cola de hoy es la anécdota de mañana.,Tämän päivän jono on huomisen anekdootti.,La file d'aujourd'hui est l'anecdote de demain.,A mai sor holnap anekdota lesz.,Antrian hari ini adalah anekdot esok.,La fila di oggi è l'aneddoto di domani.,De rij van vandaag is de anekdote van morgen.,Dagens kø er morgendagens anekdote.,Dzisiejsza kolejka to jutrzejsza anegdota.,A fila de hoje é a anedota de amanhã.,Coada zilei deazi este anecdota de mâine.,Dnešný rad je zajtrajšia anekdota.,Dagens kö är morgondagens anekdot.,Bugünün sırası yarının anekdotu.,Hàng đợi của hôm nay là câu chuyện kể của ngày mai.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.,Today's queue is tomorrow's anecdote.
dialogue_spud_in_office_11,Time in queues bends. It's been measured.,Čas ve frontách se ohýbá. Byl změřen.,Tid i køer bøjer. Den er blevet målt.,Zeit in Warteschlangen biegt sich. Es wurde gemessen.,El tiempo en las colas se dobla. Ha sido medido.,Aika jonossa taittuu. Se on mitattu.,Le temps dans les files se plie. Il a été mesuré.,Az idő a sorokban meghajlik. Meg lett mérve.,Waktu dalam antrian melengkung. Sudah diukur.,Il tempo nelle file si piega. È stato misurato.,Tijd in rijen buigt. Het is gemeten.,Tid i køer bøyer seg. Den er blitt målt.,Czas w kolejkach się zagina. Został zmierzony.,O tempo nas filas se dobra. Foi medido.,Timpul în cozi se îndoaie. A fost măsurat.,Čas v radoch sa ohýba. Bol odmeraný.,Tid i köer böjer sig. Den har mätts.,Sıradaki zaman bükülüyor. Ölçülmüş.,Thời gian trong hàng đợi uốn cong. Nó đã được đo lường.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.,Time in queues bends. It's been measured.
dialogue_spud_in_office_12,Waiting skill: Level 43 achieved!,Dovednost čekání: Úroveň 43 dosažena!,Ventekompetence: Niveau 43 opnået!,Wartefähigkeit: Level 43 erreicht!,¡Habilidad de espera: Nivel 43 alcanzado!,Odotustaso: Taso 43 saavutettu!,Compétence d'attente : Niveau 43 atteint !,Várakozási képesség: 43. szint elérve!,Kemampuan menunggu: Level 43 dicapai!,Abilità di attesa: Livello 43 raggiunto!,Wachtvaardigheid: Niveau 43 bereikt!,Ventekompetanse: Nivå 43 oppnådd!,Umiejętność czekania: Poziom 43 osiągnięty!,Habilidade de espera: Nível 43 alcançado!,Abilitatea de așteptare: Nivel 43 atins!,Schopnosť čakania: Úroveň 43 dosiahnutá!,Vänteförmåga: Nivå 43 uppnådd!,Bekleme becerisi: Seviye 43 tamamlandı!,Kỹ năng chờ đợi: Đạt cấp độ 43!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!,Waiting skill: Level 43 achieved!
