keys,sk
Please Confirm...,Prosím potvrďte...
Go back to main menu?,Vrátiť sa späť do hlavnej ponuky?
Quit the game?,Ukončiť hru?
Cancel,Zrušiť
OK,OK
___ OPTIONS MENU,
Controls,Ovládacie prvky
Mouse Sensitivity :,Citlivosť myši:
Actions & Inputs,Akcie a vstupy
Add,Pridať
Remove,Odstrániť
Assign Key for {action},Priradiť kľúč pre {action}
Listening for input...,Počúvanie vstupu...
Press again to confirm...,Opätovným stlačením potvrďte...
Focus here to assign inputs.,Zamerajte sa tu na priradenie vstupov.
Already Assigned,Už pridelené
{key} already assigned to {action}.,{key} je už priradený k {action}.
Remove Key for {action},Odstrániť kľúč pre {action}
Are you sure you want to remove {key} from {action}?,Naozaj chcete odstrániť {key} z {action}?
Reset,Resetovať
Audio,Zvuk
Master :,majster:
Music :,hudba:
SFX :,SFX:
Ambient :,Okolité prostredie:
Mute :,Stlmiť :
Video,Obraz
Fullscreen :,Celá obrazovka:
Resolution :,rozlíšenie:
Anti-Aliasing :,Anti-aliasing:
Disabled (Fastest),Zakázané (najrýchlejšie)
8x (Slowest),8x (najpomalšie)
Camera Shake :,Chvenie fotoaparátu:
Normal,Normálne
Reduced,Znížená
Minimal,Minimálne
None,žiadne
Game,Hra
Reset Game :,Obnoviť hru:
Do you want to reset your game data?,Chcete obnoviť údaje o hre?
Back,Späť
_INGAME DIALOGUE,
TAKE THEM!,BERTE SI ICH!
"Take your documents, please.","Vezmite si doklady, prosím."
_SHIFT SUMMARY SCREEN,
Continue,Pokračovať
Main Menu,Hlavné menu
Submit Score,Odoslať skóre
Restart,Reštartujte
SHIFT SUMMARY,SÚHRN POSUN
_DIFFICULTY LEVELS,
Easy,Jednoduché
Normal,Normálne
Expert,Odborník
Primary,Primárne
Secondary,Sekundárne
Primary Interaction,Primárna interakcia
Secondary Interaction,Sekundárna interakcia
Cancel Interaction,Zrušiť interakciu
Escape,Uniknúť
Dialogic Default Action,Dialogická predvolená akcia
Enter,Zadajte
Left Mouse Button,Ľavé tlačidlo myši
Right Mouse Button,Pravé tlačidlo myši
_NEW GAME CONFIRMATION,
Start New Game,Začať novú hru
Starting a new game will reset your progress. Are you sure you want to continue?,Spustenie novej hry obnoví váš postup. Naozaj chcete pokračovať?
"Yes, Start New Game","Áno, začať novú hru"
Skip,Preskočiť
History,História
Return,Návrat
Restart the game?,Reštartovať hru?
_HELP MENU,
help_menu_button,Pomoc
achievements_menu_button,Úspechy
achievements_panel_title,ÚSPECHY
achievements_panel_close,Zatvoriť
help_menu_title,Ako hrať
help_tab_basics,Základy
help_tab_gameplay,Hrateľnosť
help_tab_minigames,Minihry
help_basics_intro,[b]Vitajte v Spud Customs
help_basics_gate,[b]Otvorenie brány[/b]
help_basics_documents,[b]Kontrola dokumentov[/b]
help_basics_stamping,[b]Pečiatkovanie dokumentov[/b]
help_basics_runners,[b]Hraniční bežci[/b]
help_basics_xray,[b]Röntgenový skener[/b]
help_gameplay_quota,[b]Splnenie kvóty[/b]
help_gameplay_strikes,[b]Pokuty[/b]
help_gameplay_rules,[b]Imigračné pravidlá[/b]
help_gameplay_scoring,[b]Bodovanie[/b]
help_gameplay_difficulty,[b]Úrovne obtiažnosti[/b]
help_minigames_intro,"[b]Minihry[/b]\nPočas vašich zmien narazíte na minihry, ktoré vám môžu priniesť bonusové body. Dokončite ich pre odmeny alebo ich preskočte bez postihu."
help_minigames_document_scanner,"[b]Skener dokumentov[/b] (Zmena 1+)\nPoužite UV svetlo na nájdenie skrytých prvkov na dokumentoch. Kliknutím označte vodoznaky, pečiatky a symboly. Nájdite všetky prvky, kým nevyprší čas!"
help_minigames_stamp_sorting,"[b]Triedenie pečiatok[/b] (Zmena 2+)\nTrieďte padajúce pečiatky do správnych košov. Zelené pečiatky patria do SCHVÁLENÉ, červené do ZAMIETNUTÉ. Trieďte rýchlo pre bonusové body!"
help_minigames_fingerprint_match,[b]Zhoda odtlačkov prstov[/b] (Zmena 3+)\nPriraďte odtlačky prstov z mriežky k referenčnému vzoru. Kliknutím na zhodné odtlačky overíte identitu. Vyžaduje sa pozorné sledovanie!
help_minigames_code_breaker,"[b]Lamač kódov[/b] (Zmena 4+)\nPrelomte tajný kód! Uhádnite 4-miestnu kombináciu. Zelená znamená správnu pozíciu, žltá nesprávnu pozíciu. Obmedzený počet pokusov!"
help_minigames_border_chase,[b]Hraničná naháňačka[/b] (Zmena 5+)\nKontraband na páse! Kliknutím na ČERVENÉ predmety ich zhabete. ZELENÉ predmety nechajte prejsť. Rýchle reflexy prinášajú viac bodov!
help_tab_lore,Príbeh
help_lore_world_intro,"[b]Svet Spudu[/b]\n\nVitajte v krajine, kde si zemiaky vybudovali vlastnú civilizáciu. V tomto svete hľuzy chodia, rozprávajú a vytvorili si vlastný národ so zákonmi, hranicami a byrokraciou."
help_lore_nation,"[b]Národ Spud[/b]\n\nSpud je hrdý národ, ktorý sľubuje prosperitu všetkým zemiakom. Národ, chránený Veľkým múrom Spudu, udržiava prísne hraničné kontroly, aby zabezpečil, že vstúpiť môžu len hodné hľuzy.\n\nVláda podporuje jednotu a poslušnosť a od vlasteneckých občanov často počuť zvolanie: ""Sláva Spudu!"""
help_lore_your_role,"[b]Vaša úloha[/b]\n\nBoli ste vybraný na kľúčovú úlohu pri ochrane hraníc. Ako colný úradník pracujete pod ostražitým dohľadom dozorcu Russeta.\n\nVáš blahobyt závisí od vášho výkonu. Plňte svoje kvóty, dodržiavajte pravidlá a pamätajte: národ sa na vás spolieha."
help_lore_border,"[b]Veľký múr[/b]\n\nMocný Veľký múr Spudu chráni národ pred cudzincami. Na rôznych kontrolných stanovištiach pozdĺž múru úradníci ako vy zaisťujú, že vstúpiť môžu len tí hodní.\n\nTí, ktorí sa pokúsia prekročiť hranicu bez riadnych dokladov, čelia okamžitým následkom."
help_lore_secrets,[b]Koreňová rezerva[/b]\n\nZamietnuté zemiaky sú... spracované. Podľa protokolu. Záhadná Koreňová rezerva sa postará o všetky detaily.\n\nJe lepšie neklásť príliš veľa otázok. Sústreďte sa na svoje povinnosti. Nič viac.
day_transition_label,Deň {day}
level_select_choices_header,Voľby do Dňa {day}
level_select_choices_header_named,Voľby do Dňa {day} - {name}
level_select_play_day,Hrať Tento Deň
level_select_close,Zavrieť
continue_dialog_header,Vaša Uložená Hra
continue_dialog_day,Deň: {day}
continue_dialog_continue,Pokračovať
continue_dialog_cancel,Zrušiť
new_game_confirm_button,"Áno, Začať Novú Hru"
tutorial_choice_play,Hrať Tutoriál
tutorial_choice_skip,Preskočiť Tutoriál
tutorial_dialog_title,Tutoriál
tutorial_dialog_text,Chceli by ste si zahrať tutoriál?\n\nTutoriál vás prevedie základmi práce colníka v Spud Customs.
continue_game_title,Pokračovať v Hre
level_select_story_choices,Príbehové Voľby
reset_progress_confirm,Naozaj chcete resetovať príbehový postup? Túto akciu nemožno vrátiť späť.
reset_highscores_confirm,Naozaj chcete resetovať všetky najvyššie skóre? Túto akciu nemožno vrátiť späť.
level_name_0,Tutoriál
level_name_1,Prvý deň v práci
level_name_2,Nové predpisy
level_name_3,Rastúci tlak
level_name_4,Kontrola kontrabandu
level_name_5,Kríza v polovici
level_name_6,Zvýšená bezpečnosť
level_name_7,Pod drobnohľadom
level_name_8,Dvojití agenti
level_name_9,Pohraničný chaos
level_name_10,Posledné odpočítavanie
shift_name_1,Prvý deň v práci
shift_name_2,Stretnutie so Sashou a Murphym
shift_name_3,Stratená manželka
shift_name_4,Nákladné autá koreňových zásob
shift_name_5,Previerka lojality
shift_name_6,RealitaSken
shift_name_7,Stretnutie odporu
shift_name_8,Sashino zajatie
shift_name_9,Útok
shift_name_10,Posledné odpočítavanie
shift_name_unknown,Neznáme
path_chaos_agent,Agent chaosu
path_loyalist,Cesta lojalistu
path_resistance_ally,Spojenec odporu
path_questioning,Spochybňovanie
path_undetermined,Neurčené
story_choice_path_label,Cesta:
story_choice_sasha_trust,Dôvera v Sashu: {value}/10
story_choice_chaos_points,Chaos: {value} b.
story_choice_no_choices,Zatiaľ neboli zaznamenané žiadne voľby
story_choice_day_header,Deň {day} - {name}
choice_initial_response_eager,Prejavil/a nadšenie pre Spud
choice_initial_response_questioning,Spochybnil/a systém
choice_note_reaction_investigate,Rozhodol/a sa preveriť poznámku
choice_note_reaction_destroy,Zničil/a záhadnú poznámku
choice_note_reaction_report,Nahlásil/a poznámku úradom
choice_kept_note_yes,Ponechal/a si záhadnú poznámku
choice_kept_note_no,Zahodil/a poznámku
choice_reported_note_yes,Nahlásil/a poznámku
choice_murphy_trust_open,Bol/a otvorený/á voči Murphymu
choice_murphy_trust_guarded,Zostal/a ostražitý/á voči Murphymu
choice_eat_reserve_ate,Zjedol/a rezervné dávky
choice_eat_reserve_refused,Odmietol/a rezervné dávky
choice_scanner_response_loyal,Prejavil/a lojalitu počas testu skenera
choice_scanner_response_questioning,Spochybnil/a účel skenera
choice_family_response_refuse,Odmietol/a pomôcť nájsť manželku
choice_family_response_help,Súhlasil/a s pomocou pri hľadaní nezvestnej manželky
choice_has_wife_photo_yes,Získal/a fotografiu nezvestnej manželky
choice_reveal_reaction_shocked,Bol/a šokovaný/á odhalením
choice_reveal_reaction_cautious,Reagoval opatrne na odhalenie
choice_cafeteria_response_serious,Vzal kaviarenské klebety vážne
choice_cafeteria_response_avoid,Vyhol sa diskusiám v jedálni
choice_murphy_alliance_ally,Spojil sa s Murphym
choice_murphy_alliance_cautious,Zostal opatrný voči Murphymu
choice_murphy_alliance_skeptical,Zostal skeptický voči Murphymu
choice_sasha_trust_level_committed,Plne sa zaviazal dôverovať Sashe
choice_sasha_trust_level_cautious,Zostal opatrný voči Sashe
choice_sasha_investigation_committed,Zaviazal sa k Sashinmu vyšetrovaniu
choice_sasha_investigation_hesitant,Váhal ohľadom vyšetrovania
choice_loyalty_response_patriotic,Dal vlastenecké odpovede
choice_loyalty_response_idealistic,Vyjadril idealistické názory
choice_hide_choice_desk,Skryl sa za stôl
choice_hide_choice_window,Skryl sa pri okne
choice_evidence_choice_hand_over,Odovzdal dôkazy
choice_evidence_choice_keep,Nechal dôkazy skryté
choice_evidence_choice_lie,Klamal o dôkazoch
choice_evidence_choice_chaos,Použil dôkazy na vyvolanie chaosu
choice_viktor_wife_discovery_yes,Objavil Viktorovu manželku na manifeste
choice_fellow_officer_response_cautious,Bol opatrný voči kolegovi dôstojníkovi
choice_fellow_officer_response_sympathetic,Prejavil súcit k kolegovi dôstojníkovi
choice_fellow_officer_response_loyal,Zostal lojálny v prítomnosti kolegu dôstojníka
choice_interrogation_response_lie,Klamal počas výsluchu
choice_interrogation_response_legal,Dal právne odpovede
choice_viktor_conversation_tell_truth,Povedal Viktorovi pravdu
choice_viktor_conversation_lie_protect,"Klamal, aby ochránil Viktora"
choice_viktor_conversation_curious,Bol zvedavý na Viktora
choice_scanner_choice_help,Pomohol sabotovať skener
choice_scanner_choice_scan,Obsluhoval skener normálne
choice_scanner_choice_viktor,Vybral Viktora pre skener
choice_helped_operative_yes,Pomohol agentovi odboja
choice_helped_operative_no,Odmietol pomôcť agentovi
choice_viktor_allied_yes,Vytvoril spojenectvo s Viktorom
choice_betrayed_resistance_yes,Zradil odboj
choice_sasha_plan_response_committed,Zaviazal sa k Sašinmu plánu
choice_sasha_plan_response_nervous,Bol nervózny z plánu
choice_malfunction_excuse_technical,Obvinil technickú poruchu
choice_malfunction_excuse_innocent,Hral nevinného
choice_resistance_mission_committed,Zaviazal sa k misii odboja
choice_resistance_mission_hesitant,Bol váhavý ohľadom misie
choice_resistance_mission_cautious,Pristúpil k misii opatrne
choice_final_decision_help,Rozhodol sa pomôcť odboju
choice_final_decision_passive,Zostal pasívny
choice_final_decision_undecided,Zostal nerozhodnutý
choice_yellow_badge_response_help,Pomohol držiteľom žltého odznaku
choice_yellow_badge_response_betray,Zradil držiteľov žltého odznaku
choice_follow_trucks_volunteer,Dobrovoľne sa prihlásil sledovať nákladné autá
choice_follow_trucks_hesitant,Bol váhavý sledovať nákladné autá
choice_found_facility_yes,Našiel zariadenie Koreňovej rezervy
choice_sasha_response_cautious,Bol opatrný ohľadom Sašinej situácie
choice_sasha_response_concerned,Prejavil/a znepokojenie o Sashu
choice_interrogation_choice_deny,Poprel/a vedomosti počas výsluchu
choice_interrogation_choice_betray,Zradil/a ostatných počas výsluchu
choice_sasha_arrest_reaction_intervene,Zasiahol/zasiahla do Sashinho zatknutia
choice_sasha_arrest_reaction_hide,Skryl/a sa počas Sashinho zatknutia
choice_sasha_arrest_reaction_promise,Dal/a sľub Sashe
choice_player_wanted_yes,Stal/a sa hľadaným/hľadanou úradmi
choice_player_captured_yes,Bol/a zajatý/zajatá úradmi
choice_has_keycard_yes,Získal/a bezpečnostnú kľúčovú kartu
choice_murphy_final_alliance_committed,Plne sa zaviazal/a Murphyho aliancii
choice_murphy_final_alliance_hesitant,Váhal/a ohľadom konečnej aliancie
choice_critical_choice_help,Pomohol/pomohla počas kritického momentu
choice_critical_choice_betray,Zradil/a v kritickom momente
choice_stay_or_go_stay,Zostal/a bojovať
choice_stay_or_go_go,Rozhodol/a sa utiecť
choice_sasha_rescue_reaction_angry,Reagoval/a hnevom na záchranu
choice_sasha_rescue_reaction_disgusted,Bol/a znechutený/znechutená udalosťami
choice_sasha_rescue_reaction_relieved,Cítil/a úľavu po záchrane
choice_fellow_officer_response_2_cautious,Zostal/a opatrný/opatrná voči kolegom
choice_fellow_officer_response_2_sympathetic,Prejavil/a sympatie kolegom
choice_final_mission_response_determined,Odhodlaný/odhodlaná dokončiť poslednú misiu
choice_final_mission_response_cautious,Opatrný/opatrná ohľadom poslednej misie
choice_resistance_trust_diplomatic,Zaujal/a diplomatický prístup voči odboju
choice_resistance_trust_committed,Plne sa zaviazal/a odboju
choice_ending_choice_diplomatic,Vybral/a si diplomatický koniec
choice_ending_choice_justice,Vybral(a) si koniec spravodlivosti
choice_ending_choice_vengeance,Vybral(a) si koniec pomsty
choice_ending_choice_dismantle,Rozhodol(a) sa rozložiť systém
choice_accept_medal_accept,Prijal(a) medailu s hrdosťou
choice_accept_medal_reluctant,Neochotne prijal(a) medailu
choice_eat_final_eat,Zjedol(a) poslednú ponuku
choice_eat_final_refuse,Odmietol(a) poslednú ponuku
choice_final_loyalist_choice_report,Nahlásil(a) odporcov
choice_final_loyalist_choice_ignore,Ignoroval(a) odporcov
choice_final_loyalist_choice_hope,Držal(a) sa nádeje na zmenu
choice_qte_rescue_result_pass,Úspešný pokus o záchranu
choice_qte_rescue_result_fail,Neúspešný pokus o záchranu
choice_qte_confrontation_result_pass,Vyhral(a) konfrontáciu
choice_qte_confrontation_result_fail,Prehral(a) konfrontáciu
choice_qte_escape_result_pass,Úspešný útek
choice_qte_escape_result_fail,Neúspešný útek
choice_qte_infiltration_result_pass,Úspešná infiltrácia
choice_qte_infiltration_result_fail,Infiltrácia neúspešná
choice_qte_scanner_result_pass,Úspešná sabotáž skenera
choice_qte_scanner_result_fail,Neúspešná sabotáž skenera
choice_qte_surveillance_result_pass,Vyhol(a) sa sledovaniu
choice_qte_surveillance_result_fail,Odhalený(á) sledovaním
choice_qte_suppression_result_pass,Odolal(a) potlačeniu
choice_qte_suppression_result_fail,Podľahol(a) potlačeniu
passport_label_type,Typ:
passport_label_born,Narodený:
passport_label_gender,Pohlavie:
passport_label_country,Krajina:
passport_label_expires,Platnosť vyprší:
passport_label_condition,Stav:
tutorial_skip,Preskočiť
tutorial_skip_all,Preskočiť všetky tutoriály
tutorial_continue_auto,(pokračuje automaticky...)
tutorial_continue_click,(kliknite pre pokračovanie...)
tutorial_header,Tutoriál {current} z {total}: {name} - Krok {step} z {steps}
tutorial_header_single,{name} - Krok {step} z {steps}
tutorial_welcome_name,Vitajte v Zemiakovej colnici
tutorial_gate_control_name,Otvorenie brány
tutorial_megaphone_call_name,Volanie zemiakov
tutorial_document_inspection_name,Kontrola dokumentov
tutorial_rules_checking_name,Imigračné pravidlá
tutorial_stamp_usage_name,Používanie pečiatok
tutorial_strikes_and_quota_name,Pokuty a kvóta
tutorial_welcome_step1,[center][b]Vitajte v Zemiakovej colnici![/b][/center]\n\nVašou úlohou je spracovávať prichádzajúce zemiaky na hraničnom priechode. Poďme sa naučiť základy!
tutorial_gate_control_step1,"[center][b]Otvorenie vašej búdky[/b][/center]\n\nVidíte tú páku? {interact} ju, aby ste zdvihli roletu a otvorili svoju búdku pre prevádzku!\n\n[color=yellow]{interact}te páku teraz.[/color]"
tutorial_gate_control_step2,"[center][b]Výborná práca![/b][/center]\n\nVaša búdka je teraz otvorená. Zemiaky v rade vidia, že ste pripravení slúžiť."
tutorial_megaphone_call_step1,[center][b]Volanie ďalšieho zemiaka[/b][/center]\n\nPoužite megafón na zavolanie ďalšieho zemiaka z radu do vašej búdky.\n\n[color=yellow]{interact}te megafón![/color]
tutorial_megaphone_call_step2,"[center][b]Už idú![/b][/center]\n\nSledujte, ako sa zemiak blíži k vašej búdke. Predložia svoje dokumenty na kontrolu."
tutorial_document_inspection_step1,"[center][b]Kontrola dokumentov[/b][/center]\n\nZemiak vám podal svoj pas. {drag}te ho na váš kontrolný stôl, aby ste ho dôkladne preskúmali.\n\n[color=yellow]{drag}te pas na stôl.[/color]"
tutorial_document_inspection_step2,"[center][b]Preskúmanie pasu[/b][/center]\n\n{interact}te pas, aby ste ho otvorili a skontrolovali informácie o zemiaku:\n\n- Meno a fotografia\n- Krajina pôvodu\n- Typ a stav zemiaka\n\nHľadajte čokoľvek podozrivé!"
tutorial_document_inspection_step3,"[center][b]Skontrolujte pravidlá![/b][/center]\n\nPredtým, než urobíte svoje rozhodnutie, musíte skontrolovať imigračné pravidlá. Poďme sa o nich dozvedieť viac!"
tutorial_rules_checking_step1,"[center][b]Imigračné pravidlá[/b][/center]\n\nPozrite sa na brožúru s pravidlami na pravej strane. Tieto pravidlá vám hovoria, ktoré zemiaky [color=green]SCHVÁLIŤ[/color] alebo [color=red]ZAMIETNUŤ[/color].\n\nZamietnite každý zemiak, ktorý porušuje aktuálne pravidlá!\n\n[color=red]DÔLEŽITÉ: Dokumenty s expirovanou platnosťou musia byť ZAMIETNUTÉ![/color]"
tutorial_rules_checking_step2,"[center][b]Zostaňte ostražití![/b][/center]\n\nPravidlá sa menia medzi smenami. Vždy skontrolujte aktuálne pravidlá predtým, než urobíte rozhodnutia.\n\nStarostlivo porovnajte informácie z pasu s aktívnymi pravidlami."
tutorial_stamp_usage_step1,"[center][b]Lišta s pečiatkami[/b][/center]\n\nVidíte lištu s pečiatkami hore? {interact} s rúčkou, aby ste odhalili svoje pečiatky na schválenie a zamietnutie.\n\n[color=yellow]{interact} pre otvorenie lišty s pečiatkami.[/color]"
tutorial_stamp_usage_step2,"[center][b]Umiestnenie pre pečiatkovanie[/b][/center]\n\n{drag} pas pod pečiatky. Uvidíte sprievodcu, ktorý ukazuje, kam ho umiestniť.\n\n[color=green]Zelená pečiatka[/color] = SCHVÁLIŤ\n[color=red]Červená pečiatka[/color] = ZAMIETNUŤ\n\n[color=yellow]Umiestnite pas pod pečiatku.[/color]"
tutorial_stamp_usage_step3,"[center][b]Použite pečiatku![/b][/center]\n\n{interact} pečiatku, aby ste označili pas svojím rozhodnutím.\n\n[color=yellow]{interact} pečiatku, aby ste ju použili.[/color]"
tutorial_stamp_usage_step4,"[center][b]Vráťte dokumenty[/b][/center]\n\nTeraz {drag} opečiatkovaný pas späť k zemiaku, aby ste dokončili jeho spracovanie.\n\n[color=yellow]Vráťte pas zemiaku.[/color]"
tutorial_stamp_usage_step5,[center][b]Výborne![/b][/center]\n\nSpracovali ste svoj prvý zemiak! Sledujte svoju kvótu – musíte spracovať dostatok zemiakov v každej smene.
tutorial_strikes_and_quota_step1,"[center][b]Systém kvót[/b][/center]\n\nPozrite sa na ukazovateľ [color=yellow]Kvóta[/color]. Ten ukazuje, koľko zemiakov musíte správne spracovať v každej smene."
tutorial_strikes_and_quota_step2,[center][b]Vyhnite sa chybám![/b][/center]\n\nPočítadlo [color=red]Chyby[/color] ukazuje vaše omyly. Príliš veľa chýb a hra končí!\n\nRobte nesprávne rozhodnutia a získate chyby.
tutorial_strikes_and_quota_step3,"[center][b]Výcvik dokončený![/b][/center]\n\nPokračujte v spracovávaní zemiakov, aby ste dokončili svoju výcvikovú smenu.\n\nPo dokončení budete [color=green]certifikovaný ako colný úradník[/color] a pripravený na svoj prvý skutočný deň!"
loading_level_in_progress,Načítava sa úroveň...
loading_level_waiting,Stále sa načítava úroveň...
loading_level_still_waiting,Stále sa načítava úroveň... (%d sekúnd)
loading_level_complete,Načítanie úrovne dokončené!
