keys,ar
Text/33/text,انسوه. إنه عرض، لا المرض. [color=CHARTREUSE]اهدموا كل جذر وساق لهذه الوحشية.[/color]
Text/34/text,يجب أن نذهب! الآن!
Text/35/text,سقوط [color=DARK_VIOLET]روت ريزيرف[/color] يشعل شرارة تغيير عارم في جميع أنحاء سبود.
Text/36/text,تنهض البطاطا في كل مقاطعة، متبنية [color=CHARTREUSE]رؤية جديدة لأمتهم[/color].
Text/37/text,طالما بقينا أوفياء لجذورنا، للمثل العليا التي أوصلتنا إلى هنا... [color=CHARTREUSE]سنجد طريقة.[/color]
Text/38/text,وهكذا، من رماد سبود القديمة، [color=CHARTREUSE]تبدأ أمة جديدة في التجذر[/color]. انتهى عهد [color=DARK_VIOLET]روت ريزيرف[/color].
Text/151/text,[color=CHARTREUSE]تقترب ساشا، وتجد يدها يدك بينما تشاهدان الفجر الجديد معاً.[/color] لقد بنينا هذا. أنا وأنت.
Text/152/text,طالما بقينا أوفياء لجذورنا، للمثل العليا التي أوصلتنا إلى هنا... [color=CHARTREUSE]سنجد طريقة.[/color] معاً.
Text/153/text,[color=CHARTREUSE]تضغط على يدها. معاً.[/color]
Text/154/text,[color=STEEL_BLUE]تقف ساشا بجانبك.[/color] نارك أشعلت الشرارة التي أحرقت إمبراطوريتهم.
Text/155/text,[color=STEEL_BLUE]خفت حدة الغضب وتحول إلى تصميم. لا يزال هناك عمل يجب إنجازه.[/color]
Text/156/text,[color=STEEL_BLUE]ساشا تبتسم لك ابتسامة داعمة.[/color] لقد قطعت شوطًا طويلاً منذ تلك النقطة الحدودية. كلنا فعلنا ذلك.
Text/157/text,[color=STEEL_BLUE]قد لا يتلاشى الشعور بالذنب تمامًا أبدًا، لكنك وجدت هدفًا في إعادة البناء.[/color]
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
