keys,el
Text/334/text,"Ίσως αυτό είναι κάτι. Ίσως είναι [color=YELLOW]πολύ λίγο, πολύ αργά[/color]."
Text/335/text,"Όταν κανείς δεν κοιτάζει, χαράζεις ένα μικρό [color=GOLD]κίτρινο φύλλο[/color] δίπλα στα εμβλήματα."
Text/336/text,Μια μοναδική πράξη ανυπακοής. Χρόνια πολύ αργά. Αλλά [color=CHARTREUSE]κάτι[/color].
Text/337/text,"Η φωνή της Σάσα αντηχεί στη μνήμη σου: ""[color=CHARTREUSE]Οι ρίζες μεγαλώνουν βαθιά.[/color]"""
Text/338/text,Ίσως αρκετά βαθιά για να [color=CHARTREUSE]φτάσουν ακόμα και εσένα[/color]. Κάποια μέρα.
Text/339/text,Το έθνος του Σπαντ αντέχει. Το [color=DARK_VIOLET]Απόθεμα Ρίζας[/color] ρέει. Ο κύκλος της κατανάλωσης συνεχίζεται.
Text/33a/text,"Αλλά κάπου, στις ρωγμές του τοίχου, [color=CHARTREUSE]κάτι νέο αναπτύσσεται[/color]."
Text/33b/text,Αν θα γίνεις μέρος του... [color=YELLOW]αυτή η ιστορία μένει να γραφτεί[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
