keys,ar
Text/d0_qte1/text,في وقت لاحق من تلك النوبة، يقترب مسافر بوثائق تحمل [color=CHARTREUSE]علامة المقاومة الخفية[/color].
Text/d0_qte2/text,يبدأ نظام [color=DARK_ORANGE]RealityScan[/color] مسحه. [wave amp=15 freq=3][color=RED]سيكتشف العلامة![/color][/wave]
Text/d0_qte3/text,لديك ثوانٍ لتقرر. الماسح الضوئي يسخن...
Choice/d0_qte4/text,"""تظاهر بخلل في الماسح الضوئي - بسرعة!"" (مساعدة المقاومة)"
Choice/d0_qte5/text,"""دع الماسح الضوئي يكمل مسحه"" (اتبع البروتوكول)"
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]عليك العمل بسرعة![/color][/pulse] قم بتشغيل العطل قبل أن ينتهي من المسح!
Text/d0_qte7/text,تتخبط في كابلات الماسح الضوئي. تتطاير الشرارات. الشاشة تومض ثم تنطفئ.
Text/d0_qte8/text,يندفع روسيت. [color=YELLOW]ماذا حدث هنا؟[/color]
Choice/d0_qte9/text,"""ارتفاع مفاجئ في التيار، سيدي. هذه الأنظمة الجديدة متقلبة المزاج."""
Choice/d0_qte10/text,"""لا أعرف، سيدي. لقد توقف عن العمل فجأة."""
Text/d0_qte11/text,يتمتم روسيت. [color=STEEL_BLUE]البيروقراطيون يعطوننا معدات غير مختبرة.[/color] عالجهم يدوياً وضع علامة لإعادة الفحص.
Text/d0_qte12/text,ينظر إليك روسيت بشك. [color=YELLOW]يا له من توقيت مناسب.[/color] سأطلب من الصيانة أن تلقي نظرة عليه. لا تدع هذا يحدث مرة أخرى.
Text/d0_qte13/text,يمنحك عضو المقاومة إيماءة امتنان خفيفة بينما يمرون.
Text/d0_qte14/text,الماسح الضوئي [pulse freq=3][color=RED]يُصدر صوتًا عاليًا[/color][/pulse]. تم اكتشاف علامات غير مصرح بها!
Text/d0_qte15/text,يظهر راسيت على الفور. [color=CHARTREUSE]أحسنت![/color] تم القبض على خائن آخر.
Text/d0_qte16/text,"يتم سحب عضو المقاومة بعيدًا، والرعب في عينيه. ""[color=CRIMSON]أرجوك، لا! لدي أطفال![/color]"""
Text/d0_qte17/text,تم [color=DARK_ORANGE]تسجيل ولائك في ملفك[/color]. استمر على هذا المنوال.
Text/d1/text,مساعدة أعضاء المقاومة أصبحت أكثر خطورة بكثير، لكن [color=CHARTREUSE]الحقيقة يجب أن تنتشر[/color].
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Choice/c7_viktor4/disabled_text,
Choice/c7_viktor5/disabled_text,
Choice/d0_qte4/disabled_text,
Choice/d0_qte5/disabled_text,
Choice/d0_qte9/disabled_text,
Choice/d0_qte10/disabled_text,
