keys,ar
Text/274/text,النسخ موجودة بالفعل في الخارج يا راسيت. سيعرف العالم ما تفعله بشعبنا!
Text/275/text,يضحك راسيت ببرود. سيعرفون ما نخبرهم به. وأنتِ؟ ستكونين جزءًا من [color=CRIMSON]دفعة خاصة جدًا[/color].
Text/276/text,"""[color=DARK_VIOLET]مزيج الخائن[/color]"" - أعتقد أن هذا الاسم يبدو جيدًا."
Text/277/text,قلبك ينبض بقوة. كل غريزة تصرخ لتفعل شيئًا. لكن الحراس في كل مكان.
Choice/278/text,تقدم واطلب إطلاق سراحها (متهور)
Choice/279/text,ابقَ مختبئًا - عش لتقاتل في يوم آخر (عملي)
Choice/27a/text,التقط نظرة ساشا وأومئ - وعد (عزيمة)
Text/27b/text,"تدفع الحشد. ""[color=CHARTREUSE]انتظروا! لم تفعل شيئًا خاطئًا![/color]"""
Text/27c/text,"يدير يوكون رأسه نحوك فجأة. ""[color=RED]اقبضوا على هذا أيضًا![/color] من الواضح أنه شريك!"""
Text/27d/text,"يمسكك مورفي، ويسحبك للخلف. ""[color=STEEL_BLUE]إنهم مشوشون في الفوضى! اهرب![/color]"""
Text/27e/text,يدفعك مورفي نحو ممر جانبي بينما يضيق الحراس الخناق على موقعك.
Text/27f/text,"يمسكك الحراس. تتسع ابتسامة راسيت. ""[color=CRIMSON]خائنان بسعر واحد.[/color]"""
Text/280/text,تنكمش في الظلال، كارهًا نفسك بكل جوارحك. [color=STEEL_BLUE]جبان.[/color]
Text/281/text,لكنك حي. وحر. في الوقت الحالي.
Text/282/text,تلتقي عيناك بعيني ساشا. إيماءة بطيئة ومتعمدة. [color=CHARTREUSE]سآتي لأجلك.[/color]
Text/283/text,إنها ترى. ابتسامة خفيفة للغاية. ثم تُسحب حول الزاوية، وتختفي.
Text/284/text,يجدك في الفوضى. وجهه قناع، لكن عينيه تشتعلان.
Text/285/text,أخذوها إلى [color=CRIMSON]جناح المعالجة[/color]. الطابق السفلي 3. هذا هو المكان الذي أخذوا فيه زوجتي.
Text/286/text,يدس شيئًا في يدك - [color=GOLD]بطاقة مفتاح أمنية[/color].
Text/287/text,عندما يحين الوقت... [color=CHARTREUSE]سأتغاضى.[/color] من أجل زوجتي. من أجلهم جميعًا.
Text/288/text,يسحبك مورفي إلى غرفة التخزين، يتنفس بصعوبة.
Text/289/text,هذا هو الأمر. هذا [color=CRIMSON]يحدث بالفعل[/color]. لقد أمسكوا بساشا. سيعالجونها بحلول الصباح.
Text/28a/text,كان ذلك [color=STEEL_BLUE]غبيًا[/color]. شجاع، لكن غبي. أنت على قائمتهم الآن.
Text/28b/text,المقاومة تخطط لشيء ما. غدًا. إنها فرصتنا الوحيدة لإنقاذها.
Text/28c/text,هل أنت معنا؟ [color=CHARTREUSE]هل أنت ملتزم بالكامل؟[/color]
Choice/28d/text,بالكامل. مهما كلف الأمر لإنقاذ ساشا.
Choice/28e/text,أحتاج للتفكير. هذا يحدث بسرعة كبيرة.
Text/28f/text,يمسك مورفي كتفك. [color=CHARTREUSE]إذن سنتحرك عند الفجر. الجذور تنمو عميقة.[/color]
Text/290/text,يتصلب وجه مورفي. فكر بسرعة. بحلول هذا الوقت غدًا، ستكون [color=DARK_VIOLET]احتياطي الجذور[/color].
Text/291/text,تستلقي مستيقظًا، تحدق في السقف. وجه ساشا. تحديها. خوفها.
Text/292/text,تسحب صورة الزوجة المفقودة. وجه آخر لم تتمكن من إنقاذه.
Text/293/text,[color=CHARTREUSE]ليس هذه المرة.[/color]
Text/294/text,بحلول الغد، يتغير كل شيء. بطريقة أو بأخرى.
Text/295/text,[pulse freq=2][color=YELLOW]لا مزيد من الوقوف على الهامش.[/color][/pulse]
Text/296/text,"الزنزانة باردة. عبر الجدران، يمكنك سماع ساشا في مكان ما، وهي ""تُستجوب""."
Text/297/text,غدًا، قالوا. ستتم [color=DARK_VIOLET]معالجتكما[/color] معًا.
Text/298/text,إلا إذا جاءت المقاومة. إلا إذا أنقذكما أحد.
Text/299/text,[color=STEEL_BLUE]أطول ليلة في حياتكما تمتد أمامكما.[/color]
Choice/278/disabled_text,
Choice/279/disabled_text,
Choice/27a/disabled_text,
Choice/28d/disabled_text,
Choice/28e/disabled_text,
