keys,uk
choice_family_response_help,Погодився допомогти знайти зниклу дружину
choice_has_wife_photo_yes,Отримав фото зниклої дружини
choice_reveal_reaction_shocked,Був шокований одкровенням
choice_reveal_reaction_cautious,Відреагував обережно на одкровення
choice_cafeteria_response_serious,Сприйняв чутки в їдальні серйозно
choice_cafeteria_response_avoid,Уникав обговорень в їдальні
choice_murphy_alliance_ally,Уклав союз з Мерфі
choice_murphy_alliance_cautious,Залишився обережним з Мерфі
choice_murphy_alliance_skeptical,Залишився скептичним щодо Мерфі
choice_sasha_trust_level_committed,Повністю довірився Саші
choice_sasha_trust_level_cautious,Залишився обережним щодо Саші
choice_sasha_investigation_committed,Повністю віддався розслідуванню Саші
choice_sasha_investigation_hesitant,Вагався щодо розслідування
choice_loyalty_response_patriotic,Дав патріотичні відповіді
choice_loyalty_response_idealistic,Висловив ідеалістичні погляди
choice_hide_choice_desk,Сховався за столом
choice_hide_choice_window,Сховався біля вікна
choice_evidence_choice_hand_over,Передав докази
choice_evidence_choice_keep,Залишив докази прихованими
choice_evidence_choice_lie,Збрехав про докази
choice_evidence_choice_chaos,"Використав докази, щоб спричинити хаос"
choice_viktor_wife_discovery_yes,Виявив дружину Віктора у маніфесті
choice_fellow_officer_response_cautious,Був обережним з колегою
choice_fellow_officer_response_sympathetic,Виявив співчуття колезі
choice_fellow_officer_response_loyal,Залишився вірним поруч з колегою
choice_interrogation_response_lie,Збрехав під час допиту
choice_interrogation_response_legal,Дав законні відповіді
choice_viktor_conversation_tell_truth,Сказав Віктору правду
choice_viktor_conversation_lie_protect,"Збрехав, щоб захистити Віктора"
choice_viktor_conversation_curious,Проявив цікавість до Віктора
choice_scanner_choice_help,Допоміг саботувати сканер
choice_scanner_choice_scan,Використовував сканер як зазвичай
choice_scanner_choice_viktor,Вибрав Віктора для сканера
choice_helped_operative_yes,Допоміг оперативнику опору
choice_helped_operative_no,Відмовився допомогти оперативнику
choice_viktor_allied_yes,Уклав союз з Віктором
choice_betrayed_resistance_yes,Зрадив опір
choice_sasha_plan_response_committed,Погодився на план Саші
choice_sasha_plan_response_nervous,Нервував через план
choice_malfunction_excuse_technical,Послався на технічну несправність
choice_malfunction_excuse_innocent,Прикинувся невинним
choice_resistance_mission_committed,Відданий місії опору
choice_resistance_mission_hesitant,Вагався щодо місії
choice_resistance_mission_cautious,Підійшов до місії обережно
choice_final_decision_help,Вирішив допомогти опору
choice_final_decision_passive,Залишився пасивним
choice_final_decision_undecided,Залишився нерішучим
choice_yellow_badge_response_help,Допоміг власникам жовтих значків
choice_yellow_badge_response_betray,Зрадив власників жовтих значків
choice_follow_trucks_volunteer,Зголосився слідкувати за вантажівками
choice_follow_trucks_hesitant,Вагався слідкувати за вантажівками
choice_found_facility_yes,"Знайшов об'єкт ""Сховище Коренів"""
choice_sasha_response_cautious,Був обережним щодо ситуації Саші
choice_sasha_response_concerned,Виявив занепокоєння щодо Саші
choice_interrogation_choice_deny,Заперечував знання під час допиту
choice_interrogation_choice_betray,Зрадив інших під час допиту
choice_sasha_arrest_reaction_intervene,Втрутився в арешт Саші
choice_sasha_arrest_reaction_hide,Сховався під час арешту Саші
choice_sasha_arrest_reaction_promise,Дав обіцянку Саші
choice_player_wanted_yes,Став розшукуваним владою
choice_player_captured_yes,Був захоплений владою
choice_has_keycard_yes,Отримав картку доступу
choice_murphy_final_alliance_committed,Повністю відданий альянсу Мерфі
choice_murphy_final_alliance_hesitant,Вагався щодо остаточного альянсу
choice_critical_choice_help,Допоміг під час критичного моменту
choice_critical_choice_betray,Зрадив у критичний момент
choice_stay_or_go_stay,Залишився битися
choice_stay_or_go_go,Вирішив втекти
choice_sasha_rescue_reaction_angry,Відреагував зі злістю на порятунок
choice_sasha_rescue_reaction_disgusted,Відчув огиду до подій
choice_sasha_rescue_reaction_relieved,Відчув полегшення після порятунку
choice_fellow_officer_response_2_cautious,Залишився обережним з колегами
choice_fellow_officer_response_2_sympathetic,Виявив співчуття до колег
choice_final_mission_response_determined,Рішуче налаштований завершити останню місію
choice_final_mission_response_cautious,Обережно поставився до останньої місії
choice_resistance_trust_diplomatic,Застосував дипломатичний підхід до опору
choice_resistance_trust_committed,Повністю присвятив себе опору
choice_ending_choice_diplomatic,Вибрав дипломатичне закінчення
choice_ending_choice_justice,Вибрав закінчення заради справедливості
choice_ending_choice_vengeance,Вибрав закінчення заради помсти
choice_ending_choice_dismantle,Вирішив демонтувати систему
choice_accept_medal_accept,Прийняв медаль з гордістю
choice_accept_medal_reluctant,Неохоче прийняв медаль
choice_eat_final_eat,З'їв останнє частування
choice_eat_final_refuse,Відмовився від останнього частування
choice_final_loyalist_choice_report,Повідомив про незгодних
choice_final_loyalist_choice_ignore,Проігнорував незгодних
choice_final_loyalist_choice_hope,Зберіг надію на зміни
choice_qte_rescue_result_pass,Успішно здійснив спробу порятунку
choice_qte_rescue_result_fail,Провалився у спробі порятунку
choice_qte_confrontation_result_pass,Виграв протистояння
choice_qte_confrontation_result_fail,Програно протистояння
choice_qte_escape_result_pass,Втеча успішна
choice_qte_escape_result_fail,Не вдалося втекти
choice_qte_infiltration_result_pass,Проникнення успішне
choice_qte_infiltration_result_fail,Проникнення невдале
choice_qte_scanner_result_pass,Саботаж сканера успішний
choice_qte_scanner_result_fail,Саботаж сканера невдалий
choice_qte_surveillance_result_pass,Уникнуто спостереження
choice_qte_surveillance_result_fail,Виявлено спостереженням
choice_qte_suppression_result_pass,Опір придушенню
choice_qte_suppression_result_fail,Підкорено придушенню
passport_label_type,Тип:
passport_label_born,Народження:
passport_label_gender,Стать:
passport_label_country,Країна:
passport_label_expires,Дійсний до:
passport_label_condition,Стан:
tutorial_skip,Пропустити
tutorial_skip_all,Пропустити всі посібники
tutorial_continue_auto,(продовжується автоматично...)
tutorial_continue_click,"(натисніть, щоб продовжити...)"
tutorial_header,Посібник {current} з {total}: {name} - Крок {step} з {steps}
tutorial_header_single,{name} - Крок {step} з {steps}
tutorial_welcome_name,Ласкаво просимо до Spud Customs
tutorial_gate_control_name,Відкриття воріт
tutorial_megaphone_call_name,Виклик картоплі
tutorial_document_inspection_name,Перевірка документів
tutorial_rules_checking_name,Імміграційні правила
tutorial_stamp_usage_name,Використання штампів
tutorial_strikes_and_quota_name,Штрафи та квота
tutorial_welcome_step1,[center][b]Ласкаво просимо до «Картопляної Митниці»![/b][/center]\n\nВаше завдання — обробляти вхідну картоплю на прикордонному пункті. Давайте вивчимо основи!
tutorial_gate_control_step1,"[center][b]Відкриття вашої кабіни[/b][/center]\n\nБачите цей важіль? {interact} його, щоб підняти жалюзі та відкрити вашу кабіну для роботи!\n\n[color=yellow]{interact} важіль зараз.[/color]"
tutorial_gate_control_step2,"[center][b]Чудова робота![/b][/center]\n\nВаша кабіна тепер відкрита. Картопля в черзі бачить, що ви готові до обслуговування."
tutorial_megaphone_call_step1,"[center][b]Виклик наступної картоплини[/b][/center]\n\nВикористайте мегафон, щоб викликати наступну картоплину з черги до вашої кабіни.\n\n[color=yellow]{interact} мегафон![/color]"
tutorial_megaphone_call_step2,"[center][b]Ось вони![/b][/center]\n\nСпостерігайте, як картоплина наближається до вашої кабіни. Вони пред'являть свої документи для перевірки."
tutorial_document_inspection_step1,"[center][b]Перевірка документів[/b][/center]\n\nКартоплина передала вам свій паспорт. {drag} його на ваш стіл для перевірки, щоб уважно оглянути.\n\n[color=yellow]{drag} паспорт на стіл.[/color]"
tutorial_document_inspection_step2,"[center][b]Огляд паспорта[/b][/center]\n\n{interact} паспорт, щоб відкрити його та переглянути інформацію про картоплину:\n\n- Ім'я та фото\n- Країна походження\n- Тип та стан картоплини\n\nШукайте щось підозріле!"
tutorial_document_inspection_step3,"[center][b]Перевірте правила![/b][/center]\n\nПерш ніж прийняти рішення, вам потрібно перевірити імміграційні правила. Давайте дізнаємося про них!"
tutorial_rules_checking_step1,"[center][b]Імміграційні правила[/b][/center]\n\nПодивіться на брошуру з правилами праворуч. Ці правила вказують, яку картоплю [color=green]СХВАЛЮВАТИ[/color] або [color=red]ВІДХИЛЯТИ[/color].\n\nВідхиляйте будь-яку картоплину, яка порушує поточні правила!\n\n[color=red]ВАЖЛИВО: Документи з простроченими датами мають бути ВІДХИЛЕНІ![/color]"
tutorial_rules_checking_step2,[center][b]Будьте пильні![/b][/center]\n\nПравила змінюються між змінами. Завжди перевіряйте поточні правила перед прийняттям рішень.\n\nУважно порівнюйте інформацію паспорта з діючими правилами.
tutorial_stamp_usage_step1,"[center][b]Панель штампів[/b][/center]\n\nБачите панель штампів угорі? {interact} ручку, щоб показати штампи схвалення та відхилення.\n\n[color=yellow]{interact}, щоб відкрити панель штампів.[/color]"
tutorial_stamp_usage_step2,"[center][b]Позиціонування для штампування[/b][/center]\n\n{drag} паспорт під штампи. Ви побачите підказку, що показує, куди його розмістити.\n\n[color=green]Зелений штамп[/color] = СХВАЛИТИ\n[color=red]Червоний штамп[/color] = ВІДХИЛИТИ\n\n[color=yellow]Розмістіть паспорт під штампом.[/color]"
tutorial_stamp_usage_step3,"[center][b]Поставте штамп![/b][/center]\n\n{interact} штамп, щоб позначити паспорт вашим рішенням.\n\n[color=yellow]{interact} штамп, щоб поставити його.[/color]"
tutorial_stamp_usage_step4,"[center][b]Поверніть документи[/b][/center]\n\nТепер {drag} проштампований паспорт назад картоплині, щоб завершити її обробку.\n\n[color=yellow]Поверніть паспорт картоплині.[/color]"
tutorial_stamp_usage_step5,[center][b]Чудово зроблено![/b][/center]\n\nВи обробили свою першу картоплину! Слідкуйте за своєю квотою — вам потрібно обробляти достатньо картоплі кожну зміну.
tutorial_strikes_and_quota_step1,"[center][b]Система квот[/b][/center]\n\nПодивіться на індикатор [color=yellow]Квота[/color]. Він показує, скільки картоплі ви повинні правильно обробити за кожну зміну."
tutorial_strikes_and_quota_step2,"[center][b]Уникайте штрафів![/b][/center]\n\nЛічильник [color=red]Штрафи[/color] показує ваші помилки. Забагато штрафів — і гра закінчена!\n\nПриймайте неправильні рішення, і ви отримаєте штрафи."
tutorial_strikes_and_quota_step3,"[center][b]Навчання завершено![/b][/center]\n\nПродовжуйте обробляти картоплю, щоб завершити свою навчальну зміну.\n\nПісля завершення ви будете [color=green]сертифіковані як митний офіцер[/color] і готові до свого першого справжнього дня!"
