keys,ru
Text/21_fail2/text,"Виктор появляется позади охранников, голос холоден как сталь. [color=STEEL_BLUE]Опустить оружие. Сейчас же.[/color]"
Text/21_fail3/text,Охранники колеблются — Виктор был одним из них. [color=CRIMSON]Имя Елены есть в этих списках. Ваши семьи могут быть следующими.[/color]
Text/21_fail4/text,Некоторые охранники опускают оружие. Другие бегут. Путь свободен.
Text/21_fail5/text,"Взрыв сотрясает восточное крыло. Голос Мёрфи трещит по связи: [color=CHARTREUSE]""Это мой отвлекающий манёвр! ДВИГАЙТЕСЬ!""[/color]"
Text/21_fail6/text,[color=STEEL_BLUE]Охранники разбегаются в сторону взрыва. Томми бы гордился.[/color]
Text/21_fail7/text,"Саша нападает на главного охранника сзади. [color=CHARTREUSE]Я не для того выжила в той камере, чтобы смотреть, как ты умираешь![/color]"
Text/21_fail8/text,[color=STEEL_BLUE]БЕГИ! Я справлюсь![/color]
Text/21/text,"Ваша группа пробивается сквозь волны охраны, едва избегая захвата. Бойцы сопротивления Саши создают отвлекающие манёвры, расчищая вам путь."
Text/22/text,После мучительного побега через служебные туннели вы наконец достигаете защищённого лифта к личному бункеру Айдахо.
Text/23/text,С Сашей и вашими союзниками рядом вы наконец-то противостоите Айдахо.
Text/24/text,"Всё кончено, Айдахо. Твои секреты раскрыты. Как это закончится... [pulse freq=2]решать тебе.[/pulse]"
Choice/25/text,Договориться о мирной передаче власти (Дипломатия)
Choice/26/text,Потребовать немедленного ареста Айдахо (Правосудие)
Choice/27/text,Совершить самосуд за преступления Айдахо (Месть)
Choice/28/text,Сосредоточиться на демонтаже инфраструктуры «Корневого Резерва» (Демонтаж)
Text/29/text,"Айдахо, это не должно закончиться новым кровопролитием. Если ты будешь сотрудничать..."
Text/2a/text,"О, ты [color=STEEL_BLUE]идеалистичный дурак[/color]. Ты думаешь, это переговоры?"
Text/2b/text,"Айдахо бьёт по кнопке, и [color=RED]начинают реветь сирены[/color]. «Единственное, что я тебе дам, это [color=DARK_VIOLET]билет в один конец в жаровню![/color]»"
Text/2c/text,"Я так не думаю, Айдахо. Стража! Вы видели досье, [color=YELLOW]вы знаете, что он сделал с вашими семьями.[/color]"
Text/2d/text,Огромный охранник шагает вперёд и быстро пинает Айдахо на землю.
Text/2e/text,Выстрел эхом разносится по помещению. Экран гаснет.
Text/2f/text,"Айдахо, именем картофельного народа Спуда, [color=CHARTREUSE]ты арестован![/color]"
Text/30/text,"Всё кончено. Народ сказал своё слово. [color=CHARTREUSE]Мы построим новый Спуд, где наши корни будут в почве, а не в страдании.[/color]"
Text/31/text,"Не будет [color=CRIMSON]ни сделок, ни пощады[/color] для тебя, Айдахо. Ты заслуживаешь лишь правосудия тирана."
Text/32/text,Расплата. Вот кто я. [color=CHARTREUSE]За каждую принесённую в жертву картофелину мы вернём наше будущее![/color]
Text/33/text,"Забудь о нём. Он симптом, а не болезнь. [color=CHARTREUSE]Уничтожьте каждый корень и стебель этой мерзости.[/color]"
Text/34/text,Мы должны идти! Сейчас же!
Text/35/text,Падение [color=DARK_VIOLET]«Корневого Резерва»[/color] разжигает пожар перемен по всему Спуду.
Text/36/text,"Картофелины в каждой провинции восстают, принимая [color=CHARTREUSE]новое видение для своей нации[/color]."
Text/37/text,"Пока мы остаёмся верны своим корням, и идеалам, которые привели нас сюда... [color=CHARTREUSE]мы найдём выход.[/color]"
Text/38/text,"И так, из пепла старого Спуда, [color=CHARTREUSE]новая нация начинает пускать корни[/color]. Правление [color=DARK_VIOLET]«Корневого Резерва»[/color] окончено."
Text/151/text,"[color=CHARTREUSE]Саша подходит ближе, её рука находит твою, пока вы вместе смотрите на новый рассвет.[/color] Мы это построили. Ты и я."
Text/152/text,"Пока мы остаёмся верны своим корням, и идеалам, которые привели нас сюда... [color=CHARTREUSE]мы найдём выход.[/color] Вместе."
Text/153/text,[color=CHARTREUSE]Ты сжимаешь её руку. Вместе.[/color]
Text/154/text,"[color=STEEL_BLUE]Саша стоит рядом с тобой.[/color] Твой огонь зажёг искру, которая сожгла их империю."
Text/155/text,"[color=STEEL_BLUE]Гнев остыл, сменившись решимостью. Работы ещё много.[/color]"
Text/156/text,[color=STEEL_BLUE]Саша одаривает вас ободряющей улыбкой.[/color] Вы прошли долгий путь с того КПП. И мы все тоже.
Text/157/text,"[color=STEEL_BLUE]Чувство вины, возможно, никогда полностью не угаснет, но вы обрели цель в восстановлении.[/color]"
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
