keys,zh-TW
shift_name_1,第一天上班
shift_name_2,會見莎莎與墨菲
shift_name_3,失蹤的妻子
shift_name_4,根部儲備卡車
shift_name_5,忠誠度篩選
shift_name_6,現實掃描
shift_name_7,抵抗組織會議
shift_name_8,莎夏被捕
shift_name_9,襲擊
shift_name_10,最終倒數
shift_name_unknown,未知
path_chaos_agent,混亂特工
path_loyalist,忠誠者路線
path_resistance_ally,抵抗組織盟友
path_questioning,質疑
path_undetermined,未定
story_choice_path_label,路線：
story_choice_sasha_trust,莎夏信任度：{value}/10
story_choice_chaos_points,混亂值：{value} 點
story_choice_no_choices,尚未記錄任何選擇
story_choice_day_header,第 {day} 天 - {name}
choice_initial_response_eager,對馬鈴薯展現熱情
choice_initial_response_questioning,質疑體制
choice_note_reaction_investigate,選擇調查紙條
choice_note_reaction_destroy,銷毀神秘紙條
choice_note_reaction_report,向當局舉報紙條
choice_kept_note_yes,保留神秘紙條
choice_kept_note_no,丟棄紙條
choice_reported_note_yes,報告了紙條
choice_murphy_trust_open,對墨菲敞開心扉
choice_murphy_trust_guarded,對墨菲保持戒心
choice_eat_reserve_ate,吃了備用口糧
choice_eat_reserve_refused,拒絕了備用口糧
choice_scanner_response_loyal,在掃描器測試中展現忠誠
choice_scanner_response_questioning,質疑了掃描器的用途
choice_family_response_refuse,拒絕協助尋找妻子
choice_family_response_help,同意協助尋找失蹤的妻子
choice_has_wife_photo_yes,取得了失蹤妻子的照片
choice_reveal_reaction_shocked,對揭露的真相感到震驚
choice_reveal_reaction_cautious,對揭露的真相謹慎應對
choice_cafeteria_response_serious,認真看待餐廳謠言
choice_cafeteria_response_avoid,避開了餐廳討論
choice_murphy_alliance_ally,與墨菲結盟
choice_murphy_alliance_cautious,對墨菲保持謹慎
choice_murphy_alliance_skeptical,對墨菲保持懷疑
choice_sasha_trust_level_committed,完全信任莎莎
choice_sasha_trust_level_cautious,對莎莎保持謹慎
choice_sasha_investigation_committed,致力於莎莎的調查
choice_sasha_investigation_hesitant,對調查猶豫不決
choice_loyalty_response_patriotic,給出了愛國回應
choice_loyalty_response_idealistic,表達了理想主義觀點
choice_hide_choice_desk,躲在桌子後面
choice_hide_choice_window,躲在窗邊
choice_evidence_choice_hand_over,上繳證據
choice_evidence_choice_keep,藏匿證據
choice_evidence_choice_lie,謊報證據
choice_evidence_choice_chaos,利用證據製造混亂
choice_viktor_wife_discovery_yes,在清單上發現維克多的妻子
choice_fellow_officer_response_cautious,對同僚保持謹慎
choice_fellow_officer_response_sympathetic,對同僚表示同情
choice_fellow_officer_response_loyal,對同僚保持忠誠
choice_interrogation_response_lie,在審訊中說謊
choice_interrogation_response_legal,給出合法回應
choice_viktor_conversation_tell_truth,告訴維克多真相
choice_viktor_conversation_lie_protect,說謊以保護維克多
choice_viktor_conversation_curious,對維克多感到好奇
choice_scanner_choice_help,協助破壞掃描儀
choice_scanner_choice_scan,正常操作掃描儀
choice_scanner_choice_viktor,選擇維克多進行掃描
choice_helped_operative_yes,幫助抵抗組織特工
choice_helped_operative_no,拒絕幫助特工
choice_viktor_allied_yes,與維克多結盟
choice_betrayed_resistance_yes,背叛抵抗組織
choice_sasha_plan_response_committed,堅定執行莎莎的計畫
choice_sasha_plan_response_nervous,對計畫感到緊張
choice_malfunction_excuse_technical,歸咎於技術故障
choice_malfunction_excuse_innocent,裝作無辜
choice_resistance_mission_committed,堅定執行抵抗任務
choice_resistance_mission_hesitant,對任務猶豫不決
choice_resistance_mission_cautious,謹慎應對任務
choice_final_decision_help,決定幫助抵抗組織
choice_final_decision_passive,袖手旁觀
choice_final_decision_undecided,懸而未決
choice_yellow_badge_response_help,幫助黃色徽章持有者
choice_yellow_badge_response_betray,背叛黃色徽章持有者
choice_follow_trucks_volunteer,自願跟蹤卡車
choice_follow_trucks_hesitant,猶豫是否跟蹤卡車
choice_found_facility_yes,找到根源儲備設施
choice_sasha_response_cautious,對莎莎的情況保持謹慎
choice_sasha_response_concerned,關心莎莎
choice_interrogation_choice_deny,在審訊中否認知情
choice_interrogation_choice_betray,在審訊中背叛他人
choice_sasha_arrest_reaction_intervene,干預莎莎的逮捕
choice_sasha_arrest_reaction_hide,在莎莎被捕時躲藏
choice_sasha_arrest_reaction_promise,向莎莎許下承諾
choice_player_wanted_yes,被當局通緝
choice_player_captured_yes,被當局捕獲
choice_has_keycard_yes,獲得安全門禁卡
choice_murphy_final_alliance_committed,全心投入墨菲的聯盟
choice_murphy_final_alliance_hesitant,對最終聯盟猶豫不決
choice_critical_choice_help,在關鍵時刻提供幫助
choice_critical_choice_betray,在關鍵時刻背叛
choice_stay_or_go_stay,留下戰鬥
choice_stay_or_go_go,選擇逃亡
choice_sasha_rescue_reaction_angry,對救援感到憤怒
choice_sasha_rescue_reaction_disgusted,對事件感到厭惡
choice_sasha_rescue_reaction_relieved,獲救後感到寬慰
choice_fellow_officer_response_2_cautious,對同事保持謹慎
choice_fellow_officer_response_2_sympathetic,對同事表示同情
choice_final_mission_response_determined,決心完成最終任務
choice_final_mission_response_cautious,對最終任務保持謹慎
choice_resistance_trust_diplomatic,對反抗軍採取外交手段
choice_resistance_trust_committed,全心投入反抗軍
choice_ending_choice_diplomatic,選擇外交結局
choice_ending_choice_justice,選擇正義結局
choice_ending_choice_vengeance,選擇復仇結局
choice_ending_choice_dismantle,選擇瓦解體制
choice_accept_medal_accept,驕傲地接受獎章
choice_accept_medal_reluctant,不情願地接受獎章
choice_eat_final_eat,吃下最終供品
choice_eat_final_refuse,拒絕最終供品
choice_final_loyalist_choice_report,舉報異議者
choice_final_loyalist_choice_ignore,忽視異議者
choice_final_loyalist_choice_hope,抱持改變的希望
choice_qte_rescue_result_pass,救援嘗試成功
choice_qte_rescue_result_fail,救援嘗試失敗
choice_qte_confrontation_result_pass,贏得對峙
choice_qte_confrontation_result_fail,輸掉對峙
choice_qte_escape_result_pass,成功逃脫
choice_qte_escape_result_fail,逃脫失敗
choice_qte_infiltration_result_pass,滲透成功
choice_qte_infiltration_result_fail,滲透失敗
choice_qte_scanner_result_pass,掃描器破壞成功
choice_qte_scanner_result_fail,掃描器破壞失敗
choice_qte_surveillance_result_pass,避開監控
choice_qte_surveillance_result_fail,被監控發現
choice_qte_suppression_result_pass,抵抗鎮壓
choice_qte_suppression_result_fail,屈服於鎮壓
passport_label_type,類型：
passport_label_born,出生：
passport_label_gender,性別：
passport_label_country,國家：
passport_label_expires,到期：
passport_label_condition,狀況：
tutorial_skip,跳過
tutorial_skip_all,跳過所有教學
tutorial_continue_auto,(自動繼續中...)
tutorial_continue_click,(點擊以繼續...)
tutorial_header,教學 {current} / {total}：{name} - 步驟 {step} / {steps}
tutorial_header_single,{name} - 步驟 {step} / {steps}
tutorial_welcome_name,歡迎來到馬鈴薯海關
tutorial_gate_control_name,開啟閘門
tutorial_megaphone_call_name,呼叫馬鈴薯
tutorial_document_inspection_name,檢查文件
tutorial_rules_checking_name,入境規定
tutorial_stamp_usage_name,使用印章
tutorial_strikes_and_quota_name,違規與配額
tutorial_welcome_step1,[center][b]歡迎來到馬鈴薯海關！[/b][/center]\n\n您的職責是在邊境檢查站處理入境馬鈴薯。讓我們學習基本知識吧！
tutorial_gate_control_step1,[center][b]開啟您的檢查站[/b][/center]\n\n看到那個拉桿了嗎？{interact}它來升起閘門，開啟您的檢查站營業！\n\n[color=yellow]現在{interact}拉桿。[/color]
tutorial_gate_control_step2,[center][b]做得好！[/b][/center]\n\n您的檢查站現已開放。隊列中的馬鈴薯可以看到您已準備好提供服務。
tutorial_megaphone_call_step1,[center][b]呼叫下一位馬鈴薯[/b][/center]\n\n使用擴音器從隊列中呼叫下一位馬鈴薯到您的檢查站。\n\n[color=yellow]{interact}擴音器！[/color]
tutorial_megaphone_call_step2,[center][b]他們來了！[/b][/center]\n\n觀察馬鈴薯走向您的檢查站。他們將出示文件供您檢查。
tutorial_document_inspection_step1,[center][b]文件檢查[/b][/center]\n\n馬鈴薯已將護照交給您。{drag}它到您的檢查桌上仔細查驗。\n\n[color=yellow]{drag}護照到桌上。[/color]
tutorial_document_inspection_step2,[center][b]查驗護照[/b][/center]\n\n{interact}護照以打開它並查閱馬鈴薯的資訊：\n\n- 姓名和照片\n- 原產國\n- 馬鈴薯種類和狀況\n\n尋找任何可疑之處！
tutorial_document_inspection_step3,[center][b]檢查規定！[/b][/center]\n\n在做出決定之前，您需要檢查入境規定。讓我們來了解一下！
tutorial_rules_checking_step1,[center][b]入境規定[/b][/center]\n\n查看右側的規定手冊。這些規定會告訴您哪些馬鈴薯應[color=green]批准[/color]或[color=red]拒絕[/color]。\n\n拒絕任何違反現行規定的馬鈴薯！\n\n[color=red]重要提示：過期文件必須拒絕！[/color]
tutorial_rules_checking_step2,[center][b]保持警惕！[/b][/center]\n\n規定在班次之間會變更。在做出決定前務必檢查現行規定。\n\n仔細比對護照資訊與現行規定。
tutorial_stamp_usage_step1,[center][b]印章欄[/b][/center]\n\n看到頂部的印章欄了嗎？{interact}把手以顯示您的批准和拒絕印章。\n\n[color=yellow]{interact}以打開印章欄。[/color]
tutorial_stamp_usage_step2,[center][b]蓋章定位[/b][/center]\n\n{drag}護照到印章下方。您會看到一個指示，顯示放置位置。\n\n[color=green]綠色印章[/color] = 批准\n[color=red]紅色印章[/color] = 拒絕\n\n[color=yellow]將護照定位在印章下方。[/color]
tutorial_stamp_usage_step3,[center][b]蓋章！[/b][/center]\n\n{interact}印章以在護照上標記您的決定。\n\n[color=yellow]{interact}一個印章以蓋章。[/color]
tutorial_stamp_usage_step4,[center][b]歸還文件[/b][/center]\n\n現在{drag}蓋好章的護照歸還給馬鈴薯，以完成他們的處理。\n\n[color=yellow]將護照歸還給馬鈴薯。[/color]
tutorial_stamp_usage_step5,[center][b]做得好！[/b][/center]\n\n您已處理了您的第一位馬鈴薯！留意您的配額——您需要在每個班次中處理足夠的馬鈴薯。
tutorial_strikes_and_quota_step1,[center][b]配額系統[/b][/center]\n\n查看[color=yellow]配額[/color]顯示。這顯示了您在每個班次中必須正確處理的馬鈴薯數量。
tutorial_strikes_and_quota_step2,[center][b]避免違規！[/b][/center]\n\n[color=red]違規[/color]計數器顯示您的錯誤。違規過多就會遊戲結束！\n\n做出錯誤決定將會導致違規。
tutorial_strikes_and_quota_step3,[center][b]訓練完成！[/b][/center]\n\n繼續處理馬鈴薯以完成您的訓練班次。\n\n完成後，您將被[color=green]認證為海關官員[/color]，並準備好迎接您的第一個正式工作日！
loading_level_in_progress,正在載入關卡...
loading_level_waiting,仍在載入關卡...
loading_level_still_waiting,仍在載入關卡... (%d 秒)
loading_level_complete,關卡載入完成！
