keys,tr
Text/31a/text,"Russet'ın gözleri kısa bir an kısılır, sonra yumuşar. Elbette. Ne kadar da [color=YELLOW]hassas bir bünye[/color]."
Text/31b/text,"Dinlen. Yarın, denetleyeceğimiz [color=CRIMSON]daha fazla işlem[/color] var."
Text/31c/text,Kaldığın yere dönersin. Madalya göğsünde ağır bir yük gibi durur.
Text/31d/text,Kaybolan eşin fotoğrafını çıkarırsın. Eşi de muhtemelen şimdi onunla aynı partide.
Text/31e/text,Onu bulmaya söz vermiştin. [color=STEEL_BLUE]Onu buldun.[/color] Sadece ikinizin de umduğu gibi değil.
Text/31f/text,Murphy. Arkadaşın. Sana güvenen kişi. Direnişteydi.
Text/320/text,[color=CRIMSON]Öyleydi.[/color]
Text/321/text,Penceredeki yansımına bakarsın. Madalya parlar. [color=DARK_ORANGE]Altın Yumru.[/color] Spud'ın Kahramanı.
Text/322/text,[color=STEEL_BLUE]Patates derisinde bir canavar.[/color]
Text/323/text,"O gece, Sasha'yı rüyanda görürsün. Suçlamaz. Öfkelenmez. Bu daha kolay olurdu."
Text/324/text,"Sadece o gözlerle sana bakar. ""[color=CHARTREUSE]Kökler derine iner[/color],"" diye fısıldar."
Text/325/text,[color=STEEL_BLUE]Çürük olanlar[/color] bile.
Text/326/text,Aylar geçer. Terfi edersin. Sınır Güvenliği Bölge Müfettişi. Russet'ın sağ kolu.
Text/327/text,Spud tarihinde herkesten daha fazla ret işlemine nezaret ediyorsunuz. [color=DARK_VIOLET]Kök Rezervi[/color] üretimi tavan yapıyor.
Text/328/text,Ofisiniz konforlu. Tayınlarınız cömert. Aileniz korunuyor.
Text/329/text,Size vaat edilen her şeye sahipsiniz.
Text/32a/text,[color=STEEL_BLUE]Uyku[/color] hariç her şey. [color=STEEL_BLUE]Huzur[/color] hariç. Aynaya bakabilme yeteneği hariç.
Text/32b/text,Bir gün fark edersiniz. Bir duvara kazınmış [color=GOLD]sarı bir patates amblemi[/color]. Sonra bir tane daha. Sonra düzinelerce.
Text/32c/text,Yeni bir direniş oluşuyor. Daha sessiz. Daha dikkatli. Sasha'nın hatalarından ders çıkararak.
Choice/32d/text,Sembolleri derhal güvenliğe bildirin
Choice/32e/text,Onları görmemiş gibi yapın
Choice/32f/text,Kendi izinizi bırakın - tek bir sarı yaprak
Text/330/text,Raporu dosyalıyorsunuz. Başka bir grup şüpheli toplandı. Başka bir terfi.
Text/331/text,Döngü devam ediyor. [color=CRIMSON]Makineye dönüştünüz.[/color]
Text/332/text,Yanından geçersiniz. Hiçbir şey söylemezsiniz. Çok bir şey değil. [color=STEEL_BLUE]Neredeyse hiçbir şey.[/color]
Text/333/text,Ama onlara karşı harekete geçmemeyi seçtiğiniz ilk sefer bu.
Text/334/text,"Belki bu bir şeydir. Belki de [color=YELLOW]çok az, çok geç[/color]."
Text/335/text,"Kimse izlemezken, amblemlerin yanına küçük bir [color=GOLD]sarı yaprak[/color] kazırsınız."
Text/336/text,Tek bir meydan okuma eylemi. Yıllar sonra. Ama [color=CHARTREUSE]bir şey[/color].
Text/337/text,"Sasha'nın sesi hafızanızda yankılanıyor: ""[color=CHARTREUSE]Kökler derine iner.[/color]"""
Text/338/text,Belki de [color=CHARTREUSE]size bile ulaşacak[/color] kadar derin. Bir gün.
Text/339/text,Spud ulusu varlığını sürdürüyor. [color=DARK_VIOLET]Kök Rezervi[/color] akıyor. Tüketim döngüsü devam ediyor.
Text/33a/text,"Ama bir yerlerde, duvarın çatlaklarında, [color=CHARTREUSE]yeni bir şeyler büyüyor[/color]."
Text/33b/text,Onun bir parçası olup olmayacağınız... [color=YELLOW]o hikaye henüz yazılmadı[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
