keys,pt
help_basics_runners,[b]Fugitivos da Fronteira[/b]
help_basics_xray,[b]Scanner de Raios-X[/b]
help_gameplay_quota,[b]Atingindo a Quota[/b]
help_gameplay_strikes,[b]Advertências[/b]
help_gameplay_rules,[b]Regras de Imigração[/b]
help_gameplay_scoring,[b]Pontuação[/b]
help_gameplay_difficulty,[b]Níveis de Dificuldade[/b]
help_minigames_intro,"[b]Minijogos[/b]\nAo longo dos seus turnos, você encontrará minijogos que podem render pontos bônus. Complete-os para receber recompensas ou pule sem penalidade."
help_minigames_document_scanner,"[b]Scanner de Documentos[/b] (Turno 1+)\nUse a luz UV para encontrar elementos ocultos nos documentos. Clique para marcar marcas d'água, carimbos e símbolos. Encontre todos os elementos antes que o tempo acabe!"
help_minigames_stamp_sorting,"[b]Organização de Carimbos[/b] (Turno 2+)\nOrganize os carimbos que caem nas caixas corretas. Carimbos verdes vão para APROVADO, carimbos vermelhos para NEGADO. Organize rapidamente para ganhar pontos bônus!"
help_minigames_fingerprint_match,[b]Combinação de Impressões Digitais[/b] (Turno 3+)\nCombine as impressões digitais da grade com o padrão de referência. Clique nas impressões correspondentes para verificar a identidade. Observação atenta é necessária!
help_minigames_code_breaker,"[b]Quebra-Código[/b] (Turno 4+)\nDecifre o código secreto! Adivinhe a combinação de 4 dígitos. Verde significa posição correta, amarelo significa posição errada. Tentativas limitadas!"
help_minigames_border_chase,[b]Perseguição na Fronteira[/b] (Turno 5+)\nContrabando na esteira! Clique nos itens VERMELHOS para confiscá-los. Deixe os itens VERDES passarem. Reflexos rápidos rendem mais pontos!
help_tab_lore,História
help_lore_world_intro,"[b]O Mundo de Spud[/b]\n\nBem-vindo a uma terra onde as batatas construíram sua própria civilização. Neste mundo, os tubérculos andam, falam e formaram sua própria nação com leis, fronteiras e burocracia."
help_lore_nation,"[b]A Nação de Spud[/b]\n\nSpud é uma nação orgulhosa que promete prosperidade para todas as batatas. Protegida pela Grande Muralha de Spud, a nação mantém controles de fronteira rigorosos para garantir que apenas os tubérculos dignos possam entrar.\n\nO governo promove a unidade e a obediência, com cidadãos patriotas frequentemente ouvidos proclamando: ""Glória a Spud!"""
help_lore_your_role,"[b]Seu Papel[/b]\n\nVocê foi selecionado para um papel crucial na proteção das fronteiras. Como um Oficial da Alfândega, você trabalha sob o olhar atento do Supervisor Russet.\n\nO seu bem-estar depende do seu desempenho. Cumpra suas cotas, siga as regras e lembre-se: a nação conta com você."
help_lore_border,"[b]A Grande Muralha[/b]\n\nA imponente Grande Muralha de Spud protege a nação de forasteiros. Em vários postos de controle ao longo da muralha, oficiais como você garantem que apenas os dignos possam entrar.\n\nAqueles que tentam cruzar a fronteira sem a documentação adequada enfrentam consequências imediatas."
help_lore_secrets,[b]Reserva da Raiz[/b]\n\nBatatas rejeitadas são... processadas. De acordo com o protocolo. A misteriosa Reserva da Raiz cuida de todos os detalhes.\n\nÉ melhor não fazer muitas perguntas. Concentre-se em suas tarefas. Nada mais.
day_transition_label,Dia {day}
level_select_choices_header,Escolhas até o Dia {day}
level_select_choices_header_named,Escolhas até o Dia {day} - {name}
level_select_play_day,Jogar Este Dia
level_select_close,Fechar
continue_dialog_header,Seus Dados Salvos
continue_dialog_day,Dia: {day}
continue_dialog_continue,Continuar
continue_dialog_cancel,Cancelar
new_game_confirm_button,"Sim, Iniciar Novo Jogo"
tutorial_choice_play,Jogar Tutorial
tutorial_choice_skip,Pular Tutorial
tutorial_dialog_title,Tutorial
tutorial_dialog_text,Gostaria de jogar o tutorial?\n\nO tutorial irá guiá-lo pelos fundamentos de ser um oficial de alfândega em Spud Customs.
continue_game_title,Continuar Jogo
level_select_story_choices,Escolhas da História
reset_progress_confirm,Tem certeza de que deseja reiniciar o progresso da história? Isso não pode ser desfeito.
reset_highscores_confirm,Tem certeza de que deseja reiniciar todas as pontuações mais altas? Isso não pode ser desfeito.
level_name_0,Tutorial
level_name_1,Primeiro Dia de Trabalho
level_name_2,Novas Regulamentações
level_name_3,Pressão Crescente
level_name_4,Verificação de Contrabando
level_name_5,Crise do Ponto Médio
level_name_6,Segurança Reforçada
level_name_7,Sob Escrutínio
level_name_8,Agentes Duplos
level_name_9,Caos na Fronteira
level_name_10,A Contagem Regressiva Final
shift_name_1,Primeiro Dia de Trabalho
shift_name_2,Encontro com Sasha e Murphy
shift_name_3,A Esposa Desaparecida
shift_name_4,Caminhões da Reserva de Raízes
shift_name_5,Triagem de Lealdade
shift_name_6,RealityScan
shift_name_7,Reunião da Resistência
shift_name_8,A Captura de Sasha
shift_name_9,O Ataque
shift_name_10,A Contagem Regressiva Final
shift_name_unknown,Desconhecido
path_chaos_agent,Agente do Caos
path_loyalist,Caminho Lealista
path_resistance_ally,Aliado da Resistência
path_questioning,Questionador
path_undetermined,Indeterminado
story_choice_path_label,Caminho:
story_choice_sasha_trust,Confiança em Sasha: {value}/10
story_choice_chaos_points,Caos: {value} pts
story_choice_no_choices,Nenhuma escolha registrada ainda
story_choice_day_header,Dia {day} - {name}
choice_initial_response_eager,Demonstrou entusiasmo por Spud
choice_initial_response_questioning,Questionou o sistema
choice_note_reaction_investigate,Decidiu investigar a nota
choice_note_reaction_destroy,Destruiu a nota misteriosa
choice_note_reaction_report,Reportou a nota às autoridades
choice_kept_note_yes,Guardou a nota misteriosa
choice_kept_note_no,Descartou a nota
choice_reported_note_yes,Reportou a nota
choice_murphy_trust_open,Abriu-se para Murphy
choice_murphy_trust_guarded,Manteve-se reservado com Murphy
choice_eat_reserve_ate,Comeu as rações de reserva
choice_eat_reserve_refused,Recusou as rações de reserva
choice_scanner_response_loyal,Demonstrou lealdade durante o teste do scanner
choice_scanner_response_questioning,Questionou o propósito do scanner
choice_family_response_refuse,Recusou ajudar a encontrar a esposa
choice_family_response_help,Concordou em ajudar a encontrar a esposa desaparecida
choice_has_wife_photo_yes,Obteve foto da esposa desaparecida
choice_reveal_reaction_shocked,Ficou chocado com a revelação
choice_reveal_reaction_cautious,Reagiu com cautela à revelação
choice_cafeteria_response_serious,Levou a sério os rumores da cafeteria
choice_cafeteria_response_avoid,Evitou discussões na cafeteria
choice_murphy_alliance_ally,Aliou-se com Murphy
choice_murphy_alliance_cautious,Manteve a cautela com Murphy
choice_murphy_alliance_skeptical,Permaneceu cético em relação a Murphy
choice_sasha_trust_level_committed,Comprometeu-se totalmente a confiar em Sasha
choice_sasha_trust_level_cautious,Permaneceu cauteloso em relação a Sasha
choice_sasha_investigation_committed,Comprometeu-se com a investigação de Sasha
choice_sasha_investigation_hesitant,Hesitou em relação à investigação
choice_loyalty_response_patriotic,Deu respostas patrióticas
choice_loyalty_response_idealistic,Expressou visões idealistas
choice_hide_choice_desk,Escondeu-se atrás da mesa
choice_hide_choice_window,Escondeu-se perto da janela
choice_evidence_choice_hand_over,Entregou a evidência
choice_evidence_choice_keep,Manteve a evidência escondida
choice_evidence_choice_lie,Mentiu sobre a evidência
choice_evidence_choice_chaos,Usou a evidência para causar caos
choice_viktor_wife_discovery_yes,Descobriu a esposa de Viktor no manifesto
choice_fellow_officer_response_cautious,Manteve a cautela com o colega oficial
choice_fellow_officer_response_sympathetic,Mostrou simpatia ao colega oficial
choice_fellow_officer_response_loyal,Permaneceu leal perto do colega oficial
choice_interrogation_response_lie,Mentiu durante o interrogatório
choice_interrogation_response_legal,Deu respostas legais
choice_viktor_conversation_tell_truth,Disse a verdade a Viktor
choice_viktor_conversation_lie_protect,Mentiu para proteger Viktor
choice_viktor_conversation_curious,Ficou curioso sobre Viktor
choice_scanner_choice_help,Ajudou a sabotar o scanner
choice_scanner_choice_scan,Operou o scanner normalmente
choice_scanner_choice_viktor,Escolheu Viktor para o scanner
choice_helped_operative_yes,Ajudou o agente da resistência
choice_helped_operative_no,Recusou-se a ajudar o agente
choice_viktor_allied_yes,Formou aliança com Viktor
choice_betrayed_resistance_yes,Traiu a resistência
choice_sasha_plan_response_committed,Comprometeu-se com o plano de Sasha
choice_sasha_plan_response_nervous,Estava nervoso com o plano
choice_malfunction_excuse_technical,Culpou falha técnica
choice_malfunction_excuse_innocent,Fingiu inocência
choice_resistance_mission_committed,Comprometeu-se com a missão da resistência
choice_resistance_mission_hesitant,Hesitou sobre a missão
choice_resistance_mission_cautious,Abordou a missão com cautela
choice_final_decision_help,Decidiu ajudar a resistência
choice_final_decision_passive,Permaneceu passivo
choice_final_decision_undecided,Permaneceu indeciso
choice_yellow_badge_response_help,Ajudou os portadores de crachá amarelo
choice_yellow_badge_response_betray,Traiu os portadores de crachá amarelo
choice_follow_trucks_volunteer,Voluntariou-se para seguir os caminhões
choice_follow_trucks_hesitant,Hesitou em seguir os caminhões
choice_found_facility_yes,Encontrou a instalação da Reserva de Raízes
choice_sasha_response_cautious,Agiu com cautela em relação à situação de Sasha
choice_sasha_response_concerned,Demonstrou preocupação por Sasha
choice_interrogation_choice_deny,Negou conhecimento sob interrogatório
choice_interrogation_choice_betray,Traiu outros sob interrogatório
choice_sasha_arrest_reaction_intervene,Interveio na prisão de Sasha
choice_sasha_arrest_reaction_hide,Escondeu-se durante a prisão de Sasha
choice_sasha_arrest_reaction_promise,Fez uma promessa a Sasha
choice_player_wanted_yes,Tornou-se procurado(a) pelas autoridades
choice_player_captured_yes,Foi capturado(a) pelas autoridades
choice_has_keycard_yes,Obteve o cartão-chave de segurança
choice_murphy_final_alliance_committed,Comprometeu-se totalmente com a aliança de Murphy
choice_murphy_final_alliance_hesitant,Hesitou em relação à aliança final
choice_critical_choice_help,Ajudou durante o momento crítico
choice_critical_choice_betray,Traiu no momento crítico
choice_stay_or_go_stay,Ficou para lutar
choice_stay_or_go_go,Optou por fugir
choice_sasha_rescue_reaction_angry,Reagiu com raiva ao resgate
choice_sasha_rescue_reaction_disgusted,Ficou enojado(a) com os acontecimentos
choice_sasha_rescue_reaction_relieved,Sentiu-se aliviado(a) após o resgate
choice_fellow_officer_response_2_cautious,Permaneceu cauteloso(a) com os colegas
choice_fellow_officer_response_2_sympathetic,Demonstrou simpatia pelos colegas
choice_final_mission_response_determined,Determinado(a) a completar a missão final
choice_final_mission_response_cautious,Cauteloso(a) em relação à missão final
choice_resistance_trust_diplomatic,Adotou uma abordagem diplomática com a resistência
choice_resistance_trust_committed,Comprometeu-se totalmente com a resistência
choice_ending_choice_diplomatic,Escolheu final diplomático
choice_ending_choice_justice,Escolheu final de justiça
choice_ending_choice_vengeance,Escolheu final de vingança
choice_ending_choice_dismantle,Escolheu desmantelar o sistema
choice_accept_medal_accept,Aceitou a medalha com orgulho
choice_accept_medal_reluctant,Aceitou relutantemente a medalha
choice_eat_final_eat,Comeu a oferta final
choice_eat_final_refuse,Recusou a oferta final
choice_final_loyalist_choice_report,Denunciou dissidentes
choice_final_loyalist_choice_ignore,Ignorou os dissidentes
choice_final_loyalist_choice_hope,Manteve a esperança de mudança
choice_qte_rescue_result_pass,Sucesso na tentativa de resgate
choice_qte_rescue_result_fail,Falha na tentativa de resgate
choice_qte_confrontation_result_pass,Vitória no confronto
choice_qte_confrontation_result_fail,Derrota no confronto
choice_qte_escape_result_pass,Fuga bem-sucedida
choice_qte_escape_result_fail,Falha na fuga
choice_qte_infiltration_result_pass,Infiltração bem-sucedida
choice_qte_infiltration_result_fail,Falha na infiltração
choice_qte_scanner_result_pass,Sabotagem do scanner bem-sucedida
choice_qte_scanner_result_fail,Falha na sabotagem do scanner
choice_qte_surveillance_result_pass,Vigilância evitada
choice_qte_surveillance_result_fail,Pego pela vigilância
choice_qte_suppression_result_pass,Supressão resistida
choice_qte_suppression_result_fail,Sucumbiu à supressão
passport_label_type,Tipo:
passport_label_born,Nascimento:
passport_label_gender,Gênero:
passport_label_country,País:
passport_label_expires,Expira em:
passport_label_condition,Condição:
tutorial_skip,Pular
tutorial_skip_all,Pular Todos os Tutoriais
tutorial_continue_auto,(continuando automaticamente...)
tutorial_continue_click,(clique para continuar...)
tutorial_continue,Continue
tutorial_back,Back
tutorial_action_required,Complete the action above to continue
tutorial_skip_action,Having trouble? Click here to skip
tutorial_header,Tutorial {current} de {total}: {name} - Passo {step} de {steps}
tutorial_header_single,{name} - Passo {step} de {steps}
tutorial_welcome_name,Bem-vindo(a) à Alfândega da Batata
tutorial_gate_control_name,Abrindo o Portão
tutorial_megaphone_call_name,Chamando Batatas
tutorial_document_inspection_name,Inspecionando Documentos
tutorial_rules_checking_name,Regras de Imigração
tutorial_stamp_usage_name,Usando os Carimbos
tutorial_strikes_and_quota_name,Advertências e Cota
tutorial_welcome_step1,[center][b]Bem-vindo(a) à Alfândega da Batata![/b][/center]\n\nSeu trabalho é processar as batatas que chegam ao posto de fronteira. Vamos aprender o básico!
tutorial_gate_control_step1,[center][b]Abrindo Sua Cabine[/b][/center]\n\nVê aquela alavanca? {interact} para levantar a persiana e abrir sua cabine para atendimento!\n\n[color=yellow]{interact} a alavanca agora.[/color]
tutorial_gate_control_step2,[center][b]Ótimo trabalho![/b][/center]\n\nSua cabine está agora aberta. As batatas na fila podem ver que você está pronto(a) para o atendimento.
tutorial_megaphone_call_step1,[center][b]Chamando a Próxima Batata[/b][/center]\n\nUse o megafone para chamar a próxima batata da fila para sua cabine.\n\n[color=yellow]{interact} o megafone![/color]
tutorial_megaphone_call_step2,[center][b]Lá vêm elas![/b][/center]\n\nObserve enquanto a batata se aproxima da sua cabine. Elas apresentarão seus documentos para inspeção.
tutorial_document_inspection_step1,[center][b]Inspeção de Documentos[/b][/center]\n\nA batata entregou-lhe o passaporte. {drag} para a sua mesa de inspeção para examiná-lo de perto.\n\n[color=yellow]{drag} o passaporte para a mesa.[/color]
tutorial_document_inspection_step2,[center][b]Examinando o Passaporte[/b][/center]\n\n{interact} o passaporte para abri-lo e revisar as informações da batata:\n\n- Nome e foto\n- País de origem\n- Tipo e condição da batata\n\nProcure por algo suspeito!
tutorial_document_inspection_step3,"[center][b]Verifique as Regras![/b][/center]\n\nAntes de tomar sua decisão, você precisa verificar as regras de imigração. Vamos aprender sobre elas!"
tutorial_rules_checking_step1,[center][b]Regras de Imigração[/b][/center]\n\nOlhe o folheto de regras no lado direito. Estas regras dizem quais batatas [color=green]APROVAR[/color] ou [color=red]REJEITAR[/color].\n\nRejeite qualquer batata que viole as regras atuais!\n\n[color=red]IMPORTANTE: Documentos com datas expiradas devem ser REJEITADOS![/color]
tutorial_rules_checking_step2,[center][b]Mantenha-se Vigilante![/b][/center]\n\nAs regras mudam entre os turnos. Sempre verifique as regras atuais antes de tomar decisões.\n\nCompare as informações do passaporte com as regras ativas cuidadosamente.
tutorial_stamp_usage_step1,[center][b]A Barra de Carimbos[/b][/center]\n\nVê a barra de carimbos no topo? {interact} a alavanca para revelar seus carimbos de aprovação e rejeição.\n\n[color=yellow]{interact} para abrir a barra de carimbos.[/color]
tutorial_stamp_usage_step2,[center][b]Posicionando para Carimbar[/b][/center]\n\n{drag} o passaporte sob os carimbos. Você verá um guia mostrando onde colocá-lo.\n\n[color=green]Carimbo verde[/color] = APROVAR\n[color=red]Carimbo vermelho[/color] = REJEITAR\n\n[color=yellow]Posicione o passaporte sob um carimbo.[/color]
tutorial_stamp_usage_step3,[center][b]Aplique o Carimbo![/b][/center]\n\n{interact} o carimbo para marcar o passaporte com sua decisão.\n\n[color=yellow]{interact} um carimbo para aplicá-lo.[/color]
tutorial_stamp_usage_step4,[center][b]Devolva os Documentos[/b][/center]\n\nAgora {drag} o passaporte carimbado de volta para a batata para completar seu processamento.\n\n[color=yellow]Devolva o passaporte para a batata.[/color]
tutorial_stamp_usage_step5,[center][b]Muito Bem![/b][/center]\n\nVocê processou sua primeira batata! Fique de olho na sua cota - você precisa processar batatas suficientes a cada turno.
tutorial_strikes_and_quota_step1,[center][b]O Sistema de Cota[/b][/center]\n\nOlhe para o display de [color=yellow]Cota[/color]. Isso mostra quantas batatas você deve processar corretamente a cada turno.
tutorial_strikes_and_quota_step2,[center][b]Evite Penalidades![/b][/center]\n\nO contador de [color=red]Penalidades[/color] mostra seus erros. Muitas penalidades e é fim de jogo!\n\nTome decisões erradas e você ganhará penalidades.
tutorial_strikes_and_quota_step3,"[center][b]Treinamento Concluído![/b][/center]\n\nContinue processando batatas para completar seu turno de treinamento.\n\nUma vez terminado, você será [color=green]certificado como Oficial da Alfândega[/color] e estará pronto para seu primeiro dia de verdade!"
loading_level_in_progress,Carregando Nível...
loading_level_waiting,Ainda Carregando Nível...
loading_level_still_waiting,Ainda Carregando Nível... (%d segundos)
loading_level_complete,Carregamento do Nível Concluído!
