keys,uk
Text/1a/text,"Після напруженого проникнення, ваша команда стоїть у серці [color=DARK_VIOLET]Кореневого Заповідника[/color], [pulse freq=3][color=CRIMSON]жахлива машина гноблення[/color][/pulse] викрита."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Ревуть сирени[/color][/wave], коли охоронці кидаються реагувати на ваше вторгнення. Ви мчите коридорами, ухиляючись від систем безпеки."
Text/1c/text,"Екран блимає, вмикаючись. ""Ну-ну, [color=CRIMSON]зрадник[/color] повертається з повстанським непотребом."""
Text/1d/text,"Невже ти думав, що зможеш зупинити прогрес Спуда? [color=DARK_VIOLET]Кореневий Заповідник[/color] – це життєва сила цієї нації."
Text/1e/text,Але не хвилюйся. Ти все одно служитимеш Спуду... [tornado radius=4 freq=3][color=DARK_VIOLET]у переробних чанах![/color][/tornado]
Text/1f/text,Екран раптово гасне.
Text/20/text,"Ти рішуче повертаєшся до інших. ""Нам потрібно дістатися до бункера Айдахо. Негайно!"""
Text/158/text,Сили безпеки наближаються! [pulse freq=3][color=YELLOW]Пробивайтеся![/color][/pulse]
Text/21_fail1/text,Охоронці оточують з усіх боків. [color=CRIMSON]Нікуди бігти![/color]
Text/21_fail2/text,"Віктор з'являється позаду охоронців, голос холодний як сталь. [color=STEEL_BLUE]Відступити. Негайно.[/color]"
Text/21_fail3/text,Охоронці вагаються – Віктор був одним із них. [color=CRIMSON]Ім'я Олени є в тих списках. Ваші родини можуть бути наступними.[/color]
Text/21_fail4/text,Деякі охоронці опускають зброю. Інші тікають. Шлях вільний.
Text/21_fail5/text,"Вибух струшує східне крило. Голос Мерфі тріщить по зв'язку: [color=CHARTREUSE]""Це моя диверсія! РУХАЙТЕСЬ!""[/color]"
Text/21_fail6/text,[color=STEEL_BLUE]Охоронці розбігаються до вибуху. Томмі пишався б.[/color]
Text/21_fail7/text,"Саша нападає на головного охоронця ззаду. [color=CHARTREUSE]Я не вижила в тій камері, щоб просто дивитися, як ти помреш![/color]"
Text/21_fail8/text,[color=STEEL_BLUE]БІЖИ! Я впораюся![/color]
Text/21/text,"Ваша група пробивається крізь хвилі охорони, ледь уникаючи захоплення. Бійці опору Саші створюють диверсії, розчищаючи вам шлях."
Text/22/text,"Після жахливої втечі через технічні тунелі, ви нарешті дістаєтеся до захищеного ліфта, що веде до приватного бункера Айдахо."
Text/23/text,"З Сашею та вашими союзниками поруч, ви нарешті протистоїте Айдахо."
Text/24/text,"Кінець, Айдахо. Твої таємниці викрито. Як це закінчиться... [pulse freq=2]вирішувати тобі.[/pulse]"
Choice/25/text,Домовитися про мирну передачу влади (Дипломатія)
Choice/26/text,Вимагати негайного арешту Айдахо (Справедливість)
Choice/27/text,Здійснити самосуд за злочини Айдахо (Помста)
Choice/28/text,Зосередитися на демонтажі інфраструктури Кореневого Резерву (Демонтаж)
Text/29/text,"Айдахо, це не мусить закінчуватися ще більшим кровопролиттям. Якщо ти співпрацюватимеш..."
Text/2a/text,"О, ти [color=STEEL_BLUE]ідеалістичний дурень[/color]. Ти думаєш, це переговори?"
Text/2b/text,"Айдахо розбиває кнопку, і [color=RED]сигналізація починає ревіти[/color]. ""Єдине, що я тобі дам, це [color=DARK_VIOLET]квиток в один кінець до фритюрних чанів![/color]"""
Text/2c/text,"Я так не думаю, Айдахо. Варта! Ви бачили досьє, [color=YELLOW]ви знаєте, що він зробив з вашими родинами.[/color]"
Text/2d/text,Здоровенний охоронець виходить вперед і швидко штовхає Айдахо на землю.
Text/2e/text,Постріл лунає по приміщенню. Екран темніє.
Text/2f/text,"Айдахо, в ім'я картопляного народу Спуду, [color=CHARTREUSE]ти під арештом![/color]"
Text/30/text,"Все скінчено. Народ сказав своє слово. [color=CHARTREUSE]Ми збудуємо новий Спуд, де наше коріння буде в ґрунті, а не в стражданнях.[/color]"
Text/31/text,"Не буде [color=CRIMSON]жодних угод, жодної милості[/color] для тебе, Айдахо. Ти заслуговуєш лише на тиранську справедливість."
Text/32/text,Відплата. Ось хто я. [color=CHARTREUSE]За кожну пожертвувану картоплину ми повернемо наше майбутнє![/color]
Text/33/text,"Забудьте про нього. Він симптом, а не хвороба. [color=CHARTREUSE]Знищіть кожен корінь і стебло цієї потвори.[/color]"
Text/34/text,Ми мусимо йти! Зараз!
Text/35/text,Падіння [color=DARK_VIOLET]Кореневого Резерву[/color] розпалює пожежу змін по всьому Спуду.
Text/36/text,"Картопля в кожній провінції повстає, приймаючи [color=CHARTREUSE]нове бачення для своєї нації[/color]."
Text/37/text,"Поки ми залишаємося вірними своєму корінню, ідеалам, що привели нас сюди... [color=CHARTREUSE]ми знайдемо шлях.[/color]"
Text/38/text,"І ось, з попелу старого Спуду, [color=CHARTREUSE]нова нація починає пускати коріння[/color]. Правління [color=DARK_VIOLET]Кореневого Резерву[/color] закінчено."
Text/151/text,"[color=CHARTREUSE]Саша підходить ближче, її рука знаходить твою, коли ви разом спостерігаєте за новим світанком.[/color] Ми це збудували. Ти і я."
Text/152/text,"Поки ми залишаємося вірними своєму корінню, ідеалам, що привели нас сюди... [color=CHARTREUSE]ми знайдемо шлях.[/color] Разом."
Text/153/text,[color=CHARTREUSE]Ти стискаєш її руку. Разом.[/color]
Text/154/text,"[color=STEEL_BLUE]Саша стоїть поруч з тобою.[/color] Твій вогонь запалив іскру, що спалила їхню імперію."
Text/155/text,[color=STEEL_BLUE]Гнів охолов до рішучості. Робота ще не закінчена.[/color]
Text/156/text,[color=STEEL_BLUE]Саша дарує тобі підбадьорливу посмішку.[/color] Ти пройшов довгий шлях від того КПП. Ми всі пройшли.
Text/157/text,"[color=STEEL_BLUE]Почуття провини, можливо, ніколи повністю не зникне, але ти знайшов мету у відбудові.[/color]"
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
