keys,cs
Text/319/text,Odstrčíte talíř. „Necítím se dobře. Vzrušení z dnešního dne…“
Text/31a/text,"Russetovy oči se na okamžik zúží, pak zjemní. Samozřejmě. Taková [color=YELLOW]citlivá povaha[/color]."
Text/31b/text,Odpočiňte si. Zítra nás čeká dohled nad [color=CRIMSON]dalším zpracováním[/color].
Text/31c/text,Vrátíte se do svých ubikací. Medaile vám těžce leží na hrudi.
Text/31d/text,Vytáhnete fotku pohřešované ženy. Ona je teď pravděpodobně ve stejné várce jako ostatní.
Text/31e/text,"Slíbili jste, že ji najdete. [color=STEEL_BLUE]Našli jste ji.[/color] Jen ne tak, jak jste si oba přáli."
Text/31f/text,"Murphy. Váš přítel. Ten, kdo vám věřil. Byl v odboji."
Text/320/text,[color=CRIMSON]Byl.[/color]
Text/321/text,Zíráte na svůj odraz v okně. Medaile se leskne. [color=DARK_ORANGE]Zlatá hlíza[/color]. Hrdina Spudu.
Text/322/text,[color=STEEL_BLUE]Monstrum v bramborové slupce.[/color]
Text/323/text,Tu noc se vám zdá o Sashe. Neobviňuje. Nezlobí se. To by bylo snazší.
Text/324/text,"Jen se na vás dívá těma očima. [color=CHARTREUSE]Kořeny rostou hluboko[/color], šeptá."
Text/325/text,I ty [color=STEEL_BLUE]shnilé[/color].
Text/326/text,Měsíce plynou. Jste povýšeni. Regionální inspektor pohraniční bezpečnosti. Russetova pravá ruka.
Text/327/text,Dohlížíte na více zamítnutí než kdokoli v historii Spudu. Produkce [color=DARK_VIOLET]Kořenové rezervy[/color] prudce stoupá.
Text/328/text,Vaše kancelář je pohodlná. Vaše příděly jsou štědré. Vaše rodina je chráněna.
Text/329/text,"Máte vše, co vám bylo slíbeno."
Text/32a/text,Všechno kromě [color=STEEL_BLUE]spánku[/color]. Kromě [color=STEEL_BLUE]klidu[/color]. Kromě schopnosti podívat se do zrcadla.
Text/32b/text,Jednoho dne si toho všimnete. [color=GOLD]Žlutý bramborový emblém[/color] vyrytý do zdi. Pak další. Pak desítky.
Text/32c/text,Tvoří se nový odpor. Tišší. Opatrnější. Učí se z chyb Sashy.
Choice/32d/text,Okamžitě nahlaste symboly ochrance
Choice/32e/text,"Předstírejte, že jste je neviděli"
Choice/32f/text,Zanechte vlastní stopu – jediný žlutý list
Text/330/text,Podáte hlášení. Další skupina podezřelých je zatčena. Další povýšení.
Text/331/text,Cyklus pokračuje. [color=CRIMSON]Stali jste se strojem.[/color]
Text/332/text,Projdete kolem. Nic neříkáte. Není to moc. [color=STEEL_BLUE]Není to skoro nic.[/color]
Text/333/text,"Ale je to poprvé, co jste se rozhodli proti nim nejednat."
Text/334/text,"Možná je to něco. Možná je to [color=YELLOW]příliš málo, příliš pozdě[/color]."
Text/335/text,"Když se nikdo nedívá, vyryjete malý [color=GOLD]žlutý list[/color] vedle emblémů."
Text/336/text,Jediný akt vzdoru. O roky pozdě. Ale [color=CHARTREUSE]něco[/color].
Text/337/text,"Sashin hlas se ozývá ve vaší paměti: ""[color=CHARTREUSE]Kořeny rostou hluboko.[/color]"""
Text/338/text,"Možná dost hluboko, aby [color=CHARTREUSE]dosáhly i na vás[/color]. Jednoho dne."
Text/339/text,Národ Spud přetrvává. [color=DARK_VIOLET]Kořenová rezerva[/color] proudí. Cyklus spotřeby pokračuje.
Text/33a/text,"Ale někde, v prasklinách zdi, [color=CHARTREUSE]roste něco nového[/color]."
Text/33b/text,"Zda toho budete součástí... [color=YELLOW]to je příběh, který se teprve napíše[/color]."
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
