keys,uk
Text/e3/text,[color=STEEL_BLUE]Надія в очах Саші згасає.[/color] Я... так. Це небезпечно.
Text/e4/text,"Ми всі можемо опинитися [color=DARK_VIOLET]переробленими на Кореневий Запас[/color] самі, якщо зазнаємо невдачі."
Text/e5/text,"[color=STEEL_BLUE]Вона на мить відводить погляд.[/color] Я думала, після всього, що ви бачили... але я розумію. Страх — це природно."
Text/e6/text,[color=STEEL_BLUE]Обличчя Саші похмурніє. Світло в її очах тьмяніє.[/color] Інший спосіб? Ми пробували інші способи. Роками.
Text/e7/text,Петиції. Тиха дипломатія. Анонімні повідомлення. [color=STEEL_BLUE]Її голос стає холодним.[/color] Нічого не спрацювало.
Text/e8/text,"Я сподівалася, що ви будете іншими. Що ви розумієте, що стоїть на кону."
Text/e9/text,Розгорається гаряча суперечка серед членів опору.
Text/ea/text,Деякі виступають за більш агресивний підхід – повне знищення переробних заводів.
Text/eb/text,"Інші наполягають, що насильницькі дії лише налаштують громадську думку проти них."
Text/ec/text,ДОСИТЬ! Лідер владним голосом змушує всіх замовкнути.
Text/ed/text,"Ми не можемо дозволити собі бути розділеними. Не зараз, коли ми так близько."
Text/ee/text,"Наша мета проста: розкрити правду. Нехай люди вирішують, що буде далі."
Text/ef/text,"Лідер повертається, щоб звернутися до вас безпосередньо. Але нам потрібно знати, [color=YELLOW]на чиєму ви боці[/color]."
Text/f0/text,За три дні наші агенти наблизяться до вашого контрольно-пропускного пункту. Вони матимуть [color=CHARTREUSE]сині ідентифікаційні картки[/color].
Text/f1/text,Чи допоможете ви їм перетнути кордон? Ваша відповідь зараз визначить наш наступний крок.
Choice/f2/text,"""Я допоможу їм перетнути кордон. За майбутнє Спуду."""
Choice/f3/text,"Я не можу брати безпосередньої участі, але я закрию на це очі."
Choice/f4/text,"Мені потрібно більше часу, щоб подумати над цим."
Text/f5/text,Лідер міцно стискає ваше плече. [color=CHARTREUSE]Ваша мужність робить честь нам усім.[/color]
Text/f6/text,"На третій день, коли сонце буде у зеніті, прийдуть наші агенти."
Text/f7/text,"Пароль: ""[wave amp=15 freq=3][color=CHARTREUSE]Коріння росте глибоко.[/color][/wave]"" Запам'ятайте його."
Text/f8/text,"Лідер повільно киває, явно розчарований, але з розумінням."
Text/f9/text,"Іноді найбільше, що ми можемо просити, це щоб люди не ставали нам на шляху."
Text/fa/text,Наші агенти діятимуть за планом. Просто... не піднімайте тривогу.
Text/fb/text,"Вираз обличчя лідера твердне. [color=YELLOW]Час – це розкіш, якої ми не маємо.[/color]"
Text/fc/text,Але примушувати когось приєднатися до нашої справи не робить нас кращими за них.
Text/fd/text,"Ми діятимемо, не розраховуючи на вашу допомогу. Загляньте у свою совість."
Text/fe/text,"Коли зустріч закінчується, Саша йде з вами назад до пропускного пункту."
Text/ff/text,"[color=CHARTREUSE]Вона бере вашу руку, коли ви йдете.[/color] Що б не сталося... ми тепер у цьому разом. Дякую."
Text/ff2/text,"[color=STEEL_BLUE]Вона тримається на відстані, коли ви йдете.[/color] Я ціную, що ви не стаєте нам на шляху. Це... вже щось."
Text/ff3/text,"[color=STEEL_BLUE]Вона йде мовчки, схрестивши руки.[/color] Я сподіваюся, ви знайдете ту впевненість, яку шукаєте. Решта з нас не може дозволити собі чекати."
Text/100_viktor1/text,"На зворотному шляху ви знаходите Віктора самого на даху пропускного пункту, який дивиться на нічне небо."
Text/100_viktor2/text,Віктор тримає невелику
Text/100_viktor3/text,"Вона казала, що незалежно від того, як би не темніло, зірки все одно будуть там. [color=STEEL_BLUE]Незмінні. Прекрасні.[/color]"
Text/100_viktor4/text,"Він повертається до вас, очі блищать. [wave amp=15 freq=2]Я весь час думаю... чи страждала вона?[/wave] Чи знала вона, що відбувається?"
Text/100_viktor5/text,"Голос Віктора зривається. Вона якось запитала мене, чи я коли-небудь сумнівався у відмовах. Я сказав їй [color=CRIMSON]довіряти системі[/color]."
Text/100_viktor6/text,"[tornado radius=3 freq=2][color=CRIMSON]Я відправив свою власну дружину до переробних чанів, не знаючи про це.[/color][/tornado]"
Choice/100_viktor_choice1/text,"""Ви не могли знати. Ніхто з нас не знав."""
Choice/100_viktor_choice2/text,"""Олена хотіла б, щоб ви боролися зараз, а не тонули у провині."""
Choice/100_viktor_choice3/text,"""Я не знаю, що сказати. Мені шкода."""
Text/100_viktor7/text,Він повільно хитає головою. [color=STEEL_BLUE]Невігластво – це не невинність. Я мав запитати. Мав послухати.[/color]
Text/100_viktor8/text,Віктор обережно ховає фото. [color=CHARTREUSE]Але тепер я знаю. А знати означає діяти.[/color]
Text/100_viktor9/text,"Віктор випрямляється, холодний вогонь знову спалахує в його очах. [color=CHARTREUSE]Ти маєш рацію.[/color] Вона була сильнішою за мене. Сміливішою."
Text/100_viktor10/text,Він стискає кулак. [color=CHARTREUSE]Коли прийде час
Text/100_viktor11/text,"[pulse freq=2][color=CRIMSON]І Айдахо заплатить за кожне життя, яке він поглинув.[/color][/pulse]"
Text/100_viktor12/text,Віктор видає сумний
Text/100_viktor13/text,Він дивиться на зорі. [color=STEEL_BLUE]Олені ти б сподобався.[/color]
Text/100_viktor14/text,"Він повертається, щоб піти, потім зупиняється. [color=CHARTREUSE]Коли опір рушить... я буду готовий.[/color]"
Text/100_viktor15/text,"За Олену. За всіх них. [pulse freq=2][color=CHARTREUSE]Вартові підуть за мною, коли я скажу їм правду.[/color][/pulse]"
Text/100/text,"Ви повертаєтеся до своїх апартаментів на пропускному пункті, думки мчать від ваги прийдешніх подій."
Text/101/text,Всього за три дні все може змінитися. [color=YELLOW]На краще чи на гірше.[/color]
Choice/de/disabled_text,
Choice/df/disabled_text,
Choice/e0/disabled_text,
Choice/f2/disabled_text,
Choice/f3/disabled_text,
Choice/f4/disabled_text,
Choice/100_viktor_choice1/disabled_text,
Choice/100_viktor_choice2/disabled_text,
Choice/100_viktor_choice3/disabled_text,
