keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
Character/17d/name,Brazen Resistance Member,Drzý člen odboje,Fræk Modstandsmedlem,Dreistes Widerstandsmitglied,Miembro descarado de la resistencia,Röyhkeä vastarintaliikkeen jäsen,Membre effronté de la résistance,Szemtelen Ellenállási Tag,Anggota Perlawanan yang Berani,Membro sfacciato della resistenza,Brutaal Verzetsllid,Frekk Motstandsmedlem,Bezczelny członek ruchu oporu,Membro descarado da resistência,Membru îndrăzneț al rezistenței,Drzý člen odboja,Fräck Motståndsmedlem,Küstah Direniş Üyesi,Thành viên kháng chiến táo bạo
Character/17e/name,Security Chief,Šéf bezpečnosti,Sikkerhedschef,Sicherheitschef,Jefe de seguridad,Turvallisuuspäällikkö,Chef de la sécurité,Biztonsági Főnök,Kepala Keamanan,Capo della sicurezza,Veiligheidschef,Sikkerhetssjef,Szef ochrony,Chefe de segurança,Șef de securitate,Šéf bezpečnosti,Säkerhetschef,Güvenlik Şefi,Trưởng an ninh
Character/17f/name,Security Officer,Bezpečnostní důstojník,Sikkerhedsofficer,Sicherheitsbeamter,Oficial de seguridad,Turvallisuusvirkailija,Agent de sécurité,Biztonsági Tiszt,Petugas Keamanan,Ufficiale di sicurezza,Veiligheidsbeambte,Sikkerhetsvakt,Oficer ochrony,Oficial de segurança,Ofițer de securitate,Bezpečnostný dôstojník,Säkerhetsvakt,Güvenlik Görevlisi,Nhân viên an ninh
Character/180/name,Spud Masherson,Brambor Šťouchal,Kartoffel Mosersen,Karl Stampf,Papa Puréson,Peruna Survoja,Patate Écrason,Krumpli Törő,Kentang Tumbuksono,Spud Purètti,Piet Stampot,Potet Mosersen,Kartofel Tłuczkowski,Batatônio Amassado,Cartof Piurescu,Zemiak Kašovič,Potatis Mosesson,Patates Ezgeç,Khoai Văn Nghiền
Character/181/name,Supervisor Russet,Dozorce Russet,Tilsynsførende Russet,Aufseher Russet,Capataz Rojizo,Esimies Russet,Superviseur Russet,Russet Felügyelő,Pengawas Russet,Supervisore Russet,Opzichter Russet,Tilsynsmann Russet,Nadzorca Russet,Supervisor Casca-Grossa,Supervizor Russet,Dozorca Russet,Övervakare Russet,Şef Russet,Giám sát viên Russet
Character/181/nicknames,"Russ,Russet,Supervisor Russet","Russ,Russet,Dozorce Russet","Russ,Russet,Tilsynsførende Russet","Russ,Russet,Aufseher Russet","Roji,Rojizo,Capataz Rojizo","Russ,Russet,Esimies Russet","Russ,Russet,Superviseur Russet","Russ,Russet,Russet Felügyelő","Russ,Russet,Pengawas Russet","Russ,Russet,Supervisore Russet","Russ,Russet,Opzichter Russet","Russ,Russet,Tilsynsmann Russet","Russ,Russet,Nadzorca Russet","Casca,Casca-Grossa,Supervisor Casca-Grossa","Russ,Russet,Supervizor Russet","Russ,Russet,Dozorca Russet","Russ,Russet,Övervakare Russet","Russ,Russet,Şef Russet","Russ,Russet,Giám sát viên Russet"
Character/182/name,Sweet Potato Sasha,Sladký brambor Sasha,Sødkartoffel Sasha,Süßkartoffel Sasha,Batata Sasha,Bataatti Sasha,Patate douce Sasha,Édesburgonya Sasha,Ubi Jalar Sasha,Patata dolce Sasha,Zoete Aardappel Sasha,Søtpotet Sasha,Słodki Ziemniak Sasha,Batata-doce Sasha,Cartof dulce Sasha,Sladký zemiak Sasha,Sötpotatis Sasha,Tatlı Patates Sasha,Khoai lang Sasha
Character/183/name,Jumpy Traveler,Nervózní cestovatel,Nervøs Rejsende,Nervöser Reisender,Viajero nervioso,Hermostunut matkustaja,Voyageur nerveux,Ideges Utazó,Pelancong Gugup,Viaggiatore nervoso,Nerveuze Reiziger,Nervøs Reisende,Nerwowy podróżnik,Viajante nervoso,Călător agitat,Nervózny cestovateľ,Nervös Resenär,Gergin Yolcu,Du khách lo lắng
Character/183/nicknames,,,,,,,,,,,,,,,,,,,
Character/173/nicknames,,,,,,,,,,,,,,,,,,,
Character/182/nicknames,,,,,,,,,,,,,,,,,,,
Character/180/nicknames,,,,,,,,,,,,,,,,,,,
Character/17f/nicknames,,,,,,,,,,,,,,,,,,,
Character/17e/nicknames,,,,,,,,,,,,,,,,,,,
Character/17d/nicknames,,,,,,,,,,,,,,,,,,,
Character/17c/nicknames,,,,,,,,,,,,,,,,,,,
Character/17b/nicknames,,,,,,,,,,,,,,,,,,,
Character/17a/nicknames,,,,,,,,,,,,,,,,,,,
Character/179/nicknames,,,,,,,,,,,,,,,,,,,
Character/178/nicknames,,,,,,,,,,,,,,,,,,,
Character/177/nicknames,,,,,,,,,,,,,,,,,,,
Character/176/nicknames,,,,,,,,,,,,,,,,,,,
Character/175/nicknames,,,,,,,,,,,,,,,,,,,
Character/174/nicknames,,,,,,,,,,,,,,,,,,,
