keys,en,ar,bg,cs,da,de,el,es,es-419,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt,pt-BR,ro,ru,sk,sv,th,tr,uk,vi,zh-CN,zh-TW
Text/307/text,"Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen.","Yes, Prime Minister. Unwavering dedication. Reported suspicious activities. A model citizen."
Text/308/text,"Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color].","Idaho steps forward, pinning a medal to your chest - [color=GOLD]The Golden Tuber[/color]."
Text/309/text,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.,For service above and beyond. You've proven that [color=DARK_ORANGE]loyalty to Spud[/color] will always be rewarded.
Choice/30a/text,"Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud.","Thank you, Prime Minister. Glory to Spud."
Choice/30b/text,"I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)","I only did my duty, sir. (Force a smile)"
Text/30c/text,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.,Idaho's smile doesn't reach his eyes. Yes. You certainly did.
Text/30d/text,Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color],Idaho studies you for a long moment. Duty. [color=STEEL_BLUE]Such a simple word for such complicated actions.[/color]
Text/30e/text,"I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well.","I wonder what [color=CRIMSON]nightmares[/color] visit those who do their ""duty"" so well."
Text/30f/text,"A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color].","A feast is held in honor of the victory. Tables groan with food, including generous portions of [color=DARK_VIOLET]Root Reserve[/color]."
Text/310/text,"Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!","Russet raises a glass of thick, purple liquid. A toast! To the [color=CRIMSON]traitors who nourish us[/color]!"
Text/311/text,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.,The room laughs. Some nervously. Most genuinely.
