keys,fi
Text/32b/text,Eräänä päivänä huomaat sen. Seinään raapustetun [color=GOLD]keltaisen perunatunnuksen[/color]. Sitten toisen. Sitten kymmeniä.
Text/32c/text,Uusi vastarinta on muodostumassa. Hiljaisempi. Varovaisempi. Oppien Sashan virheistä.
Choice/32d/text,Ilmoita tunnuksista turvallisuuspalvelulle välittömästi
Choice/32e/text,"Teeskentele, ettet nähnyt niitä"
Choice/32f/text,Jätä oma jälkesi – yksi keltainen lehti
Text/330/text,Teet ilmoituksen. Toinen erä epäiltyjä pidätetty. Toinen ylennys.
Text/331/text,Kierre jatkuu. [color=CRIMSON]Sinusta on tullut kone.[/color]
Text/332/text,Kävelet ohi. Et sano mitään. Se ei ole paljon. [color=STEEL_BLUE]Se on melkein ei mitään.[/color]
Text/333/text,"Mutta se on ensimmäinen kerta, kun olet päättänyt olla toimimatta heitä vastaan."
Text/334/text,"Ehkä se on jotain. Ehkä se on [color=YELLOW]liian vähän, liian myöhään[/color]."
Text/335/text,"Kun kukaan ei katso, raapustat pienen [color=GOLD]keltaisen lehden[/color] tunnusten viereen."
Text/336/text,Yksi vastarinnan teko. Vuosia liian myöhään. Mutta [color=CHARTREUSE]jotain[/color].
Text/337/text,"Sashan ääni kaikuu muistissasi: ""[color=CHARTREUSE]Juuret kasvavat syvälle.[/color]"""
Text/338/text,Ehkä tarpeeksi syvälle [color=CHARTREUSE]tavoittaakseen jopa sinut[/color]. Jonain päivänä.
Text/339/text,Spudin kansa kestää. [color=DARK_VIOLET]Juurivaranto[/color] virtaa. Kulutuksen kierre jatkuu.
Text/33a/text,"Mutta jossain, seinän halkeamissa, [color=CHARTREUSE]jotain uutta kasvaa[/color]."
Text/33b/text,Tuletko olemaan osa sitä... [color=YELLOW]se tarina on vielä kirjoittamatta[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
