keys,pt
Text/31e/text,Você prometeu encontrá-la. [color=STEEL_BLUE]Você a encontrou.[/color] Apenas não da maneira que nenhum de vocês esperava.
Text/31f/text,Murphy. Seu amigo. Aquele que confiou em você. Ele estava na resistência.
Text/320/text,[color=CRIMSON]Estava.[/color]
Text/321/text,Você encara seu reflexo na janela. A medalha brilha. [color=DARK_ORANGE]Túber Dourado[/color]. Herói de Spud.
Text/322/text,[color=STEEL_BLUE]Monstro em pele de batata.[/color]
Text/323/text,"Naquela noite, você sonha com Sasha. Ela não acusa. Não se enfurece. Isso seria mais fácil."
Text/324/text,"Ela apenas olha para você com aqueles olhos. ""[color=CHARTREUSE]As raízes crescem fundo[/color],"" ela sussurra."
Text/325/text,Mesmo as [color=STEEL_BLUE]podres[/color].
Text/326/text,Meses se passam. Você é promovido. Inspetor Regional de Segurança de Fronteira. Braço direito de Russet.
Text/327/text,Você supervisiona mais rejeições do que qualquer um na história de Spud. A produção de [color=DARK_VIOLET]Reserva de Raiz[/color] dispara.
Text/328/text,Seu escritório é confortável. Suas rações são generosas. Sua família está protegida.
Text/329/text,Você tem tudo o que lhe foi prometido.
Text/32a/text,"Tudo, exceto [color=STEEL_BLUE]sono[/color]. Exceto [color=STEEL_BLUE]paz[/color]. Exceto a capacidade de se olhar no espelho."
Text/32b/text,"Um dia, você percebe. Um [color=GOLD]emblema de batata amarelo[/color] arranhado em uma parede. Depois outro. Depois dezenas."
Text/32c/text,Uma nova resistência está se formando. Mais silenciosa. Mais cuidadosa. Aprendendo com os erros de Sasha.
Choice/32d/text,Relatar os símbolos à segurança imediatamente
Choice/32e/text,Fingir que não os viu
Choice/32f/text,Deixar sua própria marca - uma única folha amarela
Text/330/text,Você registra o relatório. Outro grupo de suspeitos é detido. Outra promoção.
Text/331/text,O ciclo continua. [color=CRIMSON]Você se tornou a máquina.[/color]
Text/332/text,Você passa. Não diz nada. Não é muito. [color=STEEL_BLUE]É quase nada.[/color]
Text/333/text,Mas é a primeira vez que você escolhe não agir contra eles.
Text/334/text,"Talvez isso seja algo. Talvez seja [color=YELLOW]muito pouco, muito tarde[/color]."
Text/335/text,"Quando ninguém está olhando, você arranha uma pequena [color=GOLD]folha amarela[/color] ao lado dos emblemas."
Text/336/text,Um único ato de desafio. Anos tarde demais. Mas [color=CHARTREUSE]algo[/color].
Text/337/text,"A voz de Sasha ecoa em sua memória: ""[color=CHARTREUSE]As raízes crescem fundo.[/color]"""
Text/338/text,Talvez fundo o suficiente para [color=CHARTREUSE]alcançar até você[/color]. Algum dia.
Text/339/text,A nação de Spud perdura. A [color=DARK_VIOLET]Reserva de Raiz[/color] flui. O ciclo de consumo continua.
Text/33a/text,"Mas em algum lugar, nas rachaduras da parede, [color=CHARTREUSE]algo novo está crescendo[/color]."
Text/33b/text,Se você fará parte disso... [color=YELLOW]essa história ainda está para ser escrita[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
