keys,fi
Choice/220/text,Ehkä se on sattumaa. Ei tehdä hätiköityjä johtopäätöksiä.
Text/221_comfort1/text,"Polvistut Murphyn viereen, laittaen käden hänen olkapäälleen."
Text/221/text,"Murphy tarttuu käsivarteesi kuin pelastusrenkaaseen. [color=CHARTREUSE]Kiitos.[/color] Luulin, että olin tulossa hulluksi."
Text/221_tommy/text,"[color=STEEL_BLUE]Hänen äänensä tasaantuu hieman.[/color] Tommyn puolesta. Teemme tämän Tommyn puolesta. Ja kaikkien muiden, jotka he ovat vieneet."
Text/222/text,"On muitakin, jotka epäilevät. Sasha on kerännyt ihmisiä. Luulen, että hän luottaa sinuun."
Text/223/text,"Murphy pyyhkii silmiään, yrittäen koota itsensä. Niin. Niin, olet luultavasti oikeassa. Unohda, että sanoin mitään."
Text/224/text,Mutta jos muutat mielesi... Olen täällä. [color=STEEL_BLUE]Yksin kysymysteni kanssa. Ja painajaisteni kanssa.[/color]
Text/225/text,Sattumaa. Murphy nauraa katkerasti kyyneltensä läpi. Toki. Ja Tommy vain [color=CRIMSON]katosi[/color] savuna ilmaan.
Text/226/text,"Jatka sen kertomista itsellesi. Katso, kuinka kauan se auttaa sinua nukkumaan. [color=STEEL_BLUE]Minua se ei auta.[/color]"
Text/227/text,"Sasha ilmestyy kojullesi, kun viimeinen vuoro päättyy. Näytät siltä kuin olisit nähnyt haamun."
Text/228/text,Arvaanpa – Murphy kertoi sinulle serkustaan?
Text/229/text,Sasha nyökkää hyväksyvästi. Hyvä. Tarvitsemme kysymyksiä esittäviä ihmisiä.
Text/22a/text,Sasha tutkii kasvojasi tarkasti. Olet peloissasi. Se on fiksua. Mutta pelko ei pelasta ketään.
Text/22b/text,"Olen tarkkaillut sinua ensimmäisestä päivästäsi lähtien. Sitä, miten [color=YELLOW]epäröit[/color], kun Russet puhui ""käsittelystä""."
Text/22c/text,"Kysyit, mitä hylätyille perunoille tapahtuu. Se vaati rohkeutta. [color=CHARTREUSE]Useimmat vain tervehtivät ja leimaavat.[/color]"
Text/22d/text,Sasha nojautuu lähemmäs. Siinä on kaava. Jokainen hylkäämämme peruna? Kadonneet 48 tunnin sisällä. Ei karkotusmerkintöjä. Ei siirtoja.
Text/22e/text,Mutta [color=DARK_VIOLET]Juuresvaraston[/color] tuotanto? [tornado radius=3 freq=2][color=CRIMSON]Se nousee.[/color][/tornado] Joka. Ainoa. Kerta.
Choice/22f/text,Uskon sinua. Miten voin auttaa?
Choice/230/text,Minun täytyy nähdä todisteet ennen kuin riskeeraan kaiken.
Text/231/text,"Sashan silmät kirkastuvat. Tiesin valinneeni oikein. Huomenna illalla, vuoron jälkeen. Näytän sinulle, mitä olen löytänyt."
Text/232/text,Siihen asti
Text/233/text,Reilua. Todisteet ovat tulossa. Pidä vain... silmäsi auki huomisen vuoron aikana.
Text/234/text,"Katso, minne [color=CRIMSON]hylätyt perunat[/color] menevät. Seuraa kuorma-autoja, jos pystyt."
Text/235/text,"Vedät esiin kuvan, jonka epätoivoinen peruna antoi sinulle. Hänen vaimonsa. [color=STEEL_BLUE]Missä hän on nyt?[/color]"
Text/236/text,"Jos se, mitä Sasha ja Murphy sanovat, on totta... hänet on jo..."
Text/237/text,Et voi viimeistellä ajatusta. Mutta et [color=CHARTREUSE]unohda hänen kasvojaan[/color].
Text/238/text,"Huomenna kaikki muuttuu. Joko löydät vastauksia, tai hautaat kysymykset ikuisesti."
Text/239/text,Yksi asia on varma: [color=YELLOW]autuaaseen tietämättömyyteen ei ole paluuta[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
