keys,ru
Text/100_viktor10/text,Он сжимает кулак. [color=CHARTREUSE]Когда придет время[/color]
Text/100_viktor11/text,"[pulse freq=2][color=CRIMSON]И Айдахо заплатит за каждую жизнь, которую он поглотил.[/color][/pulse]"
Text/100_viktor12/text,Виктор выдавливает грустную
Text/100_viktor13/text,Он снова смотрит на звезды. [color=STEEL_BLUE]Елене бы ты понравился.[/color]
Text/100_viktor14/text,"Он поворачивается, чтобы уйти, затем останавливается. [color=CHARTREUSE]Когда сопротивление начнет действовать... я буду готов.[/color]"
Text/100_viktor15/text,"За Елену. За всех них. [pulse freq=2][color=CHARTREUSE]Стражники пойдут за мной, когда я скажу им правду.[/color][/pulse]"
Text/100/text,"Вы возвращаетесь в свои апартаменты на КПП, ваш разум лихорадочно обдумывает грядущие события."
Text/101/text,Всего через три дня все может измениться. [color=YELLOW]К лучшему или к худшему.[/color]
Choice/de/disabled_text,
Choice/df/disabled_text,
Choice/e0/disabled_text,
Choice/f2/disabled_text,
Choice/f3/disabled_text,
Choice/f4/disabled_text,
Choice/100_viktor_choice1/disabled_text,
Choice/100_viktor_choice2/disabled_text,
Choice/100_viktor_choice3/disabled_text,
