keys,sk
Click megaphone to call the next potato,Kliknite na megafón pre vyvolanie ďalšieho zemiaka
Drag document to inspection table,Presuňte dokument na inšpekčný stôl
Select a stamp to approve or reject,Vyberte pečiatku na schválenie alebo zamietnutie
Check for document violations,Skontrolujte porušenia dokumentu
rule_explanation_header,VYSVETLENIE PRAVIDLA:
rule_explanation_fresh,Priviți câmpul 'Condiție'. Dacă spune altceva decât 'Proaspăt' - RESPINGE
rule_explanation_sweet_potato,Pozrite sa na pole 'Typ'. Ak hovorí 'Sladký Zemiak' - ODMIETNUŤ (žiadne povolenia)
rule_explanation_chip_hill,Pozrite sa na pole 'Krajina'. Ak hovorí 'Chip Hill' - ODMIETNUŤ (zakázané)
rule_explanation_age,Pozrite sa na pole 'Dátum narodenia'. Vypočítajte vek a skontrolujte podľa pravidla
rule_explanation_gender,Pozrite sa na pole 'Pohlavie' a skontrolujte podľa aktuálneho pravidla
rule_footer_text,Tieto pravidlá sa musia presadzovať pre VŠETKY zemiaky
rule_expired_note,Dokumenty s uplynulou platnosťou musia byť VŽDY odmietnuté.
rule_tutorial_hint,Ai nevoie de ajutor? Faceți clic pe orice regulă pentru o explicație
alert_correct_decision_detailed,SPRÁVNE ROZHODNUTIE! +{points} bodov\n{reason}
alert_wrong_decision_detailed,ZLÉ ROZHODNUTIE! Strike pridaný!\n{reason}
alert_reason_approved,Zemiak spĺňa všetky požiadavky - SCHVÁLENÝ
alert_reason_should_reject,Mali ste ODMIETNUŤ tento zemiak
tutorial_check_type,Skontrolujte pole 'Typ' v pase
tutorial_check_condition,Skontrolujte pole 'Stav' v pase
tutorial_check_country,Skontrolujte pole 'Krajina' v pase
tutorial_check_age,Skontrolujte 'Dátum narodenia' na výpočet veku
tutorial_check_gender,Skontrolujte pole 'Pohlavie' v pase
alert_streak_bonus_minigame,5 v rade! BONUSOVÁ MINIHRA!
alert_perfect_stamps_bonus_minigame,Perfektné pečiatky! BONUSOVÁ MINIHRA!
alert_runner_bonus_minigame,Podozrivá aktivita! BONUSOVÁ MINIHRA!
alert_new_minigame_unlocked,Nová minihra odomknutá: {name}!
alert_minigame_bonus,Bonus z minihry: +{bonus} bodov!
high_score_display,Najvyššie skóre: {score}
new_high_score,NOVÉ NAJVYŠŠIE SKÓRE!
month_1,Január
month_2,Február
month_3,Marec
month_4,Apríl
month_5,Máj
month_6,Jún
month_7,Júl
month_8,August
month_9,September
month_10,Október
month_11,November
month_12,December
citation_trash_label,KÔŠ
citation_header,ÚRADNÁ CITÁCIA
citation_from_supervisor,Od: Supervízor Russet
citation_dismiss_hint,[Presuňte do koša na zatvorenie]
minigame_times_up,"Čas vypršal! Žiadne obavy, späť do práce!"
minigame_time_format,{sekundy}.{zlomok}
qte_title,RÝCHLA UDALOSŤ
qte_instruction,"Stláčajte klávesy tak, ako sa objavia!"
qte_auto_completed,Automaticky dokončené
qte_accessibility_note,(Prístupnosť QTE povolená)
qte_get_ready,Pripravte sa...
qte_progress,Postup
qte_key_prompt,[{kláves}]
qte_result,{successful} / {total} úspešných (+{points} bodov)
qte_image_pending,[Obrázok čaká]
evidence_title,BEZPEČNOSTNÁ INŠPEKCIA SA BLÍŽI
evidence_instruction,"Upratajte si stôl! Skartujte dôkazy, ukryte pracovné predmety."
evidence_suspicion,Podozrenie: {percent}%
evidence_items_remaining,Predmety: {count}
evidence_times_up_found,Čas vypršal! Našli dôkazy...
evidence_times_up_suspicious,Čas vypršal! Inšpekcia bola... dôkladná.
codebreaker_title,LÚŠTIČ KÓDU
codebreaker_instruction,"Rozlúštite kód! Zelená = presná zhoda, Žltá = správna číslica, nesprávne miesto"
codebreaker_enter_code,ZADAJTE KÓD
codebreaker_submit,ODOSLAŤ
codebreaker_clear,VYMAZAŤ
codebreaker_previous_attempts,Predchádzajúce pokusy:
codebreaker_attempts,Pokusy: {current} / {max}
codebreaker_result_exact_close,{exact} presných
codebreaker_result_exact,{exact} presne
codebreaker_result_close,{close} blízko
codebreaker_result_none,žiadne zhody
codebreaker_success,Kód rozlúštený za {attempts} pokusov! +{points} bodov!
codebreaker_failure,Došli pokusy! Kód bol zobrazený vyššie.
scanner_title,SKENER DOKUMENTOV
scanner_instruction,"Potiahnite UV svetlo, aby ste našli skryté značky! Kliknite pre potvrdenie."
scanner_found,Nájdené: {current} / {total}
scanner_perfect,Perfektné! Všetky prvky nájdené! +{points} bodov!
scanner_partial,Dobrý pokus! Nájdených {found}/{total}. +{points} bodov!
chase_title,HRANIČNÁ NAHÁŇAČKA
chase_instruction,Kliknite na ČERVENÉ pašované predmety! ZELENÉ predmety nechajte prejsť.
chase_legend,ČERVENÁ = Chyť! ZELENÁ = Nechaj prejsť
chase_caught,Chytených: {current} / {total}
chase_perfect,Perfektný úlovok! +{points} bodov!
chase_partial,Chytených {count} predmetov. +{points} bodov!
sorting_title,TRIEDENIE PEČIATOK
sorting_instruction,"Potiahnite pečiatky do správneho koša! Zelená = SCHVÁLENÉ, Červená = ZAMIETNUTÉ"
sorting_approved,SCHVÁLENÉ
sorting_denied,ZAMIETNUTÉ
sorting_progress,Roztriedených: {sorted}/{total} Správne: {correct}
sorting_perfect,Perfektné triedenie! +{points} bodov!
sorting_partial,Správne roztriedených {correct}/{total}. +{points} bodov!
fingerprint_title,ZHODA ODTLAČKOV PRSTOV
fingerprint_instruction,"Nájdite odtlačok prsta, ktorý sa zhoduje s referenciou!"
fingerprint_reference,VZOR
fingerprint_find_match,NÁJDITE ZHODU
fingerprint_progress,Nájdených: {current} / {total}
fingerprint_success,Všetky odtlačky prstov sa zhodujú! +{points} bodov!
fingerprint_partial,Nájdených {matched}/{total}. +{points} bodov!
score_attack_mode_label,Režim bodového útoku
score_attack_welcome_title,REŽIM BODOVÉHO ÚTOKU!
score_attack_welcome_survive,Prežite čo najdlhšie!
score_attack_welcome_difficulty,Obtiažnosť sa časom zvyšuje!
