keys,ja
Text/32b/text,ある日、あなたはそれに気づきます。壁に引っ掻かれた[color=GOLD]黄色いジャガイモのエンブレム[/color]を。次に別のものを。そして、何十個もの。
Text/32c/text,新しい抵抗勢力が形成されつつあります。より静かに。より慎重に。サーシャの過ちから学びながら。
Choice/32d/text,すぐに警備にシンボルを報告する
Choice/32e/text,見なかったふりをする
Choice/32f/text,自分の印を残す - 一枚の黄色い葉
Text/330/text,あなたは報告書を提出します。新たな容疑者たちが検挙されます。またしても昇進。
Text/331/text,サイクルは続きます。[color=CRIMSON]あなたは機械と化したのです。[/color]
Text/332/text,あなたは通り過ぎます。何も言いません。大したことではありません。[color=STEEL_BLUE]ほとんど何でもありません。[/color]
Text/333/text,しかし、彼らに対して行動を起こさないことを選んだのは、それが初めてでした。
Text/334/text,それは何か意味があるのかもしれません。あるいは、[color=YELLOW]時すでに遅し[/color]なのかもしれません。
Text/335/text,誰も見ていない時、あなたはエンブレムの隣に小さな[color=GOLD]黄色い葉[/color]を引っ掻きます。
Text/336/text,たった一つの反抗的な行為。何年も遅すぎた。しかし、[color=CHARTREUSE]それでも何か[/color]は。
Text/337/text,サーシャの声があなたの記憶に響きます。「[color=CHARTREUSE]根は深く張る。[/color]」
Text/338/text,[color=CHARTREUSE]あなたにさえ届く[/color]ほど深いのかもしれない。いつか。
Text/339/text,Spudの国は存続します。[color=DARK_VIOLET]ルートリザーブ[/color]は流れ続けます。消費のサイクルは続きます。
Text/33a/text,しかし、どこかで、壁のひび割れの奥で、[color=CHARTREUSE]新しい何かが育っています。[/color]
Text/33b/text,あなたがその一部となるかどうかは… [color=YELLOW]その物語はまだ書かれていません。[/color]
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
