keys,en,ar,bg,cs,da,de,el,es,es-419,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt,pt-BR,ro,ru,sk,sv,th,tr,uk,vi,zh-CN,zh-TW
Choice/20a/text,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else,Eat the Root Reserve like everyone else
Choice/20b/text,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry,Push it aside - you're not hungry
Text/20c/text,"The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why.","The taste is... earthy. Rich. Something about it feels [color=STEEL_BLUE]uncomfortably familiar[/color], but you can't place why."
Text/20d/text,"A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there.""","A senior officer notices. ""Waste not, want not, sprout. That's [pulse freq=2][color=DARK_VIOLET]premium nutrition[/color][/pulse] right there."""
Text/20e/text,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.,You mumble an excuse about an upset stomach. The officer shrugs and moves on.
Text/20f/text,"Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]""","Back in your quarters, you can't shake what Sasha said. ""[color=YELLOW]Not everything is as it seems.[/color]"""
Text/210/text,"You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]""","You asked Russet about rejected potatoes on your first day. His answer was evasive. ""[color=VIOLET]Processed. According to protocol.[/color]"""
Text/211/text,"Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?","Processed [color=STEEL_BLUE]how[/color], exactly?"
Text/212/text,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].,You were so eager to serve. So proud to be chosen. But pride doesn't explain the [color=CRIMSON]missing potatoes[/color].
Text/213/text,"The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while.","The radio said reports of disappearances ""continue."" That means it's been happening for a while."
