keys,no
sorting_approved,GODKJENT
sorting_denied,AVVIST
sorting_progress,Sortert: {sorted}/{total} Riktig: {correct}
sorting_perfect,Perfekt sortering! +{points} poeng!
sorting_partial,Sorterte {correct}/{total} riktig. +{points} poeng!
fingerprint_title,FINGERAVTRYKKSTREFF
fingerprint_instruction,Finn fingeravtrykket som matcher referansen!
fingerprint_reference,REFERANSE
fingerprint_find_match,FINN MATCHEN
fingerprint_progress,Matchet: {current} / {total}
fingerprint_success,Alle fingeravtrykk matchet! +{points} poeng!
fingerprint_partial,Matchet {matched}/{total}. +{points} poeng!
