keys,pt-BR
Choice/cc/text,"""Isso está ficando muito perigoso. Talvez devêssemos nos esconder."""
Text/cd/text,"Eu sabia que podia contar com você. Quando isso acabar, [color=CHARTREUSE]Spud saberá quem foram os verdadeiros heróis[/color]."
Text/ce/text,Já passamos muito desse ponto. Nos esconder não vai nos salvar. [color=CHARTREUSE]Só derrubar o sistema vai[/color].
Text/cf/text,Cada estação agora tem o novo [color=DARK_ORANGE]sistema RealityScan[/color]. Ele detecta marcações não autorizadas e falsificações.
Text/d0/text,Todos os documentos devem ser escaneados antes da aprovação. Os [color=CRIMSON]traidores serão erradicados[/color]. Eu garanto.
Text/d0_qte1/text,"Mais tarde naquele turno, um viajante se aproxima com documentos contendo a [color=CHARTREUSE]sutil marca da resistência[/color]."
Text/d0_qte2/text,O [color=DARK_ORANGE]RealityScan[/color] começa sua varredura. [wave amp=15 freq=3][color=RED]Ele vai detectar a marca![/color][/wave]
Text/d0_qte3/text,Você tem segundos para decidir. O scanner está aquecendo...
Choice/d0_qte4/text,"""Finja uma falha no scanner - rápido!"" (Ajude a resistência)"
Choice/d0_qte5/text,"""Deixe o scanner completar sua varredura"" (Siga o protocolo)"
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]Você precisa agir rápido![/color][/pulse] Acione a falha antes que ele termine de escanear!
Text/d0_qte7/text,Você mexe desajeitadamente nos cabos do scanner. Faíscas voam. A tela pisca e morre.
Text/d0_qte8/text,Russet se aproxima apressadamente. [color=YELLOW]O que aconteceu aqui?[/color]
Choice/d0_qte9/text,"""Pico de energia, senhor. Esses novos sistemas são temperamentais."""
Choice/d0_qte10/text,"""Eu não sei, senhor. Ele simplesmente parou de funcionar."""
Text/d0_qte11/text,Russet resmunga. [color=STEEL_BLUE]Burocratas nos dando equipamento não testado.[/color] Processe-os manualmente e sinalize para re-inspeção.
Text/d0_qte12/text,Russet te olha com desconfiança. [color=YELLOW]Que conveniente.[/color] Vou pedir para a manutenção dar uma olhada. Não deixe isso acontecer de novo.
Text/d0_qte13/text,O membro da resistência te dá o menor aceno de gratidão enquanto passa.
Text/d0_qte14/text,O scanner [pulse freq=3][color=RED]APITA ALTO[/color][/pulse]. Marcações não autorizadas detectadas!
Text/d0_qte15/text,Russet aparece instantaneamente. [color=CHARTREUSE]Muito bem![/color] Mais um traidor pego.
Text/d0_qte16/text,"O membro da resistência é arrastado, terror em seus olhos. ""[color=CRIMSON]Por favor, não! Eu tenho filhos![/color]"""
Text/d0_qte17/text,Sua lealdade é [color=DARK_ORANGE]anotada em seu arquivo[/color]. Continue assim.
Text/d1/text,"Ajudar membros da resistência ficou muito mais perigoso, mas [color=CHARTREUSE]a verdade deve se espalhar[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Choice/c7_viktor4/disabled_text,
Choice/c7_viktor5/disabled_text,
Choice/d0_qte4/disabled_text,
Choice/d0_qte5/disabled_text,
Choice/d0_qte9/disabled_text,
Choice/d0_qte10/disabled_text,
