keys,fi
help_gameplay_strikes,[b]Virhepisteet[/b]
help_gameplay_rules,[b]Maahanmuuttosäännöt[/b]
help_gameplay_scoring,[b]Pisteytys[/b]
help_gameplay_difficulty,[b]Vaikeustasot[/b]
help_minigames_intro,"[b]Minipelit[/b]\nTyövuorojesi aikana kohtaat minipelejä, joista voit ansaita bonuspisteitä. Suorita ne palkkioiden saamiseksi tai ohita ne ilman rangaistusta."
help_minigames_document_scanner,"[b]Asiakirjaskanneri[/b] (Työvuoro 1+)\nKäytä UV-valoa löytääksesi piilotettuja elementtejä asiakirjoista. Napsauta merkitäksesi vesileimat, leimat ja symbolit. Löydä kaikki elementit ennen kuin aika loppuu!"
help_minigames_stamp_sorting,"[b]Leimojen lajittelu[/b] (Työvuoro 2+)\nLajittele putoavat leimat oikeisiin koreihin. Vihreät leimat kuuluvat HYVÄKSYTTY-koriin, punaiset leimat HYLÄTTY-koriin. Lajittele nopeasti saadaksesi bonuspisteitä!"
help_minigames_fingerprint_match,[b]Sormenjälkien vertailu[/b] (Työvuoro 3+)\nYhdistä sormenjäljet ruudukosta vertailukuvioon. Napsauta vastaavia jälkiä varmistaaksesi henkilöllisyyden. Vaatii tarkkaa havainnointia!
help_minigames_code_breaker,"[b]Koodinmurtaja[/b] (Työvuoro 4+)\nMurra salainen koodi! Arvaa 4-numeroinen yhdistelmä. Vihreä tarkoittaa oikeaa paikkaa, keltainen väärää paikkaa. Rajoitettu määrä yrityksiä!"
help_minigames_border_chase,[b]Salakuljetusjahti[/b] (Työvuoro 5+)\nSalakuljetustavaraa liukuhihnalla! Napsauta PUNAISIA esineitä takavarikoidaksesi ne. Anna VIHREIDEN esineiden mennä läpi. Nopeat refleksit ansaitsevat enemmän pisteitä!
help_tab_lore,Tarina
help_lore_world_intro,"[b]Spudin maailma[/b]\n\nTervetuloa maahan, jossa perunat ovat rakentaneet oman sivilisaationsa. Tässä maailmassa mukulat kävelevät, puhuvat ja ovat muodostaneet oman kansakuntansa lakeineen, rajoineen ja byrokratioineen."
help_lore_nation,"[b]Spudin kansakunta[/b]\n\nSpud on ylpeä kansakunta, joka lupaa vaurautta kaikille perunoille. Spudin suuren muurin suojelemana kansakunta ylläpitää tiukkaa rajavalvontaa varmistaakseen, että vain arvoisensa mukulat pääsevät sisään.\n\nHallitus edistää yhtenäisyyttä ja kuuliaisuutta, ja isänmaallisten kansalaisten kuullaan usein julistavan: ""Kunnia Spudille!"""
help_lore_your_role,"[b]Sinun roolisi[/b]\n\nSinut on valittu tärkeään rooliin suojelemaan rajoja. Tullivirkailijana työskentelet valvoja Russetin valvovan silmän alla.\n\nHyvinvointisi riippuu suorituksestasi. Täytä kiintiösi, noudata sääntöjä ja muista: kansakunta luottaa sinuun."
help_lore_border,"[b]Suuri muuri[/b]\n\nMahtava Spudin suuri muuri suojelee kansakuntaa ulkopuolisilta. Muurin varrella olevilla eri tarkastuspisteillä sinun kaltaisesi virkailijat varmistavat, että vain arvoisensa pääsevät sisään.\n\nNe, jotka yrittävät ylittää rajan ilman asianmukaisia asiakirjoja, kohtaavat välittömiä seurauksia."
help_lore_secrets,[b]Juurireservi[/b]\n\nHylätyt perunat... käsitellään. Protokollan mukaisesti. Salaperäinen Juurireservi hoitaa kaikki yksityiskohdat.\n\nOn parasta olla esittämättä liikaa kysymyksiä. Keskity tehtäviisi. Ei mihinkään muuhun.
level_select_choices_header,Valinnat päivään {day} asti
level_select_choices_header_named,Valinnat päivään {day} asti - {name}
level_select_play_day,Pelaa tämä päivä
level_select_close,Sulje
continue_dialog_header,Tallennustietosi
continue_dialog_day,Päivä: {day}
continue_dialog_continue,Jatka
continue_dialog_cancel,Peruuta
new_game_confirm_button,"Kyllä, aloita uusi peli"
tutorial_choice_play,Pelaa tutoriaali
tutorial_choice_skip,Ohita tutoriaali
tutorial_dialog_title,Tutoriaali
tutorial_dialog_text,Haluatko pelata tutoriaalin?\n\nTutoriaali opastaa sinut Spud Customs -tullivirkailijan perusasioihin.
continue_game_title,Jatka peliä
level_select_story_choices,Tarinavalinnat
reset_progress_confirm,"Oletko varma, että haluat nollata tarinan edistymisen? Tätä ei voi kumota."
reset_highscores_confirm,"Oletko varma, että haluat nollata kaikki ennätykset? Tätä ei voi kumota."
level_name_0,Tutoriaali
level_name_1,Ensimmäinen työpäivä
level_name_2,Uudet säännökset
level_name_3,Paine kasvaa
level_name_4,Salakuljetustarkastus
level_name_5,Puolivälin kriisi
level_name_6,Tehostettu turvallisuus
level_name_7,Tarkkailun alla
level_name_8,Kaksoisagentit
level_name_9,Rajakaaos
level_name_10,Viimeinen lähtölaskenta
shift_name_1,Ensimmäinen työpäivä
shift_name_2,Sashan ja Murphyn tapaaminen
shift_name_3,Kadonnut vaimo
shift_name_4,Juurivarastorekat
shift_name_5,Uskollisuusseulonta
shift_name_6,Todellisuusskannaus
shift_name_7,Vastarintakokous
shift_name_8,Sashan vangitseminen
shift_name_9,Hyökkäys
shift_name_10,Viimeinen lähtölaskenta
shift_name_unknown,Tuntematon
path_chaos_agent,Kaaosagentti
path_loyalist,Uskollisen polku
path_resistance_ally,Vastarinnan liittolainen
path_questioning,Kyseenalaistaminen
path_undetermined,Määrittämätön
story_choice_path_label,Polku:
story_choice_sasha_trust,Sashan luottamus: {value}/10
story_choice_chaos_points,Kaaos: {value} pistettä
story_choice_no_choices,Valintoja ei ole vielä tallennettu
story_choice_day_header,Päivä {day} - {name}
choice_initial_response_eager,Osoitti innostusta Spudia kohtaan
choice_initial_response_questioning,Kyseenalaisti järjestelmän
choice_note_reaction_investigate,Päätti tutkia muistiinpanon
choice_note_reaction_destroy,Tuhosi salaperäisen muistiinpanon
choice_note_reaction_report,Ilmoitti muistiinpanosta viranomaisille
choice_kept_note_yes,Säilytti salaperäisen muistiinpanon
choice_kept_note_no,Hylkäsi muistiinpanon
choice_reported_note_yes,Ilmoitti muistiinpanosta
choice_murphy_trust_open,Avautui Murphylle
choice_murphy_trust_guarded,Pysyi varautuneena Murphyn suhteen
choice_eat_reserve_ate,Söi vararavintoannokset
choice_eat_reserve_refused,Kieltäytyi vararavintoannoksista
choice_scanner_response_loyal,Osoitti uskollisuutta skanneritestissä
choice_scanner_response_questioning,Kyseenalaisti skannerin tarkoituksen
choice_family_response_refuse,Kieltäytyi auttamasta vaimon etsinnässä
choice_family_response_help,Suostui auttamaan kadonneen vaimon etsinnässä
choice_has_wife_photo_yes,Hankki kuvan kadonneesta vaimosta
choice_reveal_reaction_shocked,Oli järkyttynyt paljastuksesta
choice_reveal_reaction_cautious,Reagoi varovaisesti paljastukseen
choice_cafeteria_response_serious,Otti kahvilahuhut vakavasti
choice_cafeteria_response_avoid,Vältti kahvilakeskusteluja
choice_murphy_alliance_ally,Liittoutui Murphyn kanssa
choice_murphy_alliance_cautious,Pysyi varovaisena Murphyn suhteen
choice_murphy_alliance_skeptical,Pysyi skeptisenä Murphyn suhteen
choice_sasha_trust_level_committed,Täysin sitoutunut luottamaan Sashaan
choice_sasha_trust_level_cautious,Pysyi varovaisena Sashan suhteen
choice_sasha_investigation_committed,Sitoutui Sashan tutkintaan
choice_sasha_investigation_hesitant,Epäröi tutkinnan suhteen
choice_loyalty_response_patriotic,Antoi isänmaallisia vastauksia
choice_loyalty_response_idealistic,Ilmaisi idealistisia näkemyksiä
choice_hide_choice_desk,Piiloutui pöydän taakse
choice_hide_choice_window,Piiloutui ikkunan luo
choice_evidence_choice_hand_over,Luovutti todisteet
choice_evidence_choice_keep,Piti todisteet piilossa
choice_evidence_choice_lie,Valehteli todisteista
choice_evidence_choice_chaos,Käytti todisteita aiheuttaakseen kaaosta
choice_viktor_wife_discovery_yes,Löysi Viktorin vaimon manifestista
choice_fellow_officer_response_cautious,Oli varovainen kollegan suhteen
choice_fellow_officer_response_sympathetic,Osoitti sympatiaa kollegalle
choice_fellow_officer_response_loyal,Pysyi uskollisena kollegaa kohtaan
choice_interrogation_response_lie,Valehteli kuulustelussa
choice_interrogation_response_legal,Antoi lainmukaisia vastauksia
choice_viktor_conversation_tell_truth,Kertoi Viktorille totuuden
choice_viktor_conversation_lie_protect,Valehteli suojellakseen Viktoria
choice_viktor_conversation_curious,Oli utelias Viktorista
choice_scanner_choice_help,Auttoi sabotoimaan skannerin
choice_scanner_choice_scan,Käytti skanneria normaalisti
choice_scanner_choice_viktor,Valitsi Viktorin skannerille
choice_helped_operative_yes,Auttoi vastarinnan agenttia
choice_helped_operative_no,Kieltäytyi auttamasta agenttia
choice_viktor_allied_yes,Solmi liiton Viktorin kanssa
choice_betrayed_resistance_yes,Petti vastarinnan
choice_sasha_plan_response_committed,Sitoutui Sashan suunnitelmaan
choice_sasha_plan_response_nervous,Oli hermostunut suunnitelmasta
choice_malfunction_excuse_technical,Syytti teknistä vikaa
choice_malfunction_excuse_innocent,Esitti syytöntä
choice_resistance_mission_committed,Sitoutui vastarintatehtävään
choice_resistance_mission_hesitant,Epäröi tehtävän suhteen
choice_resistance_mission_cautious,Lähestyi tehtävää varovaisesti
choice_final_decision_help,Päätti auttaa vastarintaa
choice_final_decision_passive,Pysyi passiivisena
choice_final_decision_undecided,Pysyi päättämättömänä
choice_yellow_badge_response_help,Auttoi keltaisen merkin haltijoita
choice_yellow_badge_response_betray,Petti keltaisen merkin haltijoita
choice_follow_trucks_volunteer,Ilmoittautui vapaaehtoiseksi seuraamaan rekkoja
choice_follow_trucks_hesitant,Epäröi seurata rekkoja
choice_found_facility_yes,Löysi Juurireservin laitoksen
choice_sasha_response_cautious,Oli varovainen Sashan tilanteen suhteen
choice_sasha_response_concerned,Osoitti huolta Sashasta
choice_interrogation_choice_deny,Kielsi tietävänsä kuulustelussa
choice_interrogation_choice_betray,Petti muita kuulustelussa
choice_sasha_arrest_reaction_intervene,Puuttui Sashan pidätykseen
choice_sasha_arrest_reaction_hide,Piiloutui Sashan pidätyksen aikana
choice_sasha_arrest_reaction_promise,Teki lupauksen Sashalle
choice_player_wanted_yes,Tuli viranomaisten etsintäkuuluttamaksi
choice_player_captured_yes,Viranomaisten vangitsema
choice_has_keycard_yes,Hankki turvakortin
choice_murphy_final_alliance_committed,Sitoutui täysin Murphyn liittoon
choice_murphy_final_alliance_hesitant,Epäröi lopullisen liiton suhteen
choice_critical_choice_help,Auttoi kriittisellä hetkellä
choice_critical_choice_betray,Petti kriittisellä hetkellä
choice_stay_or_go_stay,Jäi taistelemaan
choice_stay_or_go_go,Valitsi paon
choice_sasha_rescue_reaction_angry,Reagoi vihaisesti pelastukseen
choice_sasha_rescue_reaction_disgusted,Inhosi tapahtumia
choice_sasha_rescue_reaction_relieved,Tunsi helpotusta pelastuksen jälkeen
choice_fellow_officer_response_2_cautious,Pysyi varovaisena kollegoiden kanssa
choice_fellow_officer_response_2_sympathetic,Osoitti myötätuntoa kollegoille
choice_final_mission_response_determined,Päättäväinen suorittamaan viimeisen tehtävän
choice_final_mission_response_cautious,Varovainen viimeisen tehtävän suhteen
choice_resistance_trust_diplomatic,Käytti diplomaattista lähestymistapaa vastarintaliikkeen kanssa
choice_resistance_trust_committed,Sitoutui täysin vastarintaliikkeeseen
choice_ending_choice_diplomatic,Valitsi diplomaattisen lopun
choice_ending_choice_justice,Valitsi oikeudenmukaisen lopun
choice_ending_choice_vengeance,Valitsi kostonhimoisen lopun
choice_ending_choice_dismantle,Valitsi järjestelmän purkamisen
choice_accept_medal_accept,Hyväksyi mitalin ylpeydellä
choice_accept_medal_reluctant,Vastahakoisesti hyväksyi mitalin
choice_eat_final_eat,Söi viimeisen annoksen
choice_eat_final_refuse,Kieltäytyi viimeisestä annoksesta
choice_final_loyalist_choice_report,Ilmoitti toisinajattelijoista
choice_final_loyalist_choice_ignore,Jätti toisinajattelijat huomiotta
choice_final_loyalist_choice_hope,Piti kiinni toivosta muutoksesta
choice_qte_rescue_result_pass,Onnistui pelastusyrityksessä
choice_qte_rescue_result_fail,Epäonnistui pelastusyrityksessä
choice_qte_confrontation_result_pass,Voitti yhteenoton
choice_qte_confrontation_result_fail,Hävisi yhteenoton
choice_qte_escape_result_pass,Pakeni onnistuneesti
choice_qte_escape_result_fail,Pako epäonnistui
choice_qte_infiltration_result_pass,Soluttautuminen onnistui
choice_qte_infiltration_result_fail,Soluttautuminen epäonnistui
choice_qte_scanner_result_pass,Skannerin sabotointi onnistui
choice_qte_scanner_result_fail,Skannerin sabotointi epäonnistui
choice_qte_surveillance_result_pass,Vältti valvonnan
choice_qte_surveillance_result_fail,Jäi kiinni valvonnasta
choice_qte_suppression_result_pass,Vastusti tukahduttamista
choice_qte_suppression_result_fail,Alistui tukahduttamiselle
passport_label_type,Tyyppi:
passport_label_born,Syntynyt:
passport_label_gender,Sukupuoli:
passport_label_country,Maa:
passport_label_expires,Päättyy:
passport_label_condition,Kunto:
tutorial_skip,Ohita
tutorial_skip_all,Ohita kaikki opetusohjelmat
tutorial_continue_auto,(jatkuu automaattisesti...)
tutorial_continue_click,(jatka napsauttamalla...)
tutorial_header,Opetusohjelma {current} / {total}: {name} - Vaihe {step} / {steps}
tutorial_header_single,{name} - Vaihe {step} / {steps}
tutorial_welcome_name,Tervetuloa Spud Customs -peliin
tutorial_gate_control_name,Portin avaaminen
tutorial_megaphone_call_name,Perunoiden kutsuminen
tutorial_document_inspection_name,Asiakirjojen tarkastus
tutorial_rules_checking_name,Maahanmuuttosäännöt
tutorial_stamp_usage_name,Leimojen käyttö
tutorial_strikes_and_quota_name,Virheet ja kiintiö
tutorial_welcome_step1,[center][b]Tervetuloa Spud Customs -peliin![/b][/center]\n\nTyösi on käsitellä saapuvia perunoita rajatarkastuspisteellä. Opitaan perusasiat!
tutorial_gate_control_step1,[center][b]Kopin avaaminen[/b][/center]\n\nNäetkö tuon vivun? {interact} sitä nostaaksesi luukun ja avataksesi koppisi asiakkaille!\n\n[color=yellow]{interact} vipua nyt.[/color]
tutorial_gate_control_step2,"[center][b]Hienoa työtä![/b][/center]\n\nKoppisi on nyt auki. Jonossa olevat perunat näkevät, että olet valmis palvelemaan."
tutorial_megaphone_call_step1,[center][b]Seuraavan perunan kutsuminen[/b][/center]\n\nKäytä megafonia kutsuaksesi seuraavan perunan jonosta koppiisi.\n\n[color=yellow]{interact} megafonia![/color]
tutorial_megaphone_call_step2,"[center][b]Tässä he tulevat![/b][/center]\n\nKatso, kun peruna lähestyy koppiasi. He esittävät asiakirjansa tarkastettavaksi."
tutorial_document_inspection_step1,[center][b]Asiakirjojen tarkastus[/b][/center]\n\nPeruna on ojentanut sinulle passinsa. {drag} se tarkastuspöydällesi tutkiaksesi sitä tarkasti.\n\n[color=yellow]{drag} passi pöydälle.[/color]
tutorial_document_inspection_step2,[center][b]Passin tarkastelu[/b][/center]\n\n{interact} passia avataksesi sen ja tarkistaaksesi perunan tiedot:\n\n- Nimi ja kuva\n- Alkuperämaa\n- Perunantyyppi ja kunto\n\nEtsi jotain epäilyttävää!
tutorial_document_inspection_step3,[center][b]Tarkista säännöt![/b][/center]\n\nEnnen päätöksen tekemistä sinun on tarkistettava maahanmuuttosäännöt. Opitaan niistä!
tutorial_rules_checking_step1,"[center][b]Maahanmuuttosäännöt[/b][/center]\n\nKatso sääntövihkosta oikealla puolella. Nämä säännöt kertovat, mitkä perunat tulee [color=green]HYVÄKSYÄ[/color] tai [color=red]HYLÄTÄ[/color].\n\nHylkää kaikki perunat, jotka rikkovat nykyisiä sääntöjä!\n\n[color=red]TÄRKEÄÄ: Vanhentuneet asiakirjat on HYLÄTTÄVÄ![/color]"
tutorial_rules_checking_step2,[center][b]Pysy valppaana![/b][/center]\n\nSäännöt muuttuvat vuorojen välillä. Tarkista aina voimassa olevat säännöt ennen päätösten tekemistä.\n\nVertaa passin tietoja voimassa oleviin sääntöihin huolellisesti.
tutorial_stamp_usage_step1,[center][b]Leimasinpalkki[/b][/center]\n\nNäetkö leimasinpalkin ylhäällä? {interact} kahvaa paljastaaksesi hyväksyntä- ja hylkäysleimasi.\n\n[color=yellow]{interact} avataksesi leimasinpalkin.[/color]
tutorial_stamp_usage_step2,"[center][b]Asettelu leimaamista varten[/b][/center]\n\n{drag} passia leimojen alle. Näet oppaan, joka näyttää, minne se asetetaan.\n\n[color=green]Vihreä leima[/color] = HYVÄKSY\n[color=red]Punainen leima[/color] = HYLKÄÄ\n\n[color=yellow]Aseta passi leiman alle.[/color]"
tutorial_stamp_usage_step3,[center][b]Lyö leima![/b][/center]\n\n{interact} leimaa merkitäksesi passin päätökselläsi.\n\n[color=yellow]{interact} leimaa käyttääksesi sen.[/color]
tutorial_stamp_usage_step4,[center][b]Palauta asiakirjat[/b][/center]\n\nNyt {drag} leimattu passi takaisin perunalle heidän käsittelynsä loppuun saattamiseksi.\n\n[color=yellow]Palauta passi perunalle.[/color]
tutorial_stamp_usage_step5,[center][b]Hyvin tehty![/b][/center]\n\nOlet käsitellyt ensimmäisen perunasi! Pidä silmällä kiintiötäsi – sinun on käsiteltävä riittävästi perunoita jokaisessa vuorossa.
tutorial_strikes_and_quota_step1,"[center][b]Kiintiöjärjestelmä[/b][/center]\n\nKatso [color=yellow]Kiintiö[/color]-näyttöä. Tämä näyttää, kuinka monta perunaa sinun on käsiteltävä oikein jokaisessa vuorossa."
tutorial_strikes_and_quota_step2,[center][b]Vältä virheitä![/b][/center]\n\n[color=red]Virheet[/color]-laskuri näyttää virheesi. Liian monta virhettä ja peli on ohi!\n\nTee vääriä päätöksiä ja saat virheitä.
tutorial_strikes_and_quota_step3,"[center][b]Koulutus suoritettu![/b][/center]\n\nJatka perunoiden käsittelyä suorittaaksesi koulutusvuorosi loppuun.\n\nKun olet valmis, sinut [color=green]sertifioidaan tullivirkailijaksi[/color] ja olet valmis ensimmäiseen oikeaan päivääsi!"
