keys,cs
Text/d2k/text,Saša rozprostře zabavené dokumenty na stole. Manifesty zpracování za poslední měsíc.
Text/d2l/text,Prohlížíš jména a krev ti ztuhne v žilách.
Text/d2m/text,Je to tam. [color=GOLD]Maris Piper[/color]. Žena z fotografie.
Text/d2n/text,"""[color=CRIMSON]Stav: Zpracováno. Dávka RR-2847.[/color]"" Datováno tři dny poté, co její manžel prosil o tvou pomoc."
Text/d2o/text,Cítíš fotografii v kapse. [color=STEEL_BLUE]Je pryč. A ty jsi ji nemohl zachránit.[/color]
Text/d2p/text,Ale možná... [color=CHARTREUSE]možná ještě můžeš zachránit ostatní[/color].
Text/d2q/text,"Murphy se vynoří ze stínů. Ahoj. Jsem rád, že jsi to zvládl."
Text/d2r/text,Murphy zvedne zmačkaný formulář RR-UTIL. Můj bratranec je taky na tom seznamu. [color=CHARTREUSE]Děláme to spolu.[/color]
Text/ff2/text,"[color=STEEL_BLUE]Drží si odstup, když jdeš.[/color] Oceňuji, že nám nestojíš v cestě. Je to... něco."
Text/ff3/text,"[color=STEEL_BLUE]Jde v tichosti, se zkříženýma rukama.[/color] Doufám, že najdeš tu jistotu, kterou hledáš. Zbytek z nás si nemůže dovolit čekat."
Text/100_viktor1/text,"Na cestě zpět najdeš Viktora samotného na střeše kontrolního stanoviště, jak zírá na noční oblohu."
Text/100_viktor2/text,Viktor drží malý
Text/100_viktor3/text,"Říkávala, že ať už se věci zhorší jakkoli, hvězdy tam vždycky budou. [color=STEEL_BLUE]Stálé. Krásné.[/color]"
Text/100_viktor4/text,"Otočí se k tobě, oči se mu lesknou. [wave amp=15 freq=2]Pořád přemýšlím... trpěla?[/wave] Věděla, co se děje?"
Text/100_viktor5/text,"Viktorovi se zlomí hlas. Jednou se mě zeptala, jestli jsem někdy zpochybňoval zamítnutí. Řekl jsem jí, [color=CRIMSON]aby věřila systému[/color]."
Text/100_viktor6/text,"[tornado radius=3 freq=2][color=CRIMSON]Poslal jsem svou vlastní ženu do zpracovatelských kádí, aniž bych o tom věděl.[/color][/tornado]"
Choice/100_viktor_choice1/text,Nemohl jsi to vědět. Nikdo z nás to nevěděl.
Choice/100_viktor_choice2/text,"Elena by chtěla, abys teď bojoval, ne abys se utápěl ve vině."
Choice/100_viktor_choice3/text,"Nevím, co říct. Je mi to líto."
Text/100_viktor7/text,Pomalu zavrtí hlavou. [color=STEEL_BLUE]Neznalost není nevina. Měl jsem se zeptat. Měl jsem poslouchat.[/color]
Text/100_viktor8/text,"Viktor opatrně schová fotografii. [color=CHARTREUSE]Ale teď už vím. A vědět znamená, že musím jednat.[/color]"
Text/100_viktor9/text,"Viktor se narovná, v očích se mu znovu rozhoří chladný oheň. [color=CHARTREUSE]Máš pravdu.[/color] Byla silnější než já. Statečnější."
Text/100_viktor10/text,Sevře pěst. [color=CHARTREUSE]Až přijde čas
Text/100_viktor11/text,"[pulse freq=2][color=CRIMSON]A Idaho zaplatí za každý život, který pohltil.[/color][/pulse]"
Text/100_viktor12/text,Viktor se zmohl na smutný
Text/100_viktor13/text,Podívá se zpět na hvězdy. [color=STEEL_BLUE]Eleně by ses líbil.[/color]
Text/100_viktor14/text,"Otočí se k odchodu, pak se zastaví. [color=CHARTREUSE]Až se hnutí odporu pohne... Budu připraven.[/color]"
Text/100_viktor15/text,"Pro Elenu. Pro všechny z nich. [pulse freq=2][color=CHARTREUSE]Stráže mě budou následovat, až jim řeknu pravdu.[/color][/pulse]"
