keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
violation_females_only,REJECT: Only Female potatoes allowed,ODMÍTNOUT: Povoleny jsou pouze samičí brambory,AFVIS: Kun kvindelige kartofler tilladt,ABLEHNEN: Nur weibliche Kartoffeln erlaubt,RECHAZAR: Solo se permiten papas hembra,HYLKÄÄ: Vain naaras perunat sallittu,REJETER: Seules les pommes de terre femelles autorisées,ELUTASÍTÁS: Csak nőstény krumpli megengedett,TOLAK: Hanya kentang betina yang diizinkan,RIFIUTA: Solo patate femmina consentite,AFWIJZEN: Alleen vrouwelijke aardappelen toegestaan,AVVIS: Bare kvinnelige poteter tillatt,ODRZUĆ: Dozwolone tylko żeńskie ziemniaki,REJEITAR: Apenas batatas fêmea permitidas,RESPINGE: Doar cartofi femeli permisi,ODMIETNUŤ: Povolené iba samičie zemiaky,AVVISA: Endast kvinnliga potatisar tillåtna,REDDET: Sadece dişi patates izin verilir,TỪ CHỐI: Chỉ cho phép khoai tây cái,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed,REJECT: Only Female potatoes allowed
violation_country_spudland,REJECT: All Spudland potatoes are banned,ODMÍTNOUT: Všechny brambory ze Spudlandu jsou zakázány,AFVIS: Alle Spudland kartofler er forbudt,ABLEHNEN: Alle Spudland-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Spudland están prohibidas,HYLKÄÄ: Kaikki Spudlandin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Spudland sont interdites,ELUTASÍTÁS: Minden Spudland krumpli tilos,TOLAK: Semua kentang Spudland dilarang,RIFIUTA: Tutte le patate Spudland sono vietate,AFWIJZEN: Alle Spudland aardappelen zijn verboden,AVVIS: Alle Spudland poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Spudland są zabronione,REJEITAR: Todas as batatas Spudland são proibidas,RESPINGE: Toți cartofii Spudland sunt interzisi,ODMIETNUŤ: Všetky zemiaky Spudland sú zakázané,AVVISA: Alla Spudland potatisar är förbjudna,REDDET: Tüm Spudland patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Spudland đều bị cấm,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned,REJECT: All Spudland potatoes are banned
violation_country_potatopia,REJECT: All Potatopia potatoes are banned,ODMÍTNOUT: Všechny brambory z Potatopie jsou zakázány,AFVIS: Alle Potatopia kartofler er forbudt,ABLEHNEN: Alle Potatopia-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Potatopia están prohibidas,HYLKÄÄ: Kaikki Potatopian perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Potatopia sont interdites,ELUTASÍTÁS: Minden Potatopia krumpli tilos,TOLAK: Semua kentang Potatopia dilarang,RIFIUTA: Tutte le patate Potatopia sono vietate,AFWIJZEN: Alle Potatopia aardappelen zijn verboden,AVVIS: Alle Potatopia poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Potatopia są zabronione,REJEITAR: Todas as batatas Potatopia são proibidas,RESPINGE: Toți cartofii Potatopia sunt interzisi,ODMIETNUŤ: Všetky zemiaky Potatopia sú zakázané,AVVISA: Alla Potatopia potatisar är förbjudna,REDDET: Tüm Potatopia patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Potatopia đều bị cấm,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned,REJECT: All Potatopia potatoes are banned
violation_country_tuberstan,REJECT: All Tuberstan potatoes are banned,ODMÍTNOUT: Všechny brambory z Tuberstanu jsou zakázány,AFVIS: Alle Tuberstan kartofler er forbudt,ABLEHNEN: Alle Tuberstan-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Tuberstan están prohibidas,HYLKÄÄ: Kaikki Tuberstanin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Tuberstan sont interdites,ELUTASÍTÁS: Minden Tuberstan krumpli tilos,TOLAK: Semua kentang Tuberstan dilarang,RIFIUTA: Tutte le patate Tuberstan sono vietate,AFWIJZEN: Alle Tuberstan aardappelen zijn verboden,AVVIS: Alle Tuberstan poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Tuberstan są zabronione,REJEITAR: Todas as batatas Tuberstan são proibidas,RESPINGE: Toți cartofii Tuberstan sunt interzisi,ODMIETNUŤ: Všetky zemiaky Tuberstan sú zakázané,AVVISA: Alla Tuberstan potatisar är förbjudna,REDDET: Tüm Tuberstan patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Tuberstan đều bị cấm,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned,REJECT: All Tuberstan potatoes are banned
violation_country_north_yamnea,REJECT: All North Yamnea potatoes are banned,ODMÍTNOUT: Všechny brambory ze Severní Yamnea jsou zakázány,AFVIS: Alle Nord Yamnea kartofler er forbudt,ABLEHNEN: Alle Nord-Yamnea-Kartoffeln sind verboten,RECHAZAR: Todas las papas de North Yamnea están prohibidas,HYLKÄÄ: Kaikki Pohjois-Yamnean perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de North Yamnea sont interdites,ELUTASÍTÁS: Minden Észak-Yamnea krumpli tilos,TOLAK: Semua kentang North Yamnea dilarang,RIFIUTA: Tutte le patate North Yamnea sono vietate,AFWIJZEN: Alle Noord-Yamnea aardappelen zijn verboden,AVVIS: Alle Nord-Yamnea poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki North Yamnea są zabronione,REJEITAR: Todas as batatas North Yamnea são proibidas,RESPINGE: Toți cartofii North Yamnea sunt interzisi,ODMIETNUŤ: Všetky zemiaky North Yamnea sú zakázané,AVVISA: Alla North Yamnea potatisar är förbjudna,REDDET: Tüm North Yamnea patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây North Yamnea đều bị cấm,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned,REJECT: All North Yamnea potatoes are banned
violation_country_spuddington,REJECT: All Spuddington potatoes are banned,ODMÍTNOUT: Všechny brambory ze Spuddingtonu jsou zakázány,AFVIS: Alle Spuddington kartofler er forbudt,ABLEHNEN: Alle Spuddington-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Spuddington están prohibidas,HYLKÄÄ: Kaikki Spuddingtonin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Spuddington sont interdites,ELUTASÍTÁS: Minden Spuddington krumpli tilos,TOLAK: Semua kentang Spuddington dilarang,RIFIUTA: Tutte le patate Spuddington sono vietate,AFWIJZEN: Alle Spuddington aardappelen zijn verboden,AVVIS: Alle Spuddington poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Spuddington są zabronione,REJEITAR: Todas as batatas Spuddington são proibidas,RESPINGE: Toți cartofii Spuddington sunt interzisi,ODMIETNUŤ: Všetky zemiaky Spuddington sú zakázané,AVVISA: Alla Spuddington potatisar är förbjudna,REDDET: Tüm Spuddington patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Spuddington đều bị cấm,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned,REJECT: All Spuddington potatoes are banned
violation_country_tatcross,REJECT: All Tatcross potatoes are banned,ODMÍTNOUT: Všechny brambory z Tatcrossu jsou zakázány,AFVIS: Alle Tatcross kartofler er forbudt,ABLEHNEN: Alle Tatcross-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Tatcross están prohibidas,HYLKÄÄ: Kaikki Tatcrossin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Tatcross sont interdites,ELUTASÍTÁS: Minden Tatcross krumpli tilos,TOLAK: Semua kentang Tatcross dilarang,RIFIUTA: Tutte le patate Tatcross sono vietate,AFWIJZEN: Alle Tatcross aardappelen zijn verboden,AVVIS: Alle Tatcross poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Tatcross są zabronione,REJEITAR: Todas as batatas Tatcross são proibidas,RESPINGE: Toți cartofii Tatcross sunt interzisi,ODMIETNUŤ: Všetky zemiaky Tatcross sú zakázané,AVVISA: Alla Tatcross potatisar är förbjudna,REDDET: Tüm Tatcross patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Tatcross đều bị cấm,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned,REJECT: All Tatcross potatoes are banned
violation_country_mash_meadows,REJECT: All Mash Meadows potatoes are banned,ODMÍTNOUT: Všechny brambory z Mash Meadows jsou zakázány,AFVIS: Alle Mash Meadows kartofler er forbudt,ABLEHNEN: Alle Mash Meadows-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Mash Meadows están prohibidas,HYLKÄÄ: Kaikki Mash Meadowsin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Mash Meadows sont interdites,ELUTASÍTÁS: Minden Mash Meadows krumpli tilos,TOLAK: Semua kentang Mash Meadows dilarang,RIFIUTA: Tutte le patate Mash Meadows sono vietate,AFWIJZEN: Alle Mash Meadows aardappelen zijn verboden,AVVIS: Alle Mash Meadows poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Mash Meadows są zabronione,REJEITAR: Todas as batatas Mash Meadows são proibidas,RESPINGE: Toți cartofii Mash Meadows sunt interzisi,ODMIETNUŤ: Všetky zemiaky Mash Meadows sú zakázané,AVVISA: Alla Mash Meadows potatisar är förbjudna,REDDET: Tüm Mash Meadows patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Mash Meadows đều bị cấm,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned,REJECT: All Mash Meadows potatoes are banned
violation_country_tuberville,REJECT: All Tuberville potatoes are banned,ODMÍTNOUT: Všechny brambory z Tuberville jsou zakázány,AFVIS: Alle Tuberville kartofler er forbudt,ABLEHNEN: Alle Tuberville-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Tuberville están prohibidas,HYLKÄÄ: Kaikki Tubervillen perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Tuberville sont interdites,ELUTASÍTÁS: Minden Tuberville krumpli tilos,TOLAK: Semua kentang Tuberville dilarang,RIFIUTA: Tutte le patate Tuberville sono vietate,AFWIJZEN: Alle Tuberville aardappelen zijn verboden,AVVIS: Alle Tuberville poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Tuberville są zabronione,REJEITAR: Todas as batatas Tuberville são proibidas,RESPINGE: Toți cartofii Tuberville sunt interzisi,ODMIETNUŤ: Všetky zemiaky Tuberville sú zakázané,AVVISA: Alla Tuberville potatisar är förbjudna,REDDET: Tüm Tuberville patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Tuberville đều bị cấm,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned,REJECT: All Tuberville potatoes are banned
violation_country_chip_hill,REJECT: All Chip Hill potatoes are banned (export restrictions),ODMÍTNOUT: Všechny brambory z Chip Hill jsou zakázány (vývozní omezení),AFVIS: Alle Chip Hill kartofler er forbudt (eksportrestriktioner),ABLEHNEN: Alle Chip Hill-Kartoffeln sind verboten (Exportbeschränkungen),RECHAZAR: Todas las papas de Chip Hill están prohibidas (restricciones de exportación),HYLKÄÄ: Kaikki Chip Hillin perunat ovat kiellettyjä (vientirajoitukset),REJETER: Toutes les pommes de terre de Chip Hill sont interdites (restrictions d'exportation),ELUTASÍTÁS: Minden Chip Hill krumpli tilos (exportkorlátozások),TOLAK: Semua kentang Chip Hill dilarang (pembatasan ekspor),RIFIUTA: Tutte le patate Chip Hill sono vietate (restrizioni all'esportazione),AFWIJZEN: Alle Chip Hill aardappelen zijn verboden (exportbeperkingen),AVVIS: Alle Chip Hill poteter er forbudt (eksportrestriksjoner),ODRZUĆ: Wszystkie ziemniaki Chip Hill są zabronione (ograniczenia eksportowe),REJEITAR: Todas as batatas Chip Hill são proibidas (restrições de exportação),RESPINGE: Toți cartofii Chip Hill sunt interzisi (restricții de export),ODMIETNUŤ: Všetky zemiaky Chip Hill sú zakázané (vývozné obmedzenia),AVVISA: Alla Chip Hill potatisar är förbjudna (exportrestriktioner),REDDET: Tüm Chip Hill patatesleri yasaktır (ihracat kısıtlamaları),TỪ CHỐI: Tất cả khoai tây Chip Hill đều bị cấm (hạn chế xuất khẩu),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions),REJECT: All Chip Hill potatoes are banned (export restrictions)
violation_country_murphyland,REJECT: All Murphyland potatoes are banned,ODMÍTNOUT: Všechny brambory z Murphylandu jsou zakázány,AFVIS: Alle Murphyland kartofler er forbudt,ABLEHNEN: Alle Murphyland-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Murphyland están prohibidas,HYLKÄÄ: Kaikki Murphylandin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Murphyland sont interdites,ELUTASÍTÁS: Minden Murphyland krumpli tilos,TOLAK: Semua kentang Murphyland dilarang,RIFIUTA: Tutte le patate Murphyland sono vietate,AFWIJZEN: Alle Murphyland aardappelen zijn verboden,AVVIS: Alle Murphyland poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Murphyland są zabronione,REJEITAR: Todas as batatas Murphyland são proibidas,RESPINGE: Toți cartofii Murphyland sunt interzisi,ODMIETNUŤ: Všetky zemiaky Murphyland sú zakázané,AVVISA: Alla Murphyland potatisar är förbjudna,REDDET: Tüm Murphyland patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Murphyland đều bị cấm,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned,REJECT: All Murphyland potatoes are banned
violation_country_colcannon,REJECT: All Colcannon potatoes are banned,ODMÍTNOUT: Všechny brambory z Colcannonu jsou zakázány,AFVIS: Alle Colcannon kartofler er forbudt,ABLEHNEN: Alle Colcannon-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Colcannon están prohibidas,HYLKÄÄ: Kaikki Colcannonin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Colcannon sont interdites,ELUTASÍTÁS: Minden Colcannon krumpli tilos,TOLAK: Semua kentang Colcannon dilarang,RIFIUTA: Tutte le patate Colcannon sono vietate,AFWIJZEN: Alle Colcannon aardappelen zijn verboden,AVVIS: Alle Colcannon poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Colcannon są zabronione,REJEITAR: Todas as batatas Colcannon são proibidas,RESPINGE: Toți cartofii Colcannon sunt interzisi,ODMIETNUŤ: Všetky zemiaky Colcannon sú zakázané,AVVISA: Alla Colcannon potatisar är förbjudna,REDDET: Tüm Colcannon patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Colcannon đều bị cấm,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned,REJECT: All Colcannon potatoes are banned
violation_country_pratie_point,REJECT: All Pratie Point potatoes are banned,ODMÍTNOUT: Všechny brambory z Pratie Point jsou zakázány,AFVIS: Alle Pratie Point kartofler er forbudt,ABLEHNEN: Alle Pratie Point-Kartoffeln sind verboten,RECHAZAR: Todas las papas de Pratie Point están prohibidas,HYLKÄÄ: Kaikki Pratie Pointin perunat ovat kiellettyjä,REJETER: Toutes les pommes de terre de Pratie Point sont interdites,ELUTASÍTÁS: Minden Pratie Point krumpli tilos,TOLAK: Semua kentang Pratie Point dilarang,RIFIUTA: Tutte le patate Pratie Point sono vietate,AFWIJZEN: Alle Pratie Point aardappelen zijn verboden,AVVIS: Alle Pratie Point poteter er forbudt,ODRZUĆ: Wszystkie ziemniaki Pratie Point są zabronione,REJEITAR: Todas as batatas Pratie Point são proibidas,RESPINGE: Toți cartofii Pratie Point sunt interzisi,ODMIETNUŤ: Všetky zemiaky Pratie Point sú zakázané,AVVISA: Alla Pratie Point potatisar är förbjudna,REDDET: Tüm Pratie Point patatesleri yasaktır,TỪ CHỐI: Tất cả khoai tây Pratie Point đều bị cấm,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned,REJECT: All Pratie Point potatoes are banned
violation_race_purple_majesty,REJECT: Purple Majesty types are prohibited,ODMÍTNOUT: Typy Purple Majesty jsou zakázány,AFVIS: Purple Majesty typer er forbudt,ABLEHNEN: Purple Majesty-Typen sind verboten,RECHAZAR: Los tipos Purple Majesty están prohibidos,HYLKÄÄ: Purple Majesty -tyypit ovat kiellettyjä,REJETER: Les types Purple Majesty sont interdits,ELUTASÍTÁS: A Purple Majesty típusok tilosak,TOLAK: Jenis Purple Majesty dilarang,RIFIUTA: I tipi Purple Majesty sono vietati,AFWIJZEN: Purple Majesty types zijn verboden,AVVIS: Purple Majesty typer er forbudt,ODRZUĆ: Typy Purple Majesty są zabronione,REJEITAR: Tipos Purple Majesty são proibidos,RESPINGE: Tipurile Purple Majesty sunt interzise,ODMIETNUŤ: Typy Purple Majesty sú zakázané,AVVISA: Purple Majesty typer är förbjudna,REDDET: Purple Majesty türleri yasaktır,TỪ CHỐI: Các loại Purple Majesty bị cấm,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited,REJECT: Purple Majesty types are prohibited
violation_race_sweet_potato,REJECT: Sweet Potato types require special permits (not available),ODMÍTNOUT: Typy sladkých brambor vyžadují speciální povolení (nejsou k dispozici),AFVIS: Søde kartoffel typer kræver særlige tilladelser (ikke tilgængelige),ABLEHNEN: Süßkartoffel-Typen erfordern Sondergenehmigungen (nicht verfügbar),RECHAZAR: Los tipos de batata requieren permisos especiales (no disponibles),HYLKÄÄ: Bataattityypit vaativat erikoislupia (ei saatavilla),REJETER: Les types de patates douces nécessitent des permis spéciaux (non disponibles),ELUTASÍTÁS: Az édesburgonya típusok különleges engedélyt igényelnek (nem elérhető),TOLAK: Jenis ubi jalar memerlukan izin khusus (tidak tersedia),RIFIUTA: I tipi di patate dolci richiedono permessi speciali (non disponibili),AFWIJZEN: Zoete aardappel types vereisen speciale vergunningen (niet beschikbaar),AVVIS: Søtpotet typer krever spesielle tillatelser (ikke tilgjengelig),ODRZUĆ: Typy słodkich ziemniaków wymagają specjalnych zezwoleń (niedostępne),REJEITAR: Tipos de batata-doce requerem licenças especiais (não disponíveis),RESPINGE: Tipurile de cartof dulce necesită permise speciale (indisponibile),ODMIETNUŤ: Typy sladkých zemiakov vyžadujú špeciálne povolenia (nie sú k dispozícii),AVVISA: Sötpotatis typer kräver särskilda tillstånd (inte tillgängliga),REDDET: Tatlı patates türleri özel izin gerektirir (mevcut değil),TỪ CHỐI: Các loại khoai lang cần giấy phép đặc biệt (không có sẵn),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available),REJECT: Sweet Potato types require special permits (not available)
violation_race_yukon_gold,REJECT: Yukon Gold types are prohibited,ODMÍTNOUT: Typy Yukon Gold jsou zakázány,AFVIS: Yukon Gold typer er forbudt,ABLEHNEN: Yukon Gold-Typen sind verboten,RECHAZAR: Los tipos Yukon Gold están prohibidos,HYLKÄÄ: Yukon Gold -tyypit ovat kiellettyjä,REJETER: Les types Yukon Gold sont interdits,ELUTASÍTÁS: A Yukon Gold típusok tilosak,TOLAK: Jenis Yukon Gold dilarang,RIFIUTA: I tipi Yukon Gold sono vietati,AFWIJZEN: Yukon Gold types zijn verboden,AVVIS: Yukon Gold typer er forbudt,ODRZUĆ: Typy Yukon Gold są zabronione,REJEITAR: Tipos Yukon Gold são proibidos,RESPINGE: Tipurile Yukon Gold sunt interzise,ODMIETNUŤ: Typy Yukon Gold sú zakázané,AVVISA: Yukon Gold typer är förbjudna,REDDET: Yukon Gold türleri yasaktır,TỪ CHỐI: Các loại Yukon Gold bị cấm,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited,REJECT: Yukon Gold types are prohibited
violation_expired_document,REJECT: Document expired on {date},ODMÍTNOUT: Dokument vypršel dne {date},AFVIS: Dokument udløb den {date},ABLEHNEN: Dokument abgelaufen am {date},RECHAZAR: Documento venció el {date},HYLKÄÄ: Asiakirja vanhentui {date},REJETER: Document expiré le {date},ELUTASÍTÁS: A dokumentum lejárt: {date},TOLAK: Dokumen kedaluwarsa pada {date},RIFIUTA: Documento scaduto il {date},AFWIJZEN: Document verlopen op {date},AVVIS: Dokumentet utløp {date},ODRZUĆ: Dokument wygasł {date},REJEITAR: Documento expirado em {date},RESPINGE: Documentul a expirat pe {date},ODMIETNUŤ: Platnosť dokumentu vypršala {date},AVVISA: Dokumentet gick ut den {date},REDDET: Belge {date} tarihinde sona erdi,TỪ CHỐI: Tài liệu hết hạn vào {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date},REJECT: Document expired on {date}
