keys,hu
performance_stats_template,TELJESÍTMÉNY\nFelhasznált idő: {time_taken}\nVárható pontszám: {expected_score}\nTeljes pontszám: {score}\nPontszám-túllépés százalék: {percent}%\nTeljesítmény értékelés:\n{rating}
performance_exceptional,Kivételes!
performance_excellent,Kiváló!
performance_good,Jó
performance_needs_improvement,Fejlesztésre szorul
performance_poor,Gyenge
global_leaderboard_title,Globális ranglista\n- {difficulty}
getting_leaderboard_scores,Ranglisták betöltése...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Játék újraindítása:
reset_game_button,Újraindítás
mute_label,Némítás
fullscreen_label,Teljes képernyő:
resolution_label,Felbontás:
antialiasing_label,Élsimítás:
screenshake_label,Képernyőrázás:
mouse_sens_label,Egér érzékenység:
___ LOADING SCREEN,
Loading…,Terhelés...
___ DIALOGS IN GAME,
You lose.,veszítesz.
You won!,Te nyertél!
Thanks for playing!,"Köszönjük, hogy játszottál!"
Please Confirm...,"Kérjük, erősítse meg..."
Go back to main menu?,Vissza a főmenübe?
Quit the game?,Kilép a játékból?
Cancel,Mégse
OK,RENDBEN
___ OPTIONS MENU,
Controls,Vezérlők
Mouse Sensitivity :,Az egér érzékenysége:
Actions & Inputs,Műveletek és bemenetek
Add,Hozzáadás
Remove,Távolítsa el
Assign Key for {action},Kulcs hozzárendelése a következőhöz: {action}
Listening for input...,Bemenet hallgatása...
Press again to confirm...,Nyomja meg újra a megerősítéshez...
Focus here to assign inputs.,Koncentráljon ide a bemenetek hozzárendeléséhez.
Already Assigned,Már hozzárendelve
{key} already assigned to {action}.,{key} már hozzá van rendelve a következőhöz: {action}.
Remove Key for {action},Kulcs eltávolítása a(z) {action} művelethez
Are you sure you want to remove {key} from {action}?,Biztosan eltávolítja a következőt: {key} a következőből: {action}?
Reset,Visszaállítás
Audio,Hang
Master :,Mester:
Music :,Zene:
SFX :,SFX:
Ambient :,Környezet:
Mute :,Némítás:
Video,Videó
Fullscreen :,Teljes képernyő:
Resolution :,Felbontás:
Anti-Aliasing :,Anti-aliasing:
Disabled (Fastest),Letiltva (leggyorsabb)
8x (Slowest),8x (leglassabb)
Camera Shake :,Kamera rázkódása:
Normal,Normál
Reduced,Csökkent
Minimal,Minimális
None,Egyik sem
Game,Játék
Reset Game :,Játék visszaállítása:
Do you want to reset your game data?,Szeretné visszaállítani a játék adatait?
Back,Vissza
_INGAME DIALOGUE,
TAKE THEM!,VEDD EL ŐKET!
"Take your documents, please.","Kérem, vigye el az iratait."
_SHIFT SUMMARY SCREEN,
Continue,Folytatás
Main Menu,Főmenü
Submit Score,Pontszám beküldése
Restart,Indítsa újra
SHIFT SUMMARY,SHIFT ÖSSZEFOGLALÓ
_DIFFICULTY LEVELS,
Easy,Könnyen
Normal,Normál
Expert,Szakértő
Primary,Elsődleges
Secondary,Másodlagos
Primary Interaction,Elsődleges interakció
Secondary Interaction,Másodlagos interakció
Cancel Interaction,Az interakció megszakítása
Escape,Menekülés
Dialogic Default Action,Dialogikus alapértelmezett művelet
Enter,Belépés
Left Mouse Button,Bal egérgomb
Right Mouse Button,Jobb egérgomb
_NEW GAME CONFIRMATION,
Start New Game,Új játék indítása
Starting a new game will reset your progress. Are you sure you want to continue?,Új játék indítása visszaállítja az előrehaladást. Biztosan folytatja?
"Yes, Start New Game","Igen, új játék indítása"
Skip,Kihagyás
History,Történelem
Return,Visszatérés
Restart the game?,Újraindítja a játékot?
_HELP MENU,
help_menu_button,Segítség
help_menu_title,Hogyan játssz
help_tab_basics,Alapok
help_tab_gameplay,Játékmenet
help_tab_minigames,Minijátékok
help_basics_intro,[b]Üdv a Spud Customs-ban
help_basics_gate,[b]A kapu kinyitása[/b]
help_basics_documents,[b]Dokumentumok ellenőrzése[/b]
help_basics_stamping,[b]Dokumentumok lepecsételése[/b]
help_basics_runners,[b]Határsértők[/b]
help_basics_xray,[b]Röntgen szkenner[/b]
help_gameplay_quota,[b]Kváta teljesítése[/b]
help_gameplay_strikes,[b]Hibapontok[/b]
help_gameplay_rules,[b]Bevándorlási szabályok[/b]
help_gameplay_scoring,[b]Pontozás[/b]
help_gameplay_difficulty,[b]Nehézségi szintek[/b]
help_minigames_intro,[b]Minijátékok[/b]
help_minigames_document_scanner,[b]Okmányszkenner[/b] (1. műszaktól)
help_minigames_stamp_sorting,[b]Pecsétválogatás[/b] (2. műszaktól)
help_minigames_fingerprint_match,[b]Ujjlenyomat-egyeztetés[/b] (3. műszaktól)
help_minigames_code_breaker,[b]Kódtörő[/b] (4. műszaktól)
help_minigames_border_chase,[b]Csempészfogó[/b] (5. műszaktól)
help_tab_lore,Történet
help_lore_world_intro,[b]Krumpli Világa[/b]
help_lore_nation,[b]Krumpli Nemzete[/b]
help_lore_your_role,[b]A te szereped[/b]
help_lore_border,[b]A Nagy Fal[/b]
help_lore_secrets,[b]Gyökérfeldolgozó[/b]
