keys,de
Text/2c/text,"Das glaube ich nicht, Idaho. Wachen! Ihr habt die Akte gesehen, [color=YELLOW]ihr wisst, was er euren Familien angetan hat.[/color]"
Text/2d/text,Ein bulliger Wächter tritt vor und stößt Idaho rasch zu Boden.
Text/2e/text,Ein Schuss hallt durch die Kammer. Der Bildschirm wird schwarz.
Text/2f/text,"Idaho, im Namen des Kartoffelvolkes von Spud, [color=CHARTREUSE]bist du verhaftet![/color]"
Text/30/text,"Es ist vorbei. Das Volk hat gesprochen. [color=CHARTREUSE]Wir werden ein neues Spud aufbauen, wo unsere Wurzeln im Boden sind, nicht im Leid.[/color]"
Text/31/text,"Es wird [color=CRIMSON]keine Abkommen, keine Gnade[/color] für dich geben, Idaho. Die Gerechtigkeit eines Tyrannen ist alles, was du verdienst."
Text/32/text,Eine Abrechnung. Das bin ich. [color=CHARTREUSE]Für jede geopferte Kartoffel nehmen wir unsere Zukunft zurück![/color]
Text/33/text,"Vergesst ihn. Er ist ein Symptom, nicht die Krankheit. [color=CHARTREUSE]Reißt jede Wurzel und jeden Stängel dieser Ungeheuerlichkeit nieder.[/color]"
Text/34/text,Wir müssen gehen! Jetzt!
Text/35/text,Der Fall der [color=DARK_VIOLET]Wurzelreserve[/color] entfacht ein Feuer des Wandels in ganz Spud.
Text/36/text,"Kartoffeln in jeder Provinz erheben sich, umarmen eine [color=CHARTREUSE]neue Vision für ihre Nation[/color]."
Text/37/text,"Solange wir unseren Wurzeln, den Idealen, die uns hierher gebracht haben, treu bleiben... [color=CHARTREUSE]werden wir einen Weg finden.[/color]"
Text/38/text,Und so beginnt aus der Asche des alten Spud [color=CHARTREUSE]eine neue Nation Wurzeln zu schlagen[/color]. Die Herrschaft der [color=DARK_VIOLET]Wurzelreserve[/color] ist vorbei.
Choice/15/disabled_text,
Choice/28/disabled_text,
Choice/27/disabled_text,
Choice/26/disabled_text,
Choice/25/disabled_text,
Choice/16/disabled_text,
