keys,tr
runner_stats_template,\nKOŞUCU İSTATİSTİKLERİ\nKoşucu girişimleri: {runner_attempts}\nAtılan füzeler: {fired}\nVurulan koşucular: {hit}\nMükemmel vuruşlar: {perfect}\nİsabet oranı: {rate}%
document_stats_template,BELGE İSTATİSTİKLERİ\nDamgalanan belgeler: {stamped}\nOnaylanan patatesler: {approved}\nReddedilen patatesler: {rejected}\nMükemmel damgalar: {perfect_stamps}
bonus_stats_template,BONUSLAR\nİşlem Hızı Bonusu: {processing_speed_bonus}\nDamga Doğruluk Bonusu: {accuracy}\nMükemmel Vuruş Bonusu: {perfect_hit_bonus}\nToplam Puan Bonusu: {total_score_bonus}
performance_stats_template,PERFORMANS\nGeçen süre: {time_taken}\nBeklenen skor: {expected_score}\nToplam puan: {score}\nBeklenen üzeri skor yüzdesi: {percent}%\nPerformans derecesi:\n{rating}
performance_exceptional,Olağanüstü!
performance_excellent,Mükemmel!
performance_good,İyi
performance_needs_improvement,İyileştirme gerekiyor
performance_poor,Zayıf
global_leaderboard_title,Küresel Lider Tablosu\n- {difficulty}
getting_leaderboard_scores,Lider tablosu puanları alınıyor...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Oyunu sıfırla:
reset_game_button,Sıfırla
mute_label,Sessize al
fullscreen_label,Tam ekran:
resolution_label,Çözünürlük:
antialiasing_label,Anti-Aliasing:
screenshake_label,Ekran sarsıntısı:
mouse_sens_label,Fare hassasiyeti:
___ LOADING SCREEN,
Loading…,Yükleniyor...
___ DIALOGS IN GAME,
You lose.,Kaybettiniz.
You won!,Kazandınız!
Thanks for playing!,Oynadığınız için teşekkürler!
Please Confirm...,Lütfen Onaylayın...
Go back to main menu?,Ana menüye geri dön?
Quit the game?,Oyundan çık?
Cancel,İptal
OK,Tamam
___ OPTIONS MENU,
Controls,Kontroller
Mouse Sensitivity :,Fare Hassasiyeti:
Actions & Inputs,Eylemler ve Girişler
Add,Ekle
Remove,Kaldır
Assign Key for {action},{action} için Tuş Ata
Listening for input...,Giriş dinleniyor...
Press again to confirm...,Onaylamak için tekrar basın...
Focus here to assign inputs.,Girişleri atamak için buraya odaklanın.
Already Assigned,Zaten Atanmış
{key} already assigned to {action}.,{key} zaten {action} için atanmış.
Remove Key for {action},{action} için Tuşu Kaldır
Are you sure you want to remove {key} from {action}?,{key} öğesini {action} öğesinden kaldırmak istediğinizden emin misiniz?
Reset,Sıfırla
Audio,Ses
Master :,Ana :
Music :,Müzik :
SFX :,Efekt :
Ambient :,Ortam :
Mute :,Sessiz :
Video,Görüntü
Fullscreen :,Tam Ekran :
Resolution :,Çözünürlük :
Anti-Aliasing :,Anti-Aliasing :
Disabled (Fastest),Devre Dışı (En Hızlı)
8x (Slowest),8x (En Yavaş)
Camera Shake :,Kamera Titremesi :
Normal,Orta
Reduced,Azaltılmış
Minimal,En Az
None,Yok
Game,Oyun
Reset Game :,Oyunu Sıfırla :
Do you want to reset your game data?,Oyun verilerinizi sıfırlamak ister misiniz?
Back,Geri
_INGAME DIALOGUE,
TAKE THEM!,AL BUNLARI!
"Take your documents, please.",Belgelerinizi alın lütfen.
_SHIFT SUMMARY SCREEN,
Continue,Devam
Main Menu,Ana Menü
Submit Score,Skoru Gönder
Restart,Yeniden Başlat
SHIFT SUMMARY,SHIFT ÖZETİ
_DIFFICULTY LEVELS,
Easy,Kolay
Normal,Orta
Expert,Uzman
Primary,Birincil
Secondary,İkincil
Primary Interaction,Birincil Etkileşim
Secondary Interaction,İkincil Etkileşim
Cancel Interaction,Etkileşimi İptal Et
Escape,Kaçış
Dialogic Default Action,Dialogic Varsayılan Eylem
Enter,Giriş
Left Mouse Button,Sol Fare Düğmesi
Right Mouse Button,Sağ Fare Düğmesi
_NEW GAME CONFIRMATION,
Start New Game,Yeni Oyun Başlat
Starting a new game will reset your progress. Are you sure you want to continue?,Yeni bir oyun başlatmak ilerlemenizi sıfırlayacaktır. Devam etmek istediğinizden emin misiniz?
"Yes, Start New Game","Evet, Yeni Oyun Başlat"
Skip,Atla
History,Geçmiş
Return,Geri Dön
Restart the game?,Oyunu yeniden başlat?
_HELP MENU,
help_menu_button,Yardım
help_menu_title,Nasıl Oynanır
help_tab_basics,Temel Bilgiler
help_tab_gameplay,Oynanış
help_tab_minigames,Mini Oyunlar
help_basics_intro,[b]Spud Customs'a Hoş Geldiniz
help_basics_gate,[b]Kapıyı Açma[/b]
help_basics_documents,[b]Belgeleri İnceleme[/b]
help_basics_stamping,[b]Belgeleri Damgalama[/b]
help_basics_runners,[b]Sınır Kaçakları[/b]
help_basics_xray,[b]X-Ray Tarayıcı[/b]
help_gameplay_quota,[b]Kotayı Karşılama[/b]
help_gameplay_strikes,[b]Hatalar[/b]
help_gameplay_rules,[b]Göçmenlik Kuralları[/b]
help_gameplay_scoring,"[b]Puanlama[/b]\nDoğru kararlar, kusursuz mühürler ve kaçakları durdurarak puan kazan. Hız ve isabet için bonuslar verilir!"
help_gameplay_difficulty,"[b]Zorluk Seviyeleri[/b]\nKolay: Daha esnek zamanlama, daha az kural. Normal: Standart deneyim. Uzman: Sıkı zamanlama, karmaşık kurallar, daha yüksek puanlar."
help_minigames_intro,[b]Mini Oyunlar[/b]\nVardiyaların boyunca bonus puan kazandırabilecek mini oyunlarla karşılaşacaksın. Ödül için tamamla veya cezasız bir şekilde atla.
help_minigames_document_scanner,"[b]Belge Tarayıcı[/b] (Vardiya 1+)\nBelgelerdeki gizli unsurları bulmak için UV ışığı kullan. Filigranları, mühürleri ve sembolleri işaretlemek için tıkla. Süre dolmadan tüm unsurları bul!"
help_minigames_stamp_sorting,"[b]Mühür Ayıklama[/b] (Vardiya 2+)\nDüşen mühürleri doğru kutulara ayır. Yeşil mühürler ONAYLANDI kutusuna, kırmızı mühürler REDDEDİLDİ kutusuna gider. Bonus puanlar için hızlıca ayıkla!"
help_minigames_fingerprint_match,[b]Parmak İzi Eşleştirme[/b] (Vardiya 3+)\nTablodaki parmak izlerini referans desenle eşleştir. Kimliği doğrulamak için eşleşen izlere tıkla. Dikkatli gözlem gerektirir!
help_minigames_code_breaker,"[b]Şifre Kırıcı[/b] (Vardiya 4+)\nGizli şifreyi kır! 4 haneli kombinasyonu tahmin et. Yeşil doğru konum, sarı yanlış konum demektir. Sınırlı deneme hakkı!"
help_minigames_border_chase,[b]Sınır Kovalamacası[/b] (Vardiya 5+)\nKonveyörde kaçak mal var! El koymak için KIRMIZI eşyalara tıkla. YEŞİL eşyaların geçmesine izin ver. Hızlı refleksler daha çok puan kazandırır!
help_tab_lore,Hikaye
help_lore_world_intro,"[b]Spud Dünyası[/b]\n\nPatateslerin kendi medeniyetlerini kurduğu bir diyara hoş geldin. Bu dünyada yumrular yürür, konuşur ve yasaları, sınırları ve bürokrasisi olan kendi uluslarını kurmuşlardır."
help_lore_nation,"[b]Spud Ulusu[/b]\n\nSpud, tüm patateslere refah vaat eden gururlu bir ulustur. Spud'un Yüce Duvarı tarafından korunan ulus, yalnızca layık olan yumruların girebilmesini sağlamak için sıkı sınır kontrolleri uygular.\n\nHükümet birlik ve itaati teşvik eder ve vatansever vatandaşların sık sık şöyle haykırdığı duyulur: ""Şan olsun Spud'a!"""
help_lore_your_role,"[b]Rolün[/b]\n\nSınırları korumak için çok önemli bir role seçildin. Bir Gümrük Memuru olarak, Amir Russet'in dikkatli gözleri altında çalışıyorsun.\n\nAilenin refahı senin performansına bağlı. Kotalarını doldur, kurallara uy ve unutma: ulus sana güveniyor."
help_lore_border,"[b]Yüce Duvar[/b]\n\nSpud'un kudretli Yüce Duvarı, ulusu yabancılardan korur. Duvar boyunca çeşitli kontrol noktalarında, senin gibi memurlar yalnızca layık olanların girebilmesini sağlar.\n\nUygun belgeler olmadan sınırı geçmeye çalışanlar anında sonuçlarıyla yüzleşir."
help_lore_secrets,[b]Kök Rezervi[/b]\n\nReddedilen patatesler... işleme alınır. Protokole göre. Gizemli Kök Rezervi tüm ayrıntılarla ilgilenir.\n\nÇok fazla soru sormamak en iyisidir. Görevlerine odaklan. Hepsi bu kadar.
